source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
daiin	k	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	850	unmapped groups use the explicit residual channel; restart mapping is unstable
ol	q	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	535	unmapped groups use the explicit residual channel; restart mapping is unstable
chedy	g	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	496	unmapped groups use the explicit residual channel; restart mapping is unstable
aiin	c	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	461	unmapped groups use the explicit residual channel; restart mapping is unstable
shedy	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	424	unmapped groups use the explicit residual channel; restart mapping is unstable
chol	j	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	384	unmapped groups use the explicit residual channel; restart mapping is unstable
ar	v	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	373	unmapped groups use the explicit residual channel; restart mapping is unstable
or	i	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	370	unmapped groups use the explicit residual channel; restart mapping is unstable
chey	t	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	338	unmapped groups use the explicit residual channel; restart mapping is unstable
dar	n	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	325	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeedy	h	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	313	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeey	w	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	310	unmapped groups use the explicit residual channel; restart mapping is unstable
shey	r	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	275	unmapped groups use the explicit residual channel; restart mapping is unstable
qokaiin	r	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	273	unmapped groups use the explicit residual channel; restart mapping is unstable
qokedy	z	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	273	unmapped groups use the explicit residual channel; restart mapping is unstable
qokain	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	271	unmapped groups use the explicit residual channel; restart mapping is unstable
al	y	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	249	unmapped groups use the explicit residual channel; restart mapping is unstable
dy	s	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	247	unmapped groups use the explicit residual channel; restart mapping is unstable
dal	t	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	245	unmapped groups use the explicit residual channel; restart mapping is unstable
s	j	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	244	unmapped groups use the explicit residual channel; restart mapping is unstable
chor	u	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	221	unmapped groups use the explicit residual channel; restart mapping is unstable
okaiin	v	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	218	unmapped groups use the explicit residual channel; restart mapping is unstable
dain	k	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	213	unmapped groups use the explicit residual channel; restart mapping is unstable
qokal	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	194	unmapped groups use the explicit residual channel; restart mapping is unstable
okeey	l	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	186	unmapped groups use the explicit residual channel; restart mapping is unstable
shol	v	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	180	unmapped groups use the explicit residual channel; restart mapping is unstable
cheey	 	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	173	unmapped groups use the explicit residual channel; restart mapping is unstable
cheol	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	167	unmapped groups use the explicit residual channel; restart mapping is unstable
otedy	g	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	165	unmapped groups use the explicit residual channel; restart mapping is unstable
qokar	m	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	159	unmapped groups use the explicit residual channel; restart mapping is unstable
chy	l	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	154	unmapped groups use the explicit residual channel; restart mapping is unstable
otaiin	x	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	154	unmapped groups use the explicit residual channel; restart mapping is unstable
okal	i	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	153	unmapped groups use the explicit residual channel; restart mapping is unstable
chdy	s	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	152	unmapped groups use the explicit residual channel; restart mapping is unstable
sheey	w	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	151	unmapped groups use the explicit residual channel; restart mapping is unstable
saiin	p	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	149	unmapped groups use the explicit residual channel; restart mapping is unstable
otar	e	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	148	unmapped groups use the explicit residual channel; restart mapping is unstable
okain	i	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	147	unmapped groups use the explicit residual channel; restart mapping is unstable
oteey	u	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	147	unmapped groups use the explicit residual channel; restart mapping is unstable
qoky	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	146	unmapped groups use the explicit residual channel; restart mapping is unstable
chckhy	x	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	145	unmapped groups use the explicit residual channel; restart mapping is unstable
qol	l	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	143	unmapped groups use the explicit residual channel; restart mapping is unstable
okar	d	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	142	unmapped groups use the explicit residual channel; restart mapping is unstable
y	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	142	unmapped groups use the explicit residual channel; restart mapping is unstable
otal	b	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	140	unmapped groups use the explicit residual channel; restart mapping is unstable
sho	l	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	123	unmapped groups use the explicit residual channel; restart mapping is unstable
okedy	b	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	122	unmapped groups use the explicit residual channel; restart mapping is unstable
