locus	selected_path_id	source	segmentation	rule
f100r.1	f100r.1|P01	chosaroshol	chosaroshol	source-symbol stream
f100r.10	f100r.10|P01	dakocth	dakocth	source-symbol stream
f100r.11	f100r.11|P01	sofam	sofam	source-symbol stream
f100r.12	f100r.12|P01	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	pcheol | sheod | qocpheeckhy | shodol | da | oto | choos | sheey | cho | s	source-symbol stream
f100r.13	f100r.13|P01	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	dsheor | cthey | qokeey | oteey | ykeeodain | rorarydaiin | daiin | deeomchol	source-symbol stream
f100r.14	f100r.14|P01	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	shor | chkeey | qoteey | qokeody | qoteold | qokeol | so | raiin | otal | ykeeeo	source-symbol stream
f100r.15	f100r.15|P01	dcheor shol qokeeol chor chol qokeeody dareu	dcheor | shol | qokeeol | chor | chol | qokeeody | dareu	source-symbol stream
f100r.16	f100r.16|P01	okeeos	okeeos	source-symbol stream
f100r.17	f100r.17|P01	shockhey	shockhey	source-symbol stream
f100r.18	f100r.18|P01	orol	orol	source-symbol stream
f100r.19	f100r.19|P01	olcheom	olcheom	source-symbol stream
f100r.2	f100r.2|P01	sochorcfhy	sochorcfhy	source-symbol stream
f100r.20	f100r.20|P01	oteol	oteol	source-symbol stream
f100r.21	f100r.21|P01	okols	okols	source-symbol stream
f100r.22	f100r.22|P01	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody | choldaiin | fchod | ycheol | cphol | qotees | shey | aseso | alcfhy	source-symbol stream
f100r.23	f100r.23|P01	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam	soiin | chol | cphol | shol | shol | qockhol | chor | chol | sho | keey | y | ykeeam	source-symbol stream
f100r.24	f100r.24|P01	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	saiichor | sheor | qockhody | odeor | yk | sheey | cholsheody | sai | cheol | raiin	source-symbol stream
f100r.25	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor | qkeeody | chol | daiin | ctheol | olcheol | cheky | cheol | cheockhy | okeol	source-symbol stream
f100r.26	f100r.26|P01	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	yaiin | chekeey | chol | cholody | chos | olchor | qokeol | okeeol | cheols | al	source-symbol stream
f100r.27	f100r.27|P01	chol cheol cho chckheody otolchey	chol | cheol | cho | chckheody | otolchey	source-symbol stream
f100r.3	f100r.3|P01	otear	otear	source-symbol stream
f100r.4	f100r.4|P01	chofary	chofary	source-symbol stream
f100r.5	f100r.5|P01	sar char daiindy	sar | char | daiindy	source-symbol stream
f100r.6	f100r.6|P01	oraro	oraro	source-symbol stream
