source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
daiin	daz	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
ol	in	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
chedy	der	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
aiin	den	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
shedy	die	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
chol	si	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
ar	mit	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
or	an	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
chey	des	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
dar	vn	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeedy	er	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokeey	ist	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
shey	d	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokaiin	ich	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokedy	da	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokain	von	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
al	ir	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
dy	do	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
dal	man	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
s	ze	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
chor	di	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
okaiin	du	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
dain	wir	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokal	sin	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
okeey	so	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
shol	vnd	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
cheey	dem	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
cheol	ein	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
otedy	zu	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
qokar	was	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
chy	dar	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
otaiin	sie	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	COMPLETE_GROUP	GLOBAL	unmapped groups use the explicit residual channel; restart mapping is unstable
