unit_id	locus	page	physical_folio	section	currier	kind	symbol_count
f100r.10|C001	f100r.10	f100r	f100	P	A	L	5
f100r.11|C001	f100r.11	f100r	f100	P	A	L	5
f100r.16|C001	f100r.16	f100r	f100	P	A	L	5
f100r.17|C001	f100r.17	f100r	f100	P	A	L	5
f100r.18|C001	f100r.18	f100r	f100	P	A	L	4
f100r.19|C001	f100r.19	f100r	f100	P	A	L	6
f100r.1|C001	f100r.1	f100r	f100	P	A	L	9
f100r.20|C001	f100r.20	f100r	f100	P	A	L	5
f100r.21|C001	f100r.21	f100r	f100	P	A	L	5
f100r.2|C001	f100r.2	f100r	f100	P	A	L	7
f100r.3|C001	f100r.3	f100r	f100	P	A	L	5
f100r.5|C001	f100r.5	f100r	f100	P	A	L	3
f100r.5|C002	f100r.5	f100r	f100	P	A	L	3
f100r.5|C003	f100r.5	f100r	f100	P	A	L	5
f100r.7|C001	f100r.7	f100r	f100	P	A	L	6
f100r.8|C001	f100r.8	f100r	f100	P	A	L	5
f100r.9|C001	f100r.9	f100r	f100	P	A	L	5
f100v.10|C001	f100v.10	f100v	f100	P	A	L	6
f100v.11|C001	f100v.11	f100v	f100	P	A	L	5
f100v.12|C001	f100v.12	f100v	f100	P	A	L	6
f100v.13|C001	f100v.13	f100v	f100	P	A	L	3
f100v.13|C002	f100v.13	f100v	f100	P	A	L	5
f100v.1|C001	f100v.1	f100v	f100	P	A	L	5
f100v.2|C001	f100v.2	f100v	f100	P	A	L	4
f100v.3|C001	f100v.3	f100v	f100	P	A	L	5
f100v.4|C001	f100v.4	f100v	f100	P	A	L	5
f100v.5|C001	f100v.5	f100v	f100	P	A	L	7
f100v.6|C001	f100v.6	f100v	f100	P	A	L	7
f100v.7|C001	f100v.7	f100v	f100	P	A	L	5
f100v.8|C001	f100v.8	f100v	f100	P	A	L	4
f100v.9|C001	f100v.9	f100v	f100	P	A	L	5
f101v.10|C001	f101v.10	f101v	f101	P	A	L	4
f101v.11|C001	f101v.11	f101v	f101	P	A	L	4
f101v.12|C001	f101v.12	f101v	f101	P	A	L	6
f101v.15|C001	f101v.15	f101v	f101	P	A	L	5
f101v.16|C001	f101v.16	f101v	f101	P	A	L	6
f101v.17|C001	f101v.17	f101v	f101	P	A	L	4
f101v.18|C001	f101v.18	f101v	f101	P	A	L	6
f101v.2|C001	f101v.2	f101v	f101	P	A	L	6
f101v.3|C001	f101v.3	f101v	f101	P	A	L	4
f101v.5|C001	f101v.5	f101v	f101	P	A	L	5
f101v.6|C001	f101v.6	f101v	f101	P	A	L	4
f101v.7|C001	f101v.7	f101v	f101	P	A	L	6
f101v.9|C001	f101v.9	f101v	f101	P	A	L	6
f102r1.2|C001	f102r1.2	f102r1	f102	P	A	L	9
f102r2.21|C001	f102r2.21	f102r2	f102	P	A	L	8
f102r2.22|C001	f102r2.22	f102r2	f102	P	A	L	9
f102v1.16|C001	f102v1.16	f102v1	f102	P	A	L	7
f102v1.17|C001	f102v1.17	f102v1	f102	P	A	L	8
f102v1.18|C001	f102v1.18	f102v1	f102	P	A	L	7
f102v1.2|C001	f102v1.2	f102v1	f102	P	A	L	6
f102v1.3|C001	f102v1.3	f102v1	f102	P	A	L	6
f102v1.4|C001	f102v1.4	f102v1	f102	P	A	L	7
f102v1.5|C001	f102v1.5	f102v1	f102	P	A	L	5
f102v1.6|C001	f102v1.6	f102v1	f102	P	A	L	6
f102v2.10|C001	f102v2.10	f102v2	f102	P	A	L	5
f102v2.11|C001	f102v2.11	f102v2	f102	P	A	L	4
f102v2.12|C001	f102v2.12	f102v2	f102	P	A	L	7
f102v2.13|C001	f102v2.13	f102v2	f102	P	A	L	4
f102v2.14|C001	f102v2.14	f102v2	f102	P	A	L	5
f102v2.15|C001	f102v2.15	f102v2	f102	P	A	L	7
f102v2.1|C001	f102v2.1	f102v2	f102	P	A	L	7
f102v2.24|C001	f102v2.24	f102v2	f102	P	A	L	6
f102v2.26|C001	f102v2.26	f102v2	f102	P	A	L	4
f102v2.27|C001	f102v2.27	f102v2	f102	P	A	L	7
f102v2.28|C001	f102v2.28	f102v2	f102	P	A	L	5
f102v2.3|C001	f102v2.3	f102v2	f102	P	A	L	4
f102v2.4|C001	f102v2.4	f102v2	f102	P	A	L	3
f102v2.5|C001	f102v2.5	f102v2	f102	P	A	L	4
f102v2.7|C001	f102v2.7	f102v2	f102	P	A	L	4
f102v2.8|C001	f102v2.8	f102v2	f102	P	A	L	5
f49v.13|C001	f49v.13	f49v	f49	H	A	L	1
f49v.15|C001	f49v.15	f49v	f49	H	A	L	1
f49v.17|C001	f49v.17	f49v	f49	H	A	L	1
f49v.19|C001	f49v.19	f49v	f49	H	A	L	1
f49v.1|C001	f49v.1	f49v	f49	H	A	L	1
f49v.23|C001	f49v.23	f49v	f49	H	A	L	1
f49v.25|C001	f49v.25	f49v	f49	H	A	L	1
f49v.31|C001	f49v.31	f49v	f49	H	A	L	1
f49v.33|C001	f49v.33	f49v	f49	H	A	L	1
f49v.37|C001	f49v.37	f49v	f49	H	A	L	1
f49v.39|C001	f49v.39	f49v	f49	H	A	L	1
f49v.3|C001	f49v.3	f49v	f49	H	A	L	1
f49v.43|C001	f49v.43	f49v	f49	H	A	L	1
f49v.45|C001	f49v.45	f49v	f49	H	A	L	1
f49v.49|C001	f49v.49	f49v	f49	H	A	L	1
f49v.51|C001	f49v.51	f49v	f49	H	A	L	1
f49v.5|C001	f49v.5	f49v	f49	H	A	L	1
f49v.7|C001	f49v.7	f49v	f49	H	A	L	1
f49v.9|C001	f49v.9	f49v	f49	H	A	L	1
f57v.13|C001	f57v.13	f57v	f57	C		R	4
f57v.13|C002	f57v.13	f57v	f57	C		R	5
f57v.1|C001	f57v.1	f57v	f57	C		L	5
f57v.7|C001	f57v.7	f57v	f57	C		L	9
f57v.8|C001	f57v.8	f57v	f57	C		L	7
f57v.9|C001	f57v.9	f57v	f57	C		L	8
f65r.1|C001	f65r.1	f65r	f65	H		L	5
f65r.1|C002	f65r.1	f65r	f65	H		L	3
f65r.1|C003	f65r.1	f65r	f65	H		L	4
f65v.1|C001	f65v.1	f65v	f65	H		P	2
f65v.1|C002	f65v.1	f65v	f65	H		P	5
f65v.1|C003	f65v.1	f65v	f65	H		P	2
f65v.1|C004	f65v.1	f65v	f65	H		P	6
f65v.1|C005	f65v.1	f65v	f65	H		P	4
f65v.1|C006	f65v.1	f65v	f65	H		P	4
f65v.1|C007	f65v.1	f65v	f65	H		P	3
f65v.1|C008	f65v.1	f65v	f65	H		P	4
f65v.5|C001	f65v.5	f65v	f65	H		P	5
f65v.5|C002	f65v.5	f65v	f65	H		P	6
f65v.5|C003	f65v.5	f65v	f65	H		P	4
f65v.5|C004	f65v.5	f65v	f65	H		P	3
f65v.5|C005	f65v.5	f65v	f65	H		P	4
f65v.5|C006	f65v.5	f65v	f65	H		P	7
f65v.5|C007	f65v.5	f65v	f65	H		P	4
f65v.5|C008	f65v.5	f65v	f65	H		P	2
f65v.6|C001	f65v.6	f65v	f65	H		P	2
f65v.6|C002	f65v.6	f65v	f65	H		P	5
f65v.6|C003	f65v.6	f65v	f65	H		P	4
f65v.6|C004	f65v.6	f65v	f65	H		P	6
f65v.6|C005	f65v.6	f65v	f65	H		P	4
f65v.6|C006	f65v.6	f65v	f65	H		P	4
f66r.10|C001	f66r.10	f66r	f66	T	B	L	5
f66r.12|C001	f66r.12	f66r	f66	T	B	L	3
f66r.13|C001	f66r.13	f66r	f66	T	B	L	5
f66r.14|C001	f66r.14	f66r	f66	T	B	L	5
f66r.15|C001	f66r.15	f66r	f66	T	B	L	5
f66r.16|C001	f66r.16	f66r	f66	T	B	L	1
f66r.17|C001	f66r.17	f66r	f66	T	B	L	1
f66r.18|C001	f66r.18	f66r	f66	T	B	L	1
f66r.19|C001	f66r.19	f66r	f66	T	B	L	1
f66r.1|C001	f66r.1	f66r	f66	T	B	L	4
f66r.20|C001	f66r.20	f66r	f66	T	B	L	1
f66r.21|C001	f66r.21	f66r	f66	T	B	L	1
f66r.22|C001	f66r.22	f66r	f66	T	B	L	1
f66r.23|C001	f66r.23	f66r	f66	T	B	L	1
f66r.25|C001	f66r.25	f66r	f66	T	B	L	1
f66r.26|C001	f66r.26	f66r	f66	T	B	L	2
f66r.27|C001	f66r.27	f66r	f66	T	B	L	1
f66r.28|C001	f66r.28	f66r	f66	T	B	L	1
f66r.29|C001	f66r.29	f66r	f66	T	B	L	1
f66r.30|C001	f66r.30	f66r	f66	T	B	L	1
f66r.31|C001	f66r.31	f66r	f66	T	B	L	1
f66r.32|C001	f66r.32	f66r	f66	T	B	L	1
f66r.33|C001	f66r.33	f66r	f66	T	B	L	1
f66r.34|C001	f66r.34	f66r	f66	T	B	L	1
f66r.35|C001	f66r.35	f66r	f66	T	B	L	1
f66r.36|C001	f66r.36	f66r	f66	T	B	L	1
f66r.37|C001	f66r.37	f66r	f66	T	B	L	1
f66r.39|C001	f66r.39	f66r	f66	T	B	L	1
f66r.40|C001	f66r.40	f66r	f66	T	B	L	1
f66r.41|C001	f66r.41	f66r	f66	T	B	L	1
f66r.43|C001	f66r.43	f66r	f66	T	B	L	1
f66r.44|C001	f66r.44	f66r	f66	T	B	L	1
f66r.45|C001	f66r.45	f66r	f66	T	B	L	1
f66r.46|C001	f66r.46	f66r	f66	T	B	L	1
f66r.47|C001	f66r.47	f66r	f66	T	B	L	1
f66r.48|C001	f66r.48	f66r	f66	T	B	L	1
f66r.49|C001	f66r.49	f66r	f66	T	B	L	1
f66r.4|C001	f66r.4	f66r	f66	T	B	L	4
f66r.6|C001	f66r.6	f66r	f66	T	B	L	4
f66r.7|C001	f66r.7	f66r	f66	T	B	L	4
f66r.8|C001	f66r.8	f66r	f66	T	B	L	4
f66r.9|C001	f66r.9	f66r	f66	T	B	L	6
f67r1.12|C001	f67r1.12	f67r1	f67	A		R	5
f67r1.13|C001	f67r1.13	f67r1	f67	A		R	4
f67r1.13|C002	f67r1.13	f67r1	f67	A		R	3
f67r1.14|C001	f67r1.14	f67r1	f67	A		R	3
f67r1.14|C002	f67r1.14	f67r1	f67	A		R	3
f67r1.15|C001	f67r1.15	f67r1	f67	A		R	6
f67r1.16|C001	f67r1.16	f67r1	f67	A		R	6
f67r1.17|C001	f67r1.17	f67r1	f67	A		R	5
f67r1.17|C002	f67r1.17	f67r1	f67	A		R	3
f67r1.18|C001	f67r1.18	f67r1	f67	A		R	4
f67r1.18|C002	f67r1.18	f67r1	f67	A		R	3
f67r1.19|C001	f67r1.19	f67r1	f67	A		R	6
f67r1.1|C001	f67r1.1	f67r1	f67	A		P	6
f67r1.1|C002	f67r1.1	f67r1	f67	A		P	3
f67r1.1|C003	f67r1.1	f67r1	f67	A		P	7
f67r1.1|C004	f67r1.1	f67r1	f67	A		P	4
f67r1.1|C005	f67r1.1	f67r1	f67	A		P	6
f67r1.1|C006	f67r1.1	f67r1	f67	A		P	3
f67r1.1|C007	f67r1.1	f67r1	f67	A		P	4
f67r1.1|C008	f67r1.1	f67r1	f67	A		P	1
