unit_id	page	physical_folio	star_ordinal	locus	line_loci
6db80f0ee8c008a15cee	f104r	f104	1	f104r.1	f104r.1|f104r.2|f104r.3|f104r.4
3dadd253fb35b8d6ec30	f104r	f104	2	f104r.5	f104r.5|f104r.6|f104r.7|f104r.8|f104r.9
c0c387a77199dfc7035c	f104r	f104	3	f104r.10	f104r.10|f104r.11
c2c04818678da6b158be	f104r	f104	4	f104r.12	f104r.12|f104r.13|f104r.14|f104r.15
e4e3da7e471a6aabadd3	f104r	f104	5	f104r.16	f104r.16|f104r.17|f104r.18
53baeee0bf0048479ea7	f104r	f104	6	f104r.19	f104r.19|f104r.20|f104r.21
c2e6982ccbbbf727afaa	f104r	f104	7	f104r.22	f104r.22|f104r.23|f104r.24|f104r.25|f104r.26
d2b9774893da031bc9a8	f104r	f104	8	f104r.27	f104r.27|f104r.28|f104r.29
208fe32ac45f8b2be542	f104r	f104	9	f104r.30	f104r.30|f104r.31|f104r.32|f104r.33
6b378a31637695966854	f104r	f104	10	f104r.34	f104r.34|f104r.35
2718be2e4ac01f6a0cd9	f104r	f104	11	f104r.36	f104r.36|f104r.37|f104r.38
dec7621062ddc0ea76ab	f104r	f104	12	f104r.39	f104r.39|f104r.40|f104r.41|f104r.42
9af3e52fedd781165858	f104r	f104	13	f104r.43	f104r.43|f104r.44|f104r.45
c19fc6a6cac58136174d	f104v	f104	1	f104v.1	f104v.1|f104v.2|f104v.3|f104v.4|f104v.5
27f6ef1916acea076c71	f104v	f104	2	f104v.6	f104v.6|f104v.7
515bdb73d46919d19d88	f104v	f104	3	f104v.8	f104v.8|f104v.9|f104v.10|f104v.11
10795b2c68591dbd69a8	f104v	f104	4	f104v.12	f104v.12|f104v.13|f104v.14
3b68cf14da5e100ff54a	f104v	f104	5	f104v.15	f104v.15|f104v.16|f104v.17|f104v.18
52f88783264e5c664dfe	f104v	f104	6	f104v.19	f104v.19|f104v.20|f104v.21
fa269fff9590a81b4d47	f104v	f104	7	f104v.22	f104v.22|f104v.23|f104v.24|f104v.25|f104v.26
f1aec5e07af57d0a98bb	f104v	f104	8	f104v.27	f104v.27|f104v.28
678953e80bb04ec3510d	f104v	f104	9	f104v.29	f104v.29|f104v.30|f104v.31
89586021de90748fde0e	f104v	f104	10	f104v.32	f104v.32|f104v.33|f104v.34
b22003549202a23741ac	f104v	f104	11	f104v.35	f104v.35|f104v.36
cfad99921fb8b55360c1	f104v	f104	12	f104v.37	f104v.37|f104v.38|f104v.39|f104v.40
9ef3f65a27e1b7875ddb	f104v	f104	13	f104v.41	f104v.41|f104v.42|f104v.43|f104v.44
d28645a7736065f3a169	f105r	f105	1	f105r.1	f105r.1|f105r.2|f105r.3|f105r.4|f105r.5
5bd9bcc3ac34a6530b75	f105r	f105	2	f105r.6	f105r.6|f105r.7|f105r.8|f105r.9|f105r.10
1281633a13409752d3f2	f105r	f105	3	f105r.11	f105r.11|f105r.12|f105r.13
ecc3fa016482e84f71e8	f105r	f105	4	f105r.14	f105r.14|f105r.15|f105r.16
208855dba9de0bfbdb62	f105r	f105	5	f105r.17	f105r.17|f105r.18|f105r.19|f105r.20|f105r.21|f105r.22|f105r.23
22f7e08a7615b0fa373a	f105r	f105	6	f105r.24	f105r.24|f105r.25
7071c5ab2dfdc4f067ec	f105r	f105	7	f105r.26	f105r.26|f105r.27
578b304254e4a5919859	f105r	f105	8	f105r.28	f105r.28|f105r.29|f105r.30
e85e6baacbb48d34d69f	f105r	f105	9	f105r.31	f105r.31|f105r.32|f105r.33|f105r.34
c190249e22b3007cc208	f105r	f105	10	f105r.35	f105r.35|f105r.36|f105r.37
36658c918cd5c3987ef3	f105v	f105	1	f105v.1	f105v.1|f105v.2|f105v.3|f105v.4
023c4735fe7b4d9c5a3b	f105v	f105	2	f105v.5	f105v.5|f105v.6|f105v.7
b0ad74b9016cc87d9493	f105v	f105	3	f105v.8	f105v.8|f105v.9|f105v.10|f105v.11|f105v.12|f105v.13
f0dc171bae41c1fa61ad	f105v	f105	4	f105v.14	f105v.14|f105v.15|f105v.16|f105v.17
b6c7e205748878ef08e1	f105v	f105	5	f105v.18	f105v.18|f105v.19
d13044ddd75212bb6e2a	f105v	f105	6	f105v.20	f105v.20|f105v.21|f105v.22
f1af057656bf3035f0f7	f105v	f105	7	f105v.23	f105v.23|f105v.24
ffee775b800db66d3690	f105v	f105	8	f105v.25	f105v.25|f105v.26|f105v.27|f105v.28
88ef7d1c351dadc1aefd	f105v	f105	9	f105v.29	f105v.29|f105v.30|f105v.31
1a45c5601ccb355253c4	f105v	f105	10	f105v.32	f105v.32|f105v.33|f105v.34|f105v.35|f105v.36|f105v.37|f105v.38
3894c48503f031c6368c	f106r	f106	1	f106r.1	f106r.1|f106r.2|f106r.3
128586296603ed16bc03	f106r	f106	2	f106r.4	f106r.4|f106r.5|f106r.6|f106r.7
78111d43c12848c12810	f106r	f106	3	f106r.8	f106r.8|f106r.9
9139ccdb3e2b89b68aa8	f106r	f106	4	f106r.10	f106r.10|f106r.11|f106r.12
224f51aecadfaa115e77	f106r	f106	5	f106r.13	f106r.13|f106r.14
279468dd32d2a31406a2	f106r	f106	6	f106r.15	f106r.15|f106r.16|f106r.17
b01097f3f1ad8bdaca2f	f106r	f106	7	f106r.18	f106r.18|f106r.19|f106r.20|f106r.21
cfa5ede27c41a3c53ea2	f106r	f106	8	f106r.22	f106r.22|f106r.23
eddd60dcf7764e1f164b	f106r	f106	9	f106r.24	f106r.24|f106r.25|f106r.26
b7dd37050b02f3b3f05a	f106r	f106	11	f106r.32	f106r.32|f106r.33
304daa81685df25f8475	f106r	f106	12	f106r.34	f106r.34|f106r.35
1037a02aea03460f4f87	f106r	f106	13	f106r.36	f106r.36|f106r.37
d09caa2d33f03abc063e	f106r	f106	14	f106r.38	f106r.38|f106r.39|f106r.40|f106r.41
33b8e6459c81282b7504	f106r	f106	15	f106r.42	f106r.42|f106r.43|f106r.44|f106r.45|f106r.46|f106r.47
eeabe6c531a492300e0d	f107v	f107	1	f107v.1	f107v.1|f107v.2|f107v.3|f107v.4
ef768d9858f0321f9b2c	f107v	f107	2	f107v.5	f107v.5|f107v.6|f107v.7
3f44b486b638e6a9e265	f107v	f107	3	f107v.8	f107v.8|f107v.9|f107v.10
7997dc9193101e3b972a	f107v	f107	4	f107v.11	f107v.11|f107v.12|f107v.13|f107v.14|f107v.15
815c947dbc0259999872	f107v	f107	5	f107v.16	f107v.16|f107v.17|f107v.18|f107v.19
ffa80919cf3c855b7bd1	f107v	f107	6	f107v.20	f107v.20|f107v.21|f107v.22
6907d75f87c9840f4ee5	f107v	f107	7	f107v.23	f107v.23|f107v.24
ee71075cae29e25eaa83	f107v	f107	8	f107v.25	f107v.25|f107v.26|f107v.27|f107v.28
62c22e096de69ff681ac	f107v	f107	9	f107v.29	f107v.29|f107v.30|f107v.31
051627006f27becf964a	f107v	f107	10	f107v.32	f107v.32|f107v.33|f107v.34
5d1ac86b0734c3793e09	f107v	f107	11	f107v.35	f107v.35|f107v.36
817cfb5b023bd7406e51	f107v	f107	12	f107v.37	f107v.37|f107v.38|f107v.39|f107v.40
5bb57472cd12082dbcdb	f107v	f107	13	f107v.41	f107v.41|f107v.42
16e87f5c89855a320c9c	f107v	f107	14	f107v.43	f107v.43|f107v.44
5695a88cefa311dc9a3a	f107v	f107	15	f107v.45	f107v.45|f107v.46|f107v.47|f107v.48|f107v.49
95a53050d22dd122076e	f112v	f112	1	f112v.1	f112v.1|f112v.2|f112v.3|f112v.4|f112v.5|f112v.6
9d88571a63c1339ca49c	f112v	f112	2	f112v.7	f112v.7|f112v.8|f112v.9|f112v.10
b78a8f8306bf74d1c17e	f112v	f112	3	f112v.11	f112v.11|f112v.12|f112v.13|f112v.14
311b6895f20a8a43e0bd	f112v	f112	4	f112v.15	f112v.15|f112v.16|f112v.17|f112v.18|f112v.19
e13cb328027befbcc0b3	f112v	f112	5	f112v.20	f112v.20|f112v.21|f112v.22
4a6dc16d0a5c5265f6dd	f112v	f112	6	f112v.23	f112v.23|f112v.24|f112v.25|f112v.26
c03058e62c9703393cab	f112v	f112	7	f112v.27	f112v.27|f112v.28|f112v.29
f88a12bd9d79e1aa6287	f112v	f112	8	f112v.30	f112v.30|f112v.31
f3d4af5e7f2dd962bd2b	f112v	f112	9	f112v.32	f112v.32|f112v.33|f112v.34|f112v.35
a4b18173902b31428d9a	f112v	f112	10	f112v.36	f112v.36|f112v.37|f112v.38
97331153808f494c31b4	f112v	f112	11	f112v.39	f112v.39|f112v.40|f112v.41
eab104a993d7f99a6e2e	f112v	f112	12	f112v.42	f112v.42|f112v.43|f112v.44
44ba116863f466bc662e	f112v	f112	13	f112v.45	f112v.45|f112v.46|f112v.47
59c0bfb41fe088ed764f	f113r	f113	1	f113r.1	f113r.1|f113r.2|f113r.3
0e5daaece5de508cf40b	f113r	f113	2	f113r.4	f113r.4|f113r.5|f113r.6|f113r.7
fd748a75e8ea0f1179b7	f113r	f113	3	f113r.8	f113r.8|f113r.9
e8fb7e64ca3ec05999fd	f113r	f113	4	f113r.10	f113r.10|f113r.11|f113r.12
19fec5900f58c4c3d9f5	f113r	f113	5	f113r.13	f113r.13|f113r.14|f113r.15
fe35ed0867f9ce618099	f113r	f113	6	f113r.16	f113r.16|f113r.17|f113r.18|f113r.19
56a791f8cdbf9ad97d6a	f113r	f113	7	f113r.20	f113r.20|f113r.21
6060e4437fcca5b71e06	f113r	f113	8	f113r.22	f113r.22|f113r.23|f113r.24
b3d3dcb93678a34011ba	f113r	f113	9	f113r.25	f113r.25|f113r.26
42b94e2a574be7ed5d16	f113r	f113	10	f113r.27	f113r.27|f113r.28|f113r.29
5f65f500be2f00fd4112	f113r	f113	11	f113r.30	f113r.30|f113r.31|f113r.32|f113r.33
a6c502db3ed005180396	f113r	f113	12	f113r.34	f113r.34|f113r.35|f113r.36
60c3275e304d5551b6ee	f113r	f113	13	f113r.37	f113r.37|f113r.38
5176dacbbe60d765c109	f113r	f113	14	f113r.39	f113r.39|f113r.40|f113r.41
3f0efd4b9dba84cac59a	f113r	f113	15	f113r.42	f113r.42|f113r.43|f113r.44
9d87323289bfb174d650	f113r	f113	16	f113r.45	f113r.45|f113r.46|f113r.47|f113r.48|f113r.49|f113r.50|f113r.51
cfee37d34e41b672937f	f113v	f113	1	f113v.1	f113v.1|f113v.2|f113v.3
7bd561d14e6f3665439f	f113v	f113	2	f113v.4	f113v.4|f113v.5|f113v.6
975e278f924c55a0031f	f113v	f113	3	f113v.7	f113v.7|f113v.8|f113v.9
3531a84ad669055fcb13	f113v	f113	4	f113v.10	f113v.10|f113v.11|f113v.12
6930e59df7aee4b29135	f113v	f113	5	f113v.13	f113v.13|f113v.14|f113v.15|f113v.16|f113v.17
cb1e3b6675d7ad19db13	f113v	f113	6	f113v.18	f113v.18|f113v.19|f113v.20
9678a1dd19abdb9c9cd3	f113v	f113	7	f113v.21	f113v.21|f113v.22|f113v.23|f113v.24
f4e5d4297f14cc08ae39	f113v	f113	8	f113v.25	f113v.25|f113v.26|f113v.27
b64f347031b3e8089235	f113v	f113	9	f113v.28	f113v.28|f113v.29|f113v.30|f113v.31|f113v.32
c3f5a505e9c8f3e7a9ff	f113v	f113	10	f113v.33	f113v.33|f113v.34|f113v.35
64559d583e3d6ff1e06d	f113v	f113	11	f113v.36	f113v.36|f113v.37
7f595410e203ed62bd07	f113v	f113	12	f113v.38	f113v.38|f113v.39|f113v.40|f113v.41
034169111e97e37ce563	f113v	f113	13	f113v.42	f113v.42|f113v.43|f113v.44
38280843028c26904e58	f113v	f113	14	f113v.45	f113v.45|f113v.46
7b160702f89e8597afbb	f113v	f113	15	f113v.47	f113v.47|f113v.48|f113v.49
e86331a6e51190e0c6cd	f114r	f114	1	f114r.1	f114r.1|f114r.2|f114r.3
9631ba63c7659a3ae24f	f114r	f114	2	f114r.4	f114r.4|f114r.5|f114r.6|f114r.7
4987ceb3d2cea284729b	f114r	f114	3	f114r.8	f114r.8|f114r.9|f114r.10
f9da0cc48300a6c26342	f114r	f114	4	f114r.11	f114r.11|f114r.12|f114r.13
c4acc694e83034835f51	f114r	f114	5	f114r.14	f114r.14|f114r.15|f114r.16|f114r.17|f114r.18
a57e7f7dd19d5f7ec66f	f114r	f114	6	f114r.19	f114r.19|f114r.20|f114r.21
92e19cc0a3e2fe14c7d4	f114r	f114	7	f114r.22	f114r.22|f114r.23
0fa152ed29ee3268671d	f114r	f114	8	f114r.24	f114r.24|f114r.25|f114r.26|f114r.27
d5d63793f0da3e489e9d	f114r	f114	9	f114r.28	f114r.28|f114r.29|f114r.30|f114r.31
87a341148db633696f73	f114r	f114	10	f114r.32	f114r.32|f114r.33|f114r.34
e84c1c6fc01107c75ec7	f114r	f114	11	f114r.35	f114r.35|f114r.36|f114r.37|f114r.38
b052135975078ac76dd3	f114r	f114	12	f114r.39	f114r.39|f114r.40|f114r.41
9cc0e8c7e90919238bce	f114r	f114	13	f114r.42	f114r.42|f114r.43|f114r.44|f114r.45
d484ced8cd986a1a719c	f114v	f114	1	f114v.1	f114v.1|f114v.2|f114v.3|f114v.4|f114v.5
f05b7cb0fc2274eda999	f114v	f114	2	f114v.6	f114v.6|f114v.7
50ce490e6d8a90757b12	f114v	f114	3	f114v.8	f114v.8|f114v.9|f114v.10
