id	system	shared_values	new_aliases	new_then_types	coherent_variants_for_representative	world_sizes	independent_meaning_capacity
P0-3-T01	P0-3	"{""okaiin"": ""W""}"	62	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:2cargo/3trips	0
P0-3-T02	P0-3	"{""okaiin"": ""HARM""}"	62	4	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T03	P0-3	"{""okaiin"": ""THEN""}"	62	4	ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T04	P0-3	"{""okaiin"": ""OTHER_CARGO""}"	62	5	ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T05	P0-3	"{""okaiin"": ""FIRST_CARGO""}"	62	5	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T06	P0-3	"{""okaiin"": ""THERE""}"	62	3	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T07	P0-3	"{""okaiin"": ""C""}"	62	4	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P0-3-T08	P0-3	"{""okaiin"": ""G""}"	62	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	ZL3b|f112v|f112v.45-f112v.47:1cargo/1trips;IT2a|f24v|f24v.1-f24v.5:1cargo/1trips	0
P2-4-T01	P2-4	"{""dcheor"": ""M"", ""s"": ""W"", ""shodol"": ""M""}"	61	5	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T02	P2-4	"{""dcheor"": ""M"", ""s"": ""G"", ""shodol"": ""M""}"	61	3	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T03	P2-4	"{""dcheor"": ""M"", ""s"": ""C"", ""shodol"": ""M""}"	61	3	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T04	P2-4	"{""dcheor"": ""THEN"", ""s"": ""G"", ""shodol"": ""M""}"	61	6	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T05	P2-4	"{""dcheor"": ""M"", ""s"": ""THEN"", ""shodol"": ""M""}"	61	6	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T06	P2-4	"{""dcheor"": ""THEN"", ""s"": ""C"", ""shodol"": ""M""}"	61	6	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T07	P2-4	"{""dcheor"": ""THEN"", ""s"": ""W"", ""shodol"": ""M""}"	61	6	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:1cargo/1trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T08	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""G"", ""shodol"": ""M""}"	61	2	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T09	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""C"", ""shodol"": ""M""}"	61	2	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T10	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""C"", ""shodol"": ""M""}"	61	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T11	P2-4	"{""dcheor"": ""C"", ""s"": ""C"", ""shodol"": ""M""}"	61	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T12	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""G"", ""shodol"": ""M""}"	61	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T13	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""W"", ""shodol"": ""M""}"	61	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T14	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""W"", ""shodol"": ""M""}"	61	2	ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
P2-4-T15	P2-4	"{""dcheor"": ""W"", ""s"": ""W"", ""shodol"": ""M""}"	61	2	ZL-P00-V00,ZL-P00-V02,ZL-P00-V04,ZL-P00-V06	IT2a|f100r|f100r.12-f100r.15:2cargo/3trips;IT2a|f96r|f96r.9-f96r.13:1cargo/1trips	0
