fold_tag	model	selected_edges	selector_bits	all_events	all_bits	all_selector_paid_bits	all_exact_next_state	decisive_events	decisive_bits	decisive_selector_paid_bits	rank_sum	mean_rank	top1	top5	exact_next_state	mean_unlicensed_state_mass	mean_unlicensed_operator_mass	split	held_value
PHYSICAL_FOLIO:f1	PLACEMENT	0	0.000000000	12	52.127591018	52.127591018	2	2	12.434519200	12.434519200	39	19.500000000	0	1	0	0.056520568	0.077566016	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	EXACT_PREDECESSOR	0	0.000000000	12	52.658483516	52.658483516	2	2	12.616826658	12.616826658	39	19.500000000	0	1	0	0.053819691	0.075200250	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	SOURCE_STATE_TABLE	0	0.000000000	12	53.307773262	53.307773262	2	2	12.552311290	12.552311290	39	19.500000000	0	1	0	0.052930988	0.073586833	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	INDEPENDENT_MARGINAL	0	0.000000000	12	55.528814568	55.528814568	2	2	14.142529730	14.142529730	55	27.500000000	0	0	0	0.049327353	0.073475907	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	PAIR_GRAPH_NONWRAPPER	1	3.906890596	12	55.671374891	59.578265487	2	2	14.317147933	18.224038529	49	24.500000000	0	0	0	0.033362649	0.053064993	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	PAIR_GRAPH_FULL	3	8.829722735	12	55.273438433	64.103161168	2	2	14.252484253	23.082206988	40	20.000000000	0	1	0	0.032624096	0.052454706	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f1	EXACT_OPERATOR_LEXICON	0	0.000000000	12	62.136714109	62.136714109	0	2	13.610756128	13.610756128	51	25.500000000	0	0	0	0.089624916	0.000000000	PHYSICAL_FOLIO	f1
PHYSICAL_FOLIO:f10	PLACEMENT	0	0.000000000	54	224.104609361	224.104609361	14	1	10.320412381	10.320412381	78	78.000000000	0	0	0	0.050596445	0.051442076	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	EXACT_PREDECESSOR	0	0.000000000	54	221.409003006	221.409003006	14	1	10.320412381	10.320412381	78	78.000000000	0	0	0	0.050596445	0.051442076	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	SOURCE_STATE_TABLE	0	0.000000000	54	223.632906766	223.632906766	14	1	11.288866313	11.288866313	102	102.000000000	0	0	0	0.049928839	0.048040768	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	INDEPENDENT_MARGINAL	0	0.000000000	54	221.425444082	221.425444082	14	1	10.420293387	10.420293387	78	78.000000000	0	0	0	0.049647275	0.049351296	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	PAIR_GRAPH_NONWRAPPER	1	3.906890596	54	221.616541144	225.523431740	14	1	10.369268107	14.276158703	78	78.000000000	0	0	0	0.049964547	0.049736068	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	PAIR_GRAPH_FULL	3	8.829722735	54	219.879758445	228.709481181	14	1	10.386886511	19.216609246	78	78.000000000	0	0	0	0.034975511	0.039595565	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f10	EXACT_OPERATOR_LEXICON	0	0.000000000	53	275.065939532	275.065939532	8	1	10.499732449	10.499732449	113	113.000000000	0	0	0	0.002738099	0.000000000	PHYSICAL_FOLIO	f10
PHYSICAL_FOLIO:f100	PLACEMENT	0	0.000000000	26	112.417108395	112.417108395	8	5	30.154704876	30.154704876	90	18.000000000	0	2	0	0.052066264	0.069563818	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	EXACT_PREDECESSOR	0	0.000000000	26	111.260570108	111.260570108	8	5	30.682189428	30.682189428	96	19.200000000	0	2	0	0.051116946	0.070354875	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	SOURCE_STATE_TABLE	0	0.000000000	26	113.831858837	113.831858837	8	5	29.453206972	29.453206972	90	18.000000000	0	2	0	0.053960959	0.067195490	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	INDEPENDENT_MARGINAL	0	0.000000000	26	113.726837417	113.726837417	8	5	31.719992562	31.719992562	100	20.000000000	0	2	0	0.049245468	0.064336546	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	PAIR_GRAPH_NONWRAPPER	1	3.906890596	26	113.781965355	117.688855951	8	5	31.733643078	35.640533673	103	20.600000000	0	2	0	0.049535366	0.065396515	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	PAIR_GRAPH_FULL	3	8.829722735	26	114.263243423	123.092966158	8	5	32.552774573	41.382497308	112	22.400000000	0	2	0	0.027172546	0.045155047	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f100	EXACT_OPERATOR_LEXICON	0	0.000000000	26	145.269651345	145.269651345	2	5	38.586722626	38.586722626	324	64.800000000	0	2	0	0.038879880	0.000000000	PHYSICAL_FOLIO	f100
PHYSICAL_FOLIO:f102	PLACEMENT	0	0.000000000	44	209.218741257	209.218741257	10	8	52.699815674	52.699815674	286	35.750000000	1	4	1	0.054205327	0.075911767	PHYSICAL_FOLIO	f102
PHYSICAL_FOLIO:f102	EXACT_PREDECESSOR	0	0.000000000	44	209.172854203	209.172854203	10	8	53.334732040	53.334732040	301	37.625000000	1	4	1	0.055104661	0.077057569	PHYSICAL_FOLIO	f102
PHYSICAL_FOLIO:f102	SOURCE_STATE_TABLE	0	0.000000000	44	207.397042242	207.397042242	10	8	52.020550158	52.020550158	283	35.375000000	1	4	1	0.059233386	0.078662509	PHYSICAL_FOLIO	f102
PHYSICAL_FOLIO:f102	INDEPENDENT_MARGINAL	0	0.000000000	44	208.908181231	208.908181231	10	8	53.776596713	53.776596713	306	38.250000000	1	4	1	0.052276812	0.072840809	PHYSICAL_FOLIO	f102
PHYSICAL_FOLIO:f102	PAIR_GRAPH_NONWRAPPER	1	3.906890596	44	208.480671874	212.387562470	10	8	53.713358248	57.620248844	300	37.500000000	1	4	1	0.049131398	0.070343481	PHYSICAL_FOLIO	f102
