world	nonwrapper_gain	full_gain	max_two_gain
0	-1.270732835	-52.610778854	-1.270732835
1	-0.417251882	-41.922014759	-0.417251882
2	7.529855073	-43.677129994	7.529855073
3	-2.256394602	-83.070558250	-2.256394602
4	6.151495459	-62.738899789	6.151495459
5	7.310022461	-55.378483655	7.310022461
6	-1.558012163	-83.990678992	-1.558012163
7	15.040110652	-75.812544065	15.040110652
8	7.604267586	-65.319673275	7.604267586
9	-10.526141004	-63.550014654	-10.526141004
10	-10.575030598	-93.228617114	-10.575030598
11	7.295658077	-58.666083328	7.295658077
12	16.175407741	-39.487409181	16.175407741
13	-1.554150692	-88.519754774	-1.554150692
14	-10.095456604	-72.680475849	-10.095456604
15	6.911820875	-63.588607821	6.911820875
16	-19.879262784	-70.587528826	-19.879262784
17	7.938273870	-36.467233052	7.938273870
18	-1.153035951	-67.757704485	-1.153035951
19	-1.504506265	-74.602216564	-1.504506265
20	6.283591616	-81.102124323	6.283591616
21	-1.808865910	-43.087140979	-1.808865910
22	7.536448408	-53.002137851	7.536448408
23	6.607732823	-24.514712539	6.607732823
24	6.514931737	-58.143783013	6.514931737
25	7.095191843	-90.797477704	7.095191843
26	-1.532882646	-47.549187087	-1.532882646
27	6.169311305	-60.540238590	6.169311305
28	-3.437514118	-72.873132938	-3.437514118
29	6.805079197	-85.066300899	6.805079197
30	7.224113386	-54.580132870	7.224113386
31	7.041214451	-44.040843623	7.041214451
32	6.844360603	-55.364254998	6.844360603
33	7.673014007	-57.687788361	7.673014007
34	7.312155976	-86.201981118	7.312155976
35	-1.569251627	-74.128404449	-1.569251627
36	15.121371404	-60.054627689	15.121371404
37	7.522107842	-68.042599464	7.522107842
38	6.634453255	-15.880337595	6.634453255
39	15.171737096	-33.020785712	15.171737096
40	-9.859799801	-89.069012806	-9.859799801
41	-1.753486020	-56.541569965	-1.753486020
42	16.162886086	-38.187899321	16.162886086
43	-0.388532486	-54.142062407	-0.388532486
44	-2.659409669	-47.625731242	-2.659409669
45	15.088850549	-55.559655443	15.088850549
46	-1.770130571	-73.950014616	-1.770130571
47	16.814999046	-46.445562075	16.814999046
48	14.580243569	-27.579132641	14.580243569
49	16.202128173	-27.999904168	16.202128173
50	-10.091687822	-83.528703960	-10.091687822
51	6.451050312	-38.356565848	6.451050312
52	-2.192681128	-41.456273354	-2.192681128
53	-1.014650380	-80.722941832	-1.014650380
54	6.927205361	-81.056892961	6.927205361
55	6.869504084	-25.855186021	6.869504084
56	-2.025621159	-36.730057549	-2.025621159
57	7.521476633	-41.843887579	7.521476633
58	5.566220512	-76.021011197	5.566220512
59	-9.939076917	-72.837857887	-9.939076917
60	6.394665368	-50.705260548	6.394665368
61	-2.114422514	-85.892795206	-2.114422514
62	-9.889536128	-65.474111580	-9.889536128
63	14.646092652	-57.237104299	14.646092652
64	-0.943021331	-82.279996007	-0.943021331
65	-1.508367737	-56.753176690	-1.508367737
66	-1.110914744	-54.211450334	-1.110914744
67	-0.397706684	-61.704557368	-0.397706684
68	5.407635303	-45.215097095	5.407635303
69	16.329289086	-49.349497519	16.329289086
70	-2.778031526	-85.968263907	-2.778031526
71	-2.139443015	-94.010608384	-2.139443015
72	6.446409313	-45.833354565	6.446409313
73	-2.659409669	-75.445266246	-2.659409669
74	-9.870239959	-57.911920504	-9.870239959
75	15.942413838	-45.094135732	15.942413838
76	7.021901470	-34.945916991	7.021901470
77	-2.456319522	-54.091791351	-2.456319522
78	-0.605242357	-49.911836672	-0.605242357
79	7.542280835	-61.248717555	7.542280835
80	6.694094073	-76.209420645	6.694094073
81	7.767552729	-38.542945901	7.767552729
82	6.848071310	-46.757781335	6.848071310
83	-18.121676005	-115.661538200	-18.121676005
84	6.406994997	-66.796241204	6.406994997
85	6.151495459	-46.856670298	6.151495459
86	7.124014692	-62.422426749	7.124014692
87	15.293434817	-12.211372262	15.293434817
88	-1.534039834	-54.690516593	-1.534039834
89	-1.721050329	-56.159772656	-1.721050329
90	-10.386860390	-88.258260881	-10.386860390
91	-1.545300902	-43.173916262	-1.545300902
92	-1.525569181	-71.657718631	-1.525569181
93	-0.919137630	-67.437877860	-0.919137630
94	-2.816214949	-82.207616326	-2.816214949
95	7.783656997	-56.904492437	7.783656997
96	7.500177005	-47.414319675	7.500177005
97	-1.558012163	-74.002944694	-1.558012163
98	-1.301885190	-51.543394437	-1.301885190
99	7.149868487	-53.506785765	7.149868487
100	6.917946804	-45.562585373	6.917946804
101	-0.856350670	-79.217389464	-0.856350670
102	-1.512154376	-32.942533672	-1.512154376
103	8.107400165	-75.294337825	8.107400165
104	7.558409799	-34.574835572	7.558409799
105	6.722294662	-74.370010934	6.722294662
106	6.648705048	-60.427776254	6.648705048
107	15.325801704	-67.574115954	15.325801704
108	-2.377077916	-81.820182326	-2.377077916
109	-1.466264767	-62.125078122	-1.466264767
110	16.149685478	-41.581016813	16.149685478
111	-11.673578520	-99.500914763	-11.673578520
112	-1.056901262	-78.152503505	-1.056901262
113	-2.117279389	-43.400283909	-2.117279389
114	-1.301885190	-97.318615086	-1.301885190
115	-11.264131975	-69.823291164	-11.264131975
116	14.871219640	-35.398021610	14.871219640
117	-2.677705249	-76.360188411	-2.677705249
118	6.059337575	-42.896874438	6.059337575
119	7.679817391	-68.512144902	7.679817391
120	-9.681016364	-52.363499949	-9.681016364
121	7.496208668	-39.839455980	7.496208668
122	15.294960226	-62.865612858	15.294960226
123	-1.769802218	-83.626934471	-1.769802218
124	7.603173152	-39.674711946	7.603173152
125	15.260665236	-59.445249011	15.260665236
126	15.025241395	-39.330314314	15.025241395
127	-2.455414993	-100.916970325	-2.455414993
128	-1.954237068	-83.926692652	-1.954237068
129	-1.519022258	-66.348160314	-1.519022258
130	-10.336193130	-78.420031928	-10.336193130
131	-1.632902189	-83.355711140	-1.632902189
132	6.647542322	-46.447334508	6.647542322
133	-2.609911037	-42.899968693	-2.609911037
134	15.256019446	-12.069233361	15.256019446
135	6.079656362	-59.663462613	6.079656362
136	6.406219627	-70.310319742	6.406219627
137	6.800515743	-41.747062900	6.800515743
138	-9.516998217	-91.339910496	-9.516998217
139	-18.948344491	-96.200964628	-18.948344491
140	-1.462509949	-55.924922667	-1.462509949
141	5.700473715	-32.326822131	5.700473715
142	-11.153368156	-77.419864737	-11.153368156
143	15.486234549	-72.209988816	15.486234549
144	-3.245012726	-44.521600200	-3.245012726
145	-2.869734404	-58.248915510	-2.869734404
146	15.050713371	-62.385411480	15.050713371
147	7.058023175	-41.230839212	7.058023175
148	15.718097589	-39.703260642	15.718097589
149	8.264632539	-48.175137825	8.264632539
150	7.112622619	-73.651577432	7.112622619
151	-1.817444990	-53.062382249	-1.817444990
152	-1.118922140	-35.555004061	-1.118922140
153	-10.566589404	-105.637618499	-10.566589404
154	6.644449646	-42.624080779	6.644449646
155	7.933808331	-51.844513084	7.933808331
156	-1.159747711	-99.347105713	-1.159747711
157	-1.770130571	-38.629142044	-1.770130571
158	6.484142207	-25.378002038	6.484142207
159	6.172286484	-9.653064919	6.172286484
160	15.452770702	-83.802807403	15.452770702
161	7.145063694	-91.360291304	7.145063694
162	16.580066521	-38.004553444	16.580066521
163	6.157030467	-84.204360779	6.157030467
164	-9.016955528	-67.654081451	-9.016955528
165	7.506831791	-46.877286179	7.506831791
166	6.213687682	-90.535509151	6.213687682
167	16.371254468	-86.722796259	16.371254468
168	-1.348461018	-79.377429498	-1.348461018
169	6.635371341	-63.400388304	6.635371341
170	7.586092835	-52.189567526	7.586092835
171	14.997549409	-59.261315273	14.997549409
172	5.783947314	-48.498686731	5.783947314
173	6.236097535	-68.540788592	6.236097535
174	7.676106683	-52.909247635	7.676106683
175	-1.015744814	-53.638868608	-1.015744814
176	7.984177035	-110.943046811	7.984177035
177	-1.766002883	-88.728591019	-1.766002883
178	14.678488502	-48.221408783	14.678488502
179	6.630484918	-66.586882201	6.630484918
180	7.068852970	-48.392367986	7.068852970
181	5.958454910	-44.916676709	5.958454910
182	15.018370988	-42.526795743	15.018370988
183	-11.473179310	-55.040227553	-11.473179310
184	-1.286919874	-82.451040966	-1.286919874
185	15.778047818	-7.511698589	15.778047818
186	-2.134783667	-77.101587372	-2.134783667
187	6.882646618	-52.025373814	6.882646618
188	6.238828262	-65.168511476	6.238828262
189	6.677240831	-58.324972909	6.677240831
190	-10.809620996	-80.304825095	-10.809620996
191	7.049584506	-32.466101546	7.049584506
192	15.890965145	-62.094016227	15.890965145
193	16.593539933	-65.557425507	16.593539933
194	14.808432679	-35.906054047	14.808432679
195	-3.234303142	-97.267570265	-3.234303142
196	-1.558012163	-39.176134929	-1.558012163
197	-1.310699254	-52.550337360	-1.310699254
198	8.135083201	-62.680272525	8.135083201
199	6.845904768	-49.106441581	6.845904768
200	-1.983324381	-77.353901056	-1.983324381
201	14.808477197	-37.684241961	14.808477197
202	6.282867338	-71.213931776	6.282867338
203	7.165837342	-32.231663567	7.165837342
204	15.252264628	-33.950082734	15.252264628
205	-2.204516728	-79.887616185	-2.204516728
206	6.440510459	-69.311106306	6.440510459
207	16.137183620	-44.409683811	16.137183620
208	-1.931266846	-58.494344486	-1.931266846
209	15.908045462	-27.604967538	15.908045462
210	7.282501985	-61.598097211	7.282501985
211	-9.953169359	-84.662814355	-9.953169359
212	-17.850621775	-75.665452535	-17.850621775
213	-9.979023155	-93.935100768	-9.979023155
214	7.562347582	-22.994474749	7.562347582
215	-2.183485102	-55.743536385	-2.183485102
216	15.089813153	-72.428924109	15.089813153
217	-1.700144850	-59.703502926	-1.700144850
218	-0.861876915	-42.921555162	-0.861876915
219	7.575548190	-28.021496887	7.575548190
220	7.415890500	-59.282346783	7.415890500
221	-1.495601845	-74.979926767	-1.495601845
222	-1.102536305	-81.411234095	-1.102536305
223	-10.407530640	-106.654212130	-10.407530640
224	-1.565696001	-57.008900720	-1.565696001
225	16.600343316	-21.130434735	16.600343316
226	-2.237784084	-76.518365415	-2.237784084
227	8.127404157	-52.023973172	8.127404157
228	7.967996456	-34.850567165	7.967996456
229	7.463062142	-36.044962124	7.463062142
230	6.481314425	-83.046431197	6.481314425
231	-0.738653785	-60.739763549	-0.738653785
232	8.007186594	-66.991074232	8.007186594
233	6.890263768	-46.068438709	6.890263768
234	7.058014226	-22.887093322	7.058014226
235	5.757904318	-48.845446952	5.757904318
236	7.041169934	-42.617502529	7.041169934
237	-1.983877502	-67.929566291	-1.983877502
238	16.321654559	-76.584542166	16.321654559
239	6.406994997	-50.078516661	6.406994997
240	-1.570161540	-65.419286245	-1.570161540
241	-0.705386430	-58.838686400	-0.705386430
242	-1.586517579	-32.613911833	-1.586517579
243	15.564393154	-31.988680962	15.564393154
244	6.977009881	-38.148216111	6.977009881
245	5.497290246	-97.992639353	5.497290246
246	-2.101279980	-61.526908126	-2.101279980
247	7.673918537	-41.422133660	7.673918537
248	15.753297108	-81.858716875	15.753297108
249	-1.978751977	-66.463163870	-1.978751977
250	6.231231256	-63.167084833	6.231231256
251	15.480507205	-49.066881074	15.480507205
252	-9.703204830	-48.486473364	-9.703204830
253	-1.340381254	-55.153879153	-1.340381254
254	-1.714360215	-49.022205143	-1.714360215
255	7.597257271	-66.643262690	7.597257271
256	7.563442016	-33.385994053	7.563442016
257	7.451628280	-57.366559851	7.451628280
258	6.474188503	-63.552722519	6.474188503
259	15.485166553	-40.371183365	15.485166553
260	15.255961371	-14.838463013	15.255961371
261	8.461489800	-36.114971619	8.461489800
262	7.325380662	-27.843282487	7.325380662
263	7.329219839	-72.976773527	7.329219839
264	7.334193982	-64.599367402	7.334193982
265	14.603988822	-43.278388403	14.603988822
266	-1.921472503	-76.022743602	-1.921472503
267	15.530098165	-30.006425910	15.530098165
268	7.716901700	-37.112319415	7.716901700
269	8.164581775	-58.771710561	8.164581775
270	7.345471504	-72.561821310	7.345471504
271	-10.174555086	-79.139180319	-10.174555086
272	-1.586575654	-84.464671729	-1.586575654
273	6.615140274	-115.458155500	6.615140274
274	7.041169934	-69.583727835	7.041169934
275	6.444221167	-29.567380462	6.444221167
276	16.305405385	-42.702035831	16.305405385
277	-2.405570111	-75.378948385	-2.405570111
278	-1.599718188	-49.941564814	-1.599718188
279	-10.395424466	-95.376684647	-10.395424466
280	-9.550535851	-78.105787742	-9.550535851
281	0.020875536	-31.160319852	0.020875536
282	7.058927705	-69.998262842	7.058927705
283	15.703865458	-19.207340966	15.703865458
284	-2.348139776	-58.826567281	-2.348139776
285	7.554625685	-59.728106394	7.554625685
286	-3.425306667	-80.838266846	-3.425306667
287	-2.503913488	-25.915566120	-2.503913488
288	-1.579801139	-50.203638350	-1.579801139
289	-1.366742634	-61.933777127	-1.366742634
290	6.309376418	-26.520534768	6.309376418
291	-2.175564720	-94.630049186	-2.175564720
292	16.124845228	-28.845863454	16.124845228
293	-2.652166249	-83.048960278	-2.652166249
294	15.911777774	-65.562866683	15.911777774
295	16.810339699	-40.356478635	16.810339699
296	8.465183131	-41.634962862	8.465183131
297	5.604191975	-54.421879041	5.604191975
298	-9.873407164	-80.515917662	-9.873407164
299	7.129055858	-35.197369339	7.129055858
300	15.547895254	-45.482437727	15.547895254
301	16.104854793	-64.985297475	16.104854793
302	16.831174834	-24.844814736	16.831174834
303	-10.091518821	-78.130721325	-10.091518821
304	7.930821902	-61.317877796	7.930821902
305	6.506434993	-25.565368793	6.506434993
306	-2.117377305	-75.997990991	-2.117377305
307	6.887003141	-62.885115219	6.887003141
308	-1.737406368	-54.781133702	-1.737406368
309	7.713839578	-67.869404662	7.713839578
310	7.111635938	-56.655119646	7.111635938
311	6.454805130	-44.860099418	6.454805130
312	-10.111812643	-92.132177693	-10.111812643
313	7.085790570	-38.592830450	7.085790570
314	14.785453508	-48.057734121	14.785453508
315	-1.801088951	-56.316609208	-1.801088951
316	-10.302920456	-88.998337085	-10.302920456
317	8.198963708	-49.415437020	8.198963708
318	16.841719478	-50.448006994	16.841719478
319	7.738863090	-47.552085302	7.738863090
320	-1.656105775	-46.300260602	-1.656105775
321	16.597281194	-75.301193252	16.597281194
322	-11.263169371	-66.862978619	-11.263169371
323	6.677240831	-50.484924526	6.677240831
324	-2.364495815	-51.999691252	-2.364495815
325	-2.480895919	-66.588057848	-2.480895919
326	-0.659586717	-64.759566162	-0.659586717
327	-2.347302793	-65.373004104	-2.347302793
328	-1.595105422	-65.543069268	-1.595105422
329	7.930594826	-43.527815643	7.930594826
330	15.775249549	-48.901620547	15.775249549
331	7.716932254	-75.974226943	7.716932254
332	-18.569204698	-86.676457626	-18.569204698
333	7.754937951	-66.401232106	7.754937951
334	-2.654750322	-60.924129842	-2.654750322
335	-1.742088629	-60.493904248	-1.742088629
336	-3.235314537	-66.453502095	-3.235314537
337	15.460449746	-22.483812416	15.460449746
338	-0.842922636	-101.014818881	-0.842922636
339	7.290225140	-24.786334282	7.290225140
