system	held_unit	events	independent_bits	graph_bits	graph_gain_bits	positive
LEXICAL_A	U1332e0f8ebdc2a11	943	891.75783614555644	924.77774421256549	-33.019908067009005	0
LEXICAL_A	U8135481bbd270d78	239	224.97216764056628	234.58820200535968	-9.6160343647934035	0
LEXICAL_A	Ud111d257de920cbc	1413	1345.0246276446442	1368.9645196300723	-23.939891985428108	0
LEXICAL_A	Ue8fdbc48ecfd63d7	231	216.1225082287346	217.60062668086007	-1.4781184521254489	0
LEXICAL_A	Ufeba34a10a95b31d	277	264.74585876530205	278.87736473753438	-14.131505972232356	0
FACTORIAL_B	U1332e0f8ebdc2a11	943	2829.9726416700569	3428.8569652724391	-598.88432360238244	0
FACTORIAL_B	U8135481bbd270d78	239	632.76078461657187	748.53670100467275	-115.77591638810091	0
FACTORIAL_B	Ud111d257de920cbc	1413	3422.0234755206075	3887.9289135527106	-465.90543803210323	0
FACTORIAL_B	Ue8fdbc48ecfd63d7	231	506.67381313203316	571.51627478744149	-64.842461655408357	0
FACTORIAL_B	Ufeba34a10a95b31d	277	769.70651507397804	928.00090370069927	-158.29438862672126	0
HUMAN_GROWN_B2	U1332e0f8ebdc2a11	943	1963.4982399325645	2204.6237119182547	-241.12547198568996	0
HUMAN_GROWN_B2	U8135481bbd270d78	239	437.4280735559143	490.52745539957908	-53.099381843664766	0
HUMAN_GROWN_B2	Ud111d257de920cbc	1413	3005.4652847427842	3433.1381004277105	-427.67281568492621	0
HUMAN_GROWN_B2	Ue8fdbc48ecfd63d7	231	392.78472659492468	408.52472310195583	-15.739996507031135	0
HUMAN_GROWN_B2	Ufeba34a10a95b31d	277	555.74783964157723	606.39589282530324	-50.648053183726013	0
