endpoint	best_representation	transfer_auc_floor	max_family_p	status	voynich_eligible
HEAD_WITH_DEPENDENTS	SCOPE_HORIZON	0.603566118	1.000000000	NO_CROSS_DOMAIN_TRANSFER	0
HIGH_VALENCY_HEAD	NONE			NO_CROSS_DOMAIN_TRANSFER	0
REF_ANAPHORA	NEIGHBOR_RECURRENCE	0.629540684	1.000000000	NO_CROSS_DOMAIN_TRANSFER	0
CORRELATIVE_MEMBER	WITHIN_RECORD_RANK	0.597724889	1.000000000	NO_CROSS_DOMAIN_TRANSFER	0
NEXT_RESUME	SCOPE_HORIZON	0.544766114	1.000000000	NO_CROSS_DOMAIN_TRANSFER	0
UNTIL_STATE_GATE	WITHIN_RECORD_RANK	0.835989030	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
COORDINATOR	ABSOLUTE_PROBABILITY	0.967012734	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
ALTERNATIVE_OR	NEIGHBOR_RECURRENCE	0.899069818	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
POLARITY_EXCLUSION	NEIGHBOR_RECURRENCE	0.770314436	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
COMPARISON	NEIGHBOR_RECURRENCE	0.644175125	1.000000000	NO_CROSS_DOMAIN_TRANSFER	0
FUNCTION_WORD	ABSOLUTE_PROBABILITY	0.856462092	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
STATE_TRANSITION	NEIGHBOR_RECURRENCE	0.770355889	0.003891051	COMPARATOR_TRANSFER_PROVISIONAL	0
CLOSER	WITHIN_RECORD_RANK	0.700215345	0.007782101	COMPARATOR_TRANSFER_PROVISIONAL	0
