endpoint	model	macro_auc	gain_bits	positive_domains	domain_aucs_json	domain_gains_json	max_family_p
FUNCTION_WORD	HIERARCHICAL_EVIDENCE	0.8100671424659966	26173.207958675266	3	"{""CURIOUS_CURES"":0.9756716678915316,""HARLEIAN_COOKERY"":0.6829163419887699,""PCEEC2"":0.9364783172578576,""QUINTE_ESSENCE"":0.6452022427258276}"	"{""CURIOUS_CURES"":8620.856335553071,""HARLEIAN_COOKERY"":5114.651593198396,""PCEEC2"":14109.958818994983,""QUINTE_ESSENCE"":-1672.2587890711839}"	0.001949317738791423
FUNCTION_WORD	HIERARCHICAL_OMITTED	0.8054092498539043	21445.70773922373	3	"{""CURIOUS_CURES"":0.9880828206574166,""HARLEIAN_COOKERY"":0.6421168302016661,""PCEEC2"":0.9178201386101464,""QUINTE_ESSENCE"":0.6736172099463879}"	"{""CURIOUS_CURES"":8169.254595707624,""HARLEIAN_COOKERY"":6666.643635699329,""PCEEC2"":7409.819110786102,""QUINTE_ESSENCE"":-800.009602969325}"	NA
FUNCTION_WORD	HIERARCHICAL_CONDITIONED_NUISANCE	0.3423718195900777	-195767.20151320274	0	"{""CURIOUS_CURES"":0.37883071100626103,""HARLEIAN_COOKERY"":0.3809238246556841,""PCEEC2"":0.12624893371758902,""QUINTE_ESSENCE"":0.48348380898077664}"	"{""CURIOUS_CURES"":-61012.67040743525,""HARLEIAN_COOKERY"":-58319.238081347496,""PCEEC2"":-70570.59954148615,""QUINTE_ESSENCE"":-5864.693482933839}"	NA
FUNCTION_WORD	EXACT_JOINT_ONLY	0.6868160363508529	13090.487311112838	3	"{""CURIOUS_CURES"":0.9751341443763621,""HARLEIAN_COOKERY"":0.46372929642807315,""PCEEC2"":0.7676091847980222,""QUINTE_ESSENCE"":0.5407915198009537}"	"{""CURIOUS_CURES"":5896.731319140959,""HARLEIAN_COOKERY"":3074.1385187514315,""PCEEC2"":4830.50202964613,""QUINTE_ESSENCE"":-710.8845564256826}"	NA
FUNCTION_WORD	STRICT_UNIVERSAL	0.3884169335017783	-29140.118942621477	1	"{""CURIOUS_CURES"":0.4977456766465151,""HARLEIAN_COOKERY"":0.17490061095979406,""PCEEC2"":0.4736066717100861,""QUINTE_ESSENCE"":0.4074147746907181}"	"{""CURIOUS_CURES"":-750.2314773320995,""HARLEIAN_COOKERY"":129.77306974801468,""PCEEC2"":-26594.86707775627,""QUINTE_ESSENCE"":-1924.7934572811228}"	NA
ALTERNATIVE_OR	HIERARCHICAL_EVIDENCE	0.7782727689024094	284.7277576090721	4	"{""COREMA"":0.695025659078859,""CURIOUS_CURES"":0.9531734715231741,""HARLEIAN_COOKERY"":0.8605872739567203,""PCEEC2"":0.8866172693447236,""QUINTE_ESSENCE"":0.4959601706085702}"	"{""COREMA"":141.6135699541478,""CURIOUS_CURES"":327.49635700135445,""HARLEIAN_COOKERY"":634.2562989222929,""PCEEC2"":203.9367667745746,""QUINTE_ESSENCE"":-1022.5752350432977}"	0.001949317738791423
ALTERNATIVE_OR	HIERARCHICAL_OMITTED	0.8586669194511437	1245.0660830744152	5	"{""COREMA"":0.6505004282513206,""CURIOUS_CURES"":0.9701396795669862,""HARLEIAN_COOKERY"":0.9292929484225014,""PCEEC2"":0.9656512239217223,""QUINTE_ESSENCE"":0.7777503170931881}"	"{""COREMA"":51.82325098862975,""CURIOUS_CURES"":297.63704391119643,""HARLEIAN_COOKERY"":615.9691881703725,""PCEEC2"":205.06994751637865,""QUINTE_ESSENCE"":74.56665248783793}"	NA
ALTERNATIVE_OR	HIERARCHICAL_CONDITIONED_NUISANCE	0.39860939418175884	-76525.65100872316	0	"{""COREMA"":0.3425334600546685,""CURIOUS_CURES"":0.34577644884741304,""HARLEIAN_COOKERY"":0.37422798282504327,""PCEEC2"":0.31405038834131016,""QUINTE_ESSENCE"":0.6164586908403591}"	"{""COREMA"":-17873.377315505502,""CURIOUS_CURES"":-12817.266534409218,""HARLEIAN_COOKERY"":-25666.96724972306,""PCEEC2"":-18236.130459666052,""QUINTE_ESSENCE"":-1931.9094494193246}"	NA
ALTERNATIVE_OR	EXACT_JOINT_ONLY	0.670373845637918	103.93020360871367	4	"{""COREMA"":0.5002553729034184,""CURIOUS_CURES"":0.8607286889345266,""HARLEIAN_COOKERY"":0.7493433734107131,""PCEEC2"":0.7231429270153928,""QUINTE_ESSENCE"":0.5183988659255391}"	"{""COREMA"":-163.9813085961755,""CURIOUS_CURES"":149.46050659883065,""HARLEIAN_COOKERY"":42.91931598251722,""PCEEC2"":69.97691630464738,""QUINTE_ESSENCE"":5.554773318893922}"	NA
ALTERNATIVE_OR	STRICT_UNIVERSAL	0.45407664601132325	-654.0350693510038	1	"{""COREMA"":0.5560606715158412,""CURIOUS_CURES"":0.34827404577715826,""HARLEIAN_COOKERY"":0.4990116545488278,""PCEEC2"":0.37308774234520764,""QUINTE_ESSENCE"":0.49394911586958146}"	"{""COREMA"":-163.51944538997986,""CURIOUS_CURES"":-153.9446720606138,""HARLEIAN_COOKERY"":-68.11848359429223,""PCEEC2"":-306.18968987630774,""QUINTE_ESSENCE"":37.73722157018983}"	NA
