amber_id	surface	target_page	pair_ordinal	left_atom	right_atom	pair	other_event_count	other_surface_count	other_page_count	old22_event_count	old22_page_count	random4_other_event_count	supporting_pages	example_surfaces
G405-M001	alfshed	f95v	1	AL	LOCAL_CHAR_F	AL+LOCAL_CHAR_F	0	0	0	0	0	0	NONE	NONE
G405-M001	alfshed	f95v	2	LOCAL_CHAR_F	SH	LOCAL_CHAR_F+SH	2	2	2	1	1	1	f17r|f81r	fshody|ofshdy
G405-M001	alfshed	f95v	3	SH	E	SH+E	333	110	20	284	17	49	f11r|f13r|f17r|f1r|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	chorshedy|dalshedy|dkshey|dolshed|dorsheoy|dsheckhy|dshedy|dsheol
G405-M001	alfshed	f95v	4	E	D_ADDR	E+D_ADDR	28	23	9	25	8	3	f55v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f95v	altedy|chetedy|chkedy|dcheokedy|dchsed|kshed|lkedey|lshedary
G405-M002	arsa	f24v	1	AR	S	AR+S	0	0	0	0	0	0	NONE	NONE
G405-M002	arsa	f24v	2	S	A_ADDR	S+A_ADDR	6	6	4	6	4	0	f72r|f77r|f81v|f82r	okalshey|posalshy|sa|saiisol|salshcthdy|salshey
G405-M003	chdyty	f95v	1	CHD	Y	CHD+Y	163	38	15	138	11	25	f1r|f24v|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	chdy|chdykain|chedchy|chedy|chedykar|chedyl|chedyqokam|chopchedy
G405-M003	chdyty	f95v	2	Y	T	Y+T	42	30	17	34	14	8	f10r|f11r|f13r|f18r|f1r|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f81r|f81v|f83r|f89r|f95v	archytaiin|ashyteed|otytchol|salchtedytar|shoyty|yoeteey|yt|ytaiin
G405-M003	chdyty	f95v	3	T	Y	T+Y	78	34	19	62	15	16	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	chcthy|chcthykedy|checthy|cheeety|cheety|chety|chetyry|chocthy
G405-M004	cheeodam	f24v	1	CH	EE	CH+EE	36	22	16	32	12	4	f1r|f24v|f55v|f56r|f68r1|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	archeey|cheeb|cheeckhody|cheedy|cheeody|cheeor|cheeteey|cheety
G405-M004	cheeodam	f24v	2	EE	O	EE+O	20	19	7	19	6	1	f67r2|f71v|f72r|f76r|f88v|f89r|f95v	cheeody|keeo|keeod|keeodaiin|keeokechy|oeeos|okeeo|okeeody
G405-M004	cheeodam	f24v	3	O	D_ADDR	O+D_ADDR	113	78	22	80	18	33	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f88r|f88v|f89r|f95v	cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody
G405-M004	cheeodam	f24v	4	D_ADDR	AM_ADDR	D_ADDR+AM_ADDR	1	1	1	1	1	0	f17r	qodam
G405-M005	chetyry	f81r	1	CH	E	CH+E	180	86	21	167	17	13	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	che|chead|chear|checholtar|checkhey|checkho|checkhy|checphedy
G405-M005	chetyry	f81r	2	E	T	E+T	16	15	9	15	8	1	f10r|f17r|f72r|f77r|f81v|f83r|f88r|f89r|f95v	chetchy|chetedy|cheteg|chetey|eteeey|ety|etyd|lshety
G405-M005	chetyry	f81r	3	T	Y	T+Y	78	34	19	62	15	16	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	chcthy|chcthykedy|chdyty|checthy|cheeety|cheety|chety|chocthy
G405-M005	chetyry	f81r	4	Y	R	Y+R	1	1	1	1	1	0	f89r	sheyr
G405-M005	chetyry	f81r	5	R	Y	R+Y	7	2	6	7	6	0	f18r|f55v|f68r1|f75r|f77r|f82r	dary|ry
G405-M006	ckhyds	f1r	1	CH	K	CH+K	165	81	23	154	19	11	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	chchky|chckh|chckhal|chckhdy|chckheed|chckhey|chckho|chckhol
G405-M006	ckhyds	f1r	2	K	Y	K+Y	105	42	22	98	18	7	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	chchky|chckhy|checkhy|chekackhy|cheockhy|cheoky|chky|chockhy
G405-M006	ckhyds	f1r	3	Y	D_ADDR	Y+D_ADDR	17	12	8	12	6	5	f10r|f17r|f18r|f1r|f24v|f67r2|f81v|f89r	cthyd|dsholyd|opydg|oydar|pydeey|ydaiin|ydair|ydar
G405-M006	ckhyds	f1r	4	D_ADDR	S	D_ADDR+S	1	1	1	1	1	0	f17r	ods
G405-M007	cphodaiils	f1r	1	CH	P	CH+P	38	33	16	26	13	12	f11r|f17r|f1r|f24v|f56r|f68r1|f71v|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r	chcphdy|chcphedy|chcphey|chcphy|checphedy|cheocphey|cheocphy|chlchpsheey
G405-M007	cphodaiils	f1r	2	P	O	P+O	10	10	8	5	5	5	f17r|f1r|f24v|f67r2|f82r|f88r|f89r|f95v	cpho|cphodal|cphoy|opodchol|opom|podar|poeear|porachol
G405-M007	cphodaiils	f1r	3	O	D_ADDR	O+D_ADDR	113	78	22	80	18	33	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f88r|f88v|f89r|f95v	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl
