held_page	surface	held_event_count	held_recipe_count	held_recipes	exact_surface_other_pages	exact_recipe_other_pages	surface_portability	recipe_portability
f1r	ain	1	1	AIN	f55v|f67r2|f75r|f76r|f77r|f81r|f88v|f89r	f10r|f11r|f18r|f55v|f67r2|f75r|f76r|f77r|f81r|f81v|f83r|f88v|f89r|f95v	CROSS_PAGE	CROSS_PAGE
f1r	ar	1	1	AR	f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f83r|f88r|f89r|f95v	f10r|f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r|f95v	CROSS_PAGE	CROSS_PAGE
f1r	ase	1	1	A_ADDR+S+E	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	ataiin	1	1	A_ADDR+T+AIIN	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	cfhaiin	1	1	CH+LOCAL_CHAR_F+AIIN	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	cfhoaiin	1	1	CH+LOCAL_CHAR_F+O+AIIN	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	cfhol	1	1	CH+LOCAL_CHAR_F+OL	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	cha	1	1	CH+A_ADDR	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	chal	1	1	CH+AL	f56r|f71v|f72r|f75r|f76r|f81v	f56r|f71v|f72r|f75r|f76r|f81v	CROSS_PAGE	CROSS_PAGE
f1r	char	1	1	AR	f10r|f75r|f82r|f95v	f10r|f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f82r|f83r|f88r|f89r|f95v	CROSS_PAGE	CROSS_PAGE
f1r	chdy	1	1	CHD+Y	f56r|f75r|f76r|f77r|f81v|f82r|f83r|f95v	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	CROSS_PAGE	CROSS_PAGE
f1r	chear	1	1	CH+E+AR	f17r|f24v|f76r|f88r	f17r|f24v|f76r|f88r|f89r	CROSS_PAGE	CROSS_PAGE
f1r	chekain	1	1	CH+K+AIN	f76r	f76r|f83r	CROSS_PAGE	CROSS_PAGE
f1r	chey	3	1	Y	f18r|f55v|f56r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r|f95v	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE	CROSS_PAGE
f1r	cho	1	1	HO	f17r|f24v|f55v|f56r|f88v|f89r	f17r|f24v|f55v|f56r|f88v|f89r	CROSS_PAGE	CROSS_PAGE
f1r	chocthy	1	1	CH+O+CH+T+Y	f10r	f10r	CROSS_PAGE	CROSS_PAGE
f1r	chodaiin	1	1	CH+O+D_ADDR+AIIN	f10r|f76r|f89r	f10r|f76r|f89r	CROSS_PAGE	CROSS_PAGE
f1r	chodain	1	1	CH+O+D_ADDR+AIN	NONE	NONE	PAGE_PRIVATE	PAGE_PRIVATE
f1r	chok	1	1	OK	f56r	f24v|f56r|f75r	CROSS_PAGE	CROSS_PAGE
f1r	chol	7	1	OL	f10r|f11r|f13r|f17r|f18r|f24v|f56r|f67r2|f72r|f76r|f77r|f81r|f88r|f89r	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CROSS_PAGE	CROSS_PAGE
