page_ordinal	physical_page	registers	visible_group_count	running_event_count	local_group_count	statement_count	focus_attachment_count	open_statement_count	amber_event_count	distinct_surface_count	semantic_statement_count	running_reading_count	local_copy_count	chd_bearbeiten_mentions	air_bahn_mentions	page_reading_mode
1	f1r	SOURCE_SECTION_T	214	214	0	7	203	3	17	164	7	214	0	1	3	RUNNING_WORKSHOP_READING
2	f10r	HERBAL	92	92	0	2	82	1	0	72	2	92	0	0	2	RUNNING_WORKSHOP_READING
3	f11r	HERBAL	59	59	0	2	54	1	0	42	2	59	0	0	1	RUNNING_WORKSHOP_READING
4	f13r	HERBAL	77	77	0	5	68	1	0	61	5	77	0	0	0	RUNNING_WORKSHOP_READING
5	f17r	HERBAL	80	78	2	8	62	1	0	76	8	78	2	0	3	RUNNING_WORKSHOP_READING
6	f18r	HERBAL	84	84	0	5	75	0	0	63	5	84	0	0	3	RUNNING_WORKSHOP_READING
7	f24v	HERBAL	86	86	0	3	67	2	10	79	3	86	0	1	0	RUNNING_WORKSHOP_READING
8	f55v	HERBAL	106	106	0	5	120	1	0	74	5	106	0	7	1	RUNNING_WORKSHOP_READING
9	f56r	HERBAL	105	105	0	3	94	1	0	81	3	105	0	1	0	RUNNING_WORKSHOP_READING
10	f67r2	CELESTIAL	190	126	64	11	145	1	0	157	11	126	64	1	4	RUNNING_WORKSHOP_READING
11	f68r1	CELESTIAL	65	31	34	3	44	0	0	64	3	31	34	0	0	RUNNING_WORKSHOP_READING
12	f69v	CELESTIAL	140	0	140	0	0	0	0	107	0	0	140	0	0	LOCAL_COPY_ONLY
13	f70v	CELESTIAL	218	0	218	0	0	0	0	170	0	0	218	0	0	LOCAL_COPY_ONLY
14	f71v	CELESTIAL	100	78	22	5	105	1	0	83	5	78	22	0	0	RUNNING_WORKSHOP_READING
15	f72r	CELESTIAL	384	288	96	22	352	0	0	270	22	288	96	6	2	RUNNING_WORKSHOP_READING
16	f75r	BIOLOGICAL	418	408	10	111	433	0	0	203	111	408	10	28	2	RUNNING_WORKSHOP_READING
17	f76r	BIOLOGICAL	569	560	9	118	652	0	0	259	118	560	9	60	2	RUNNING_WORKSHOP_READING
18	f77r	BIOLOGICAL	332	321	11	82	359	0	0	177	82	321	11	31	0	RUNNING_WORKSHOP_READING
19	f81r	BIOLOGICAL	210	210	0	48	213	1	9	128	48	210	0	24	1	RUNNING_WORKSHOP_READING
20	f81v	BIOLOGICAL	255	253	2	54	282	0	0	157	54	253	2	26	2	RUNNING_WORKSHOP_READING
21	f82r	BIOLOGICAL	291	278	13	62	353	0	0	173	62	278	13	32	1	RUNNING_WORKSHOP_READING
22	f83r	BIOLOGICAL	345	341	4	91	389	1	0	199	91	341	4	58	4	RUNNING_WORKSHOP_READING
23	f88r	PHARMA	150	134	16	5	151	1	0	110	5	134	16	0	0	RUNNING_WORKSHOP_READING
24	f88v	PHARMA	145	131	14	13	176	0	0	119	13	131	14	1	4	RUNNING_WORKSHOP_READING
25	f89r	PHARMA	376	338	38	20	378	0	0	240	20	338	38	4	8	RUNNING_WORKSHOP_READING
26	f95v	HERBAL	178	178	0	30	194	4	13	142	30	178	0	20	0	RUNNING_WORKSHOP_READING
