dual_collision_group_id	recipe_count	component_recipes	intake_tiers	shared_ordered_literal_reading_de	source_gdt439_groups	same_atom_multiset	interpretation
DUALCOLLISION001	3	AM_ADDR|A_ADDR|D_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HIER	COLLISION0002	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION002	3	AM_ADDR+Y|A_ADDR+Y|D_ADDR+Y	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HIER · POSTEN	COLLISION0003	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION003	2	A_ADDR+AL|D_ADDR+AL	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	HIER · ZIELORT	COLLISION0026	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION004	2	CH+AM_ADDR|CH+A_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	NEHMEN · HIER	COLLISION0028	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION005	2	D_ADDR+AR|LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HIER · AUSGANG	COLLISION0052	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION006	2	D_ADDR+AR+O+AM_ADDR|D_ADDR+AR+O+D_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HIER · AUSGANG · AUSFÜHRUNG · HIER	COLLISION0053	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION007	2	D_ADDR+OL|M_LOCAL+OL	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HIER · FORTSETZEN	COLLISION0007	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION008	2	K+O+D_ADDR|K+O+M_LOCAL	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	GEBEN · AUSFÜHRUNG · HIER	COLLISION0068	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION009	2	L+O+D_ADDR|L+O+M_LOCAL	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	VERBINDUNG · AUSFÜHRUNG · HIER	COLLISION0001	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION010	2	O+AM_ADDR|O+LOCAL_CHAR_F	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER	COLLISION0006	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION011	2	O+D_ADDR+AIR|O+LOCAL_CHAR_F+AIR	T4_NARROW_APPENDIX|T4_NARROW_APPENDIX	AUSFÜHRUNG · HIER · BAHN	COLLISION0080	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION012	2	O+D_ADDR+AL|O+LOCAL_CHAR_F+AL	T4_NARROW_APPENDIX|T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · ZIELORT	COLLISION0005	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION013	2	O+D_ADDR+AR|O+LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · AUSGANG	COLLISION0009	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION014	2	O+D_ADDR+L|O+LOCAL_CHAR_F+L	T0_EXACT_OBSERVED|T4_NARROW_APPENDIX	AUSFÜHRUNG · HIER · VERBINDUNG	COLLISION0001	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION015	2	OS|RESUME_CARD	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	VORBEZUG	COLLISION0092	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION016	2	R+AM_ADDR|R+A_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	MARKIEREN · HIER	COLLISION0094	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION017	2	S+AM_ADDR|S+A_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	WÄHLEN · HIER	COLLISION0004	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
DUALCOLLISION018	2	SH+EE+D_ADDR|SH+EE+S_ADDR	T0_EXACT_OBSERVED|T0_EXACT_OBSERVED	HALTEN · GRAD II · HIER	COLLISION0100	NO	CO_VALUED_LOCAL_CHANNELS__EXACT_CHANNEL_ID_RETAINED
