calibration_slice	parsed_surface_count	exact_recipe_recovery_count	exact_recipe_recovery_rate	use_in_decision
ALL_PARSED	761	442	0.580815	YES
NO_SINGLE_CHARACTER_FORM	210	137	0.652381	DIAGNOSTIC
HAS_SINGLE_CHARACTER_FORM	551	305	0.553539	DIAGNOSTIC
PREDICTED_RECIPE_HAS_OTHER_SURFACE	253	185	0.731225	YES
PREDICTED_RECIPE_NEW	508	257	0.505906	DIAGNOSTIC
ATOM_COUNT_1	49	48	0.979592	DIAGNOSTIC
ATOM_COUNT_2	271	189	0.697417	DIAGNOSTIC
ATOM_COUNT_3	323	166	0.513932	DIAGNOSTIC
ATOM_COUNT_4	96	29	0.302083	DIAGNOSTIC
ATOM_COUNT_5	19	9	0.473684	DIAGNOSTIC
ATOM_COUNT_6	3	1	0.333333	DIAGNOSTIC
