replay_id	source_probe_id	shell_id	synthetic_surface	expected_channel_signature	observed_channel_signature	expected_support_tier	observed_support_tier	expected_support_rank	observed_support_rank	running_event_count	running_page_count	address_full_formula_count	address_hybrid_shell_count	observed_reading_de	replay_pass
G469-S00001	G467-P00001	G467-S0001	otalxolaiin	G466-C01+G466-C13	G466-C01+G466-C13	COMPOSITION_ONLY	COMPOSITION_ONLY	106	106	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:x] · FORTSETZEN · WERT	YES
G469-S00002	G467-P00002	G467-S0001	otalzxolaiin	G466-C01+G466-C13	G466-C01+G466-C13	COMPOSITION_ONLY	COMPOSITION_ONLY	106	106	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · FORTSETZEN · WERT	YES
G469-S00003	G467-P00003	G467-S0001	otalxvzolaiin	G466-C01+G466-C13	G466-C01+G466-C13	COMPOSITION_ONLY	COMPOSITION_ONLY	106	106	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · FORTSETZEN · WERT	YES
G469-S00004	G467-P00004	G467-S0002	otalxdaiin	G466-C01+G466-C14	G466-C01+G466-C14	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:x] · WERT	YES
G469-S00005	G467-P00005	G467-S0002	otalzxdaiin	G466-C01+G466-C14	G466-C01+G466-C14	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · WERT	YES
G469-S00006	G467-P00006	G467-S0002	otalxvzdaiin	G466-C01+G466-C14	G466-C01+G466-C14	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · WERT	YES
G469-S00007	G467-P00007	G467-S0003	otalxaiin	G466-C01+G466-C15	G466-C01+G466-C15	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:x] · WERT	YES
G469-S00008	G467-P00008	G467-S0003	otalzxaiin	G466-C01+G466-C15	G466-C01+G466-C15	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · WERT	YES
G469-S00009	G467-P00009	G467-S0003	otalxvzaiin	G466-C01+G466-C15	G466-C01+G466-C15	ADDRESS_FULL_FORMULA_ONLY	ADDRESS_FULL_FORMULA_ONLY	78	78	0	0	1	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · WERT	YES
G469-S00010	G467-P00010	G467-S0004	otalxainy	G466-C01+G466-C16	G466-C01+G466-C16	COMPOSITION_ONLY	COMPOSITION_ONLY	339	339	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:x] · ANTEIL · POSTEN	YES
G469-S00011	G467-P00011	G467-S0004	otalzxainy	G466-C01+G466-C16	G466-C01+G466-C16	COMPOSITION_ONLY	COMPOSITION_ONLY	339	339	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · ANTEIL · POSTEN	YES
G469-S00012	G467-P00012	G467-S0004	otalxvzainy	G466-C01+G466-C16	G466-C01+G466-C16	COMPOSITION_ONLY	COMPOSITION_ONLY	339	339	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · ANTEIL · POSTEN	YES
G469-S00013	G467-P00013	G467-S0005	otalxalor	G466-C01+G466-C17	G466-C01+G466-C17	COMPOSITION_ONLY	COMPOSITION_ONLY	117	117	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:x] · ZIELORT · EINHEIT	YES
G469-S00014	G467-P00014	G467-S0005	otalzxalor	G466-C01+G466-C17	G466-C01+G466-C17	COMPOSITION_ONLY	COMPOSITION_ONLY	117	117	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · ZIELORT · EINHEIT	YES
G469-S00015	G467-P00015	G467-S0005	otalxvzalor	G466-C01+G466-C17	G466-C01+G466-C17	COMPOSITION_ONLY	COMPOSITION_ONLY	117	117	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · ZIELORT · EINHEIT	YES
G469-S00016	G467-P00016	G467-S0006	otalxcfhy	G466-C01+G466-C18	G466-C01+G466-C18	COMPOSITION_ONLY	COMPOSITION_ONLY	350	350	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:x] · NEHMEN · HIER · POSTEN	YES
G469-S00017	G467-P00017	G467-S0006	otalzxcfhy	G466-C01+G466-C18	G466-C01+G466-C18	COMPOSITION_ONLY	COMPOSITION_ONLY	350	350	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:zx] · NEHMEN · HIER · POSTEN	YES
G469-S00018	G467-P00018	G467-S0006	otalxvzcfhy	G466-C01+G466-C18	G466-C01+G466-C18	COMPOSITION_ONLY	COMPOSITION_ONLY	350	350	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:xvz] · NEHMEN · HIER · POSTEN	YES
G469-S00019	G467-P00019	G467-S0007	otalxcphy	G466-C01+G466-C19	G466-C01+G466-C19	COMPOSITION_ONLY	COMPOSITION_ONLY	351	351	0	0	0	0	DANACH · ZIELORT · [PFLANZENNAME:x] · NEHMEN · EINSETZEN · POSTEN	YES
