topology_id	slot_topology	template_modes	surface_template_count	component_template_count	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recurrent
G472-P01	PREFIX	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	of	NO
G472-P02	PREFIX · INTERNAL · INTERNAL · SUFFIX	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofaralar	NO
G472-P03	PREFIX · INTERNAL · INTERNAL · {NAME_1}	LEARNED_SLOT_TEMPLATE	2	2	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofsholdy|sholshdy	YES
G472-P04	PREFIX · INTERNAL · SUFFIX	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	7	7	7	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	4	f71v|f72r|f88v|f89r	okalam|okaraiin|okaram|okolar|otokol|otolarol|sharam	YES
G472-P05	PREFIX · INTERNAL · {NAME_1}	LEARNED_SLOT_TEMPLATE	4	4	5	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	okairy|okalyd|okshdchos|orara|orary	YES
G472-P06	PREFIX · INTERNAL · {NAME_1} · SUFFIX	LEARNED_SLOT_TEMPLATE	4	4	4	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	ararchodaiin|okaircham|okarcham|oralkam	YES
G472-P07	PREFIX · SUFFIX	GENERAL_ZERO_NAME_FUNCTION_TEMPLATE	7	7	7	3	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	4	f71v|f72r|f77r|f89r	alaly|alcphy|korainy|otainy|otalaiin|otolaiin|otolam	YES
G472-P08	PREFIX · {NAME_1}	LEARNED_SLOT_TEMPLATE	8	8	17	4	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT|STAR_BEARING_RING_POSITION	6	f17r|f71v|f72r|f77r|f88v|f89r	alif|arody|arom|ofaom|ofchdamy|okyd|olay|olkchs|otalef|otalody|otchody|otdordy|oteeeon|otold|otoldy|otora|otork	YES
G472-P09	PREFIX · {NAME_1} · INTERNAL · SUFFIX	LEARNED_SLOT_TEMPLATE	2	2	2	1	STAR_BEARING_RING_POSITION	1	f72r	okealar|olkalaiin	YES
G472-P10	PREFIX · {NAME_1} · INTERNAL · {NAME_2}	LEARNED_SLOT_TEMPLATE	3	3	3	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f88v	oklairdy|oteeary|otydary	YES
G472-P11	PREFIX · {NAME_1} · INTERNAL · {NAME_2} · SUFFIX	LEARNED_SLOT_TEMPLATE	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	olfsheoral	NO
G472-P12	PREFIX · {NAME_1} · SUFFIX	LEARNED_SLOT_TEMPLATE	10	10	10	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	ofakal|okeal|oldam|oletal|oraiinam|oraiiral|otchdal|otchoshy|otorain|otoram	YES
G472-P13	{NAME_1}	LEARNED_SLOT_TEMPLATE	1	1	2	2	DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT	2	f17r|f88v	cheosdy|oiil	YES
G472-P14	{NAME_1} · INTERNAL · INTERNAL · SUFFIX	LEARNED_SLOT_TEMPLATE	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykolairol	NO
G472-P15	{NAME_1} · INTERNAL · INTERNAL · {NAME_2}	LEARNED_SLOT_TEMPLATE	4	4	4	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	dararda|osarsheeeo|sydarary|ytalshdy	YES
G472-P16	{NAME_1} · INTERNAL · SUFFIX	LEARNED_SLOT_TEMPLATE	4	4	5	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	opalal|opalar|ralal|ykaraiin|ytairal	YES
G472-P17	{NAME_1} · INTERNAL · {NAME_2}	LEARNED_SLOT_TEMPLATE	4	4	5	3	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f77r|f89r	dotedy|octho|oshodady|yfary|ytarem	YES
G472-P18	{NAME_1} · INTERNAL · {NAME_2} · INTERNAL · {NAME_3} · SUFFIX	LEARNED_SLOT_TEMPLATE	1	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saloiinsheol	NO
G472-P19	{NAME_1} · INTERNAL · {NAME_2} · SUFFIX	LEARNED_SLOT_TEMPLATE	3	3	3	2	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT	3	f77r|f88v|f89r	daramdal|darchdar|saldam	YES
G472-P20	{NAME_1} · SUFFIX	LEARNED_SLOT_TEMPLATE	19	17	24	3	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	5	f71v|f72r|f77r|f88v|f89r	ainaly|chdaiirdainy|cheocthy|chfaly|chosar|cpheor|doly|eeesaly|fydy|odory|oeeesaiin|oeeodaiin|opalor|opchoroiin|opchosam|opoeey|opoiiinoin|oporain|qkol|soral|ykocfhy|yorain|ypaiin|ytoar	YES
