scope	metric	record_count	denominator	fraction	record_ids
ALL_RECORDS	ANY_RECURRENT_STRICT_EVENT	56	135	0.414815	G475-R001|G475-R002|G475-R003|G475-R005|G475-R007|G475-R009|G475-R011|G475-R012|G475-R019|G475-R022|G475-R023|G475-R024|G475-R025|G475-R030|G475-R032|G475-R037|G475-R038|G475-R039|G475-R040|G475-R041|G475-R042|G475-R047|G475-R048|G475-R049|G475-R053|G475-R055|G475-R057|G475-R059|G475-R063|G475-R064|G475-R065|G475-R066|G475-R067|G475-R069|G475-R072|G475-R075|G475-R077|G475-R078|G475-R079|G475-R080|G475-R082|G475-R085|G475-R087|G475-R097|G475-R100|G475-R102|G475-R105|G475-R108|G475-R110|G475-R112|G475-R121|G475-R126|G475-R128|G475-R131|G475-R133|G475-R134
ALL_RECORDS	ALL_EVENTS_RECURRENT_STRICT	36	135	0.266667	G475-R002|G475-R003|G475-R005|G475-R007|G475-R012|G475-R023|G475-R030|G475-R032|G475-R037|G475-R038|G475-R039|G475-R040|G475-R041|G475-R042|G475-R047|G475-R048|G475-R049|G475-R053|G475-R055|G475-R057|G475-R059|G475-R067|G475-R072|G475-R077|G475-R079|G475-R080|G475-R087|G475-R100|G475-R102|G475-R105|G475-R108|G475-R126|G475-R128|G475-R131|G475-R133|G475-R134
ALL_RECORDS	ANY_RECURRENT_STRICT_PAIR	2	135	0.014815	G475-R030|G475-R042
ALL_RECORDS	ANY_RECURRENT_ROLE_EVENT	87	135	0.644444	G475-R001|G475-R002|G475-R003|G475-R005|G475-R007|G475-R008|G475-R009|G475-R010|G475-R011|G475-R012|G475-R014|G475-R015|G475-R018|G475-R019|G475-R020|G475-R021|G475-R022|G475-R023|G475-R024|G475-R025|G475-R026|G475-R028|G475-R030|G475-R032|G475-R034|G475-R035|G475-R037|G475-R038|G475-R039|G475-R040|G475-R041|G475-R042|G475-R044|G475-R045|G475-R047|G475-R048|G475-R049|G475-R052|G475-R053|G475-R054|G475-R055|G475-R056|G475-R057|G475-R058|G475-R059|G475-R060|G475-R062|G475-R063|G475-R064|G475-R065|G475-R066|G475-R067|G475-R069|G475-R071|G475-R072|G475-R075|G475-R076|G475-R077|G475-R078|G475-R079|G475-R080|G475-R082|G475-R085|G475-R087|G475-R089|G475-R090|G475-R093|G475-R094|G475-R096|G475-R097|G475-R100|G475-R102|G475-R103|G475-R105|G475-R108|G475-R110|G475-R111|G475-R112|G475-R117|G475-R121|G475-R122|G475-R126|G475-R128|G475-R130|G475-R131|G475-R133|G475-R134
ALL_RECORDS	ALL_EVENTS_RECURRENT_ROLE	67	135	0.496296	G475-R002|G475-R003|G475-R005|G475-R007|G475-R008|G475-R009|G475-R011|G475-R012|G475-R014|G475-R018|G475-R020|G475-R021|G475-R022|G475-R023|G475-R024|G475-R028|G475-R030|G475-R032|G475-R034|G475-R035|G475-R037|G475-R038|G475-R039|G475-R040|G475-R041|G475-R042|G475-R044|G475-R045|G475-R047|G475-R048|G475-R049|G475-R052|G475-R053|G475-R054|G475-R055|G475-R056|G475-R057|G475-R058|G475-R059|G475-R062|G475-R063|G475-R067|G475-R071|G475-R072|G475-R077|G475-R079|G475-R080|G475-R085|G475-R087|G475-R089|G475-R090|G475-R094|G475-R096|G475-R100|G475-R102|G475-R103|G475-R105|G475-R108|G475-R111|G475-R112|G475-R122|G475-R126|G475-R128|G475-R130|G475-R131|G475-R133|G475-R134
ALL_RECORDS	ANY_RECURRENT_ROLE_PAIR	6	135	0.044444	G475-R002|G475-R009|G475-R019|G475-R022|G475-R030|G475-R042
ALL_RECORDS	NO_RECURRENT_FRAGMENT	48	135	0.355556	G475-R004|G475-R006|G475-R013|G475-R016|G475-R017|G475-R027|G475-R029|G475-R031|G475-R033|G475-R036|G475-R043|G475-R046|G475-R050|G475-R051|G475-R061|G475-R068|G475-R070|G475-R073|G475-R074|G475-R081|G475-R083|G475-R084|G475-R086|G475-R088|G475-R091|G475-R092|G475-R095|G475-R098|G475-R099|G475-R101|G475-R104|G475-R106|G475-R107|G475-R109|G475-R113|G475-R114|G475-R115|G475-R116|G475-R118|G475-R119|G475-R120|G475-R123|G475-R124|G475-R125|G475-R127|G475-R129|G475-R132|G475-R135
GDT480_SINGLETON_RECORDS	ANY_RECURRENT_STRICT_EVENT	28	107	0.261682	G475-R001|G475-R002|G475-R007|G475-R009|G475-R011|G475-R019|G475-R022|G475-R024|G475-R025|G475-R047|G475-R049|G475-R057|G475-R063|G475-R064|G475-R065|G475-R066|G475-R069|G475-R075|G475-R078|G475-R082|G475-R085|G475-R097|G475-R102|G475-R108|G475-R110|G475-R112|G475-R121|G475-R126
GDT480_SINGLETON_RECORDS	ALL_EVENTS_RECURRENT_STRICT	8	107	0.074766	G475-R002|G475-R007|G475-R047|G475-R049|G475-R057|G475-R102|G475-R108|G475-R126
GDT480_SINGLETON_RECORDS	ANY_RECURRENT_STRICT_PAIR	0	107	0.000000	NONE
GDT480_SINGLETON_RECORDS	ANY_RECURRENT_ROLE_EVENT	59	107	0.551402	G475-R001|G475-R002|G475-R007|G475-R008|G475-R009|G475-R010|G475-R011|G475-R014|G475-R015|G475-R018|G475-R019|G475-R020|G475-R021|G475-R022|G475-R024|G475-R025|G475-R026|G475-R028|G475-R034|G475-R035|G475-R044|G475-R045|G475-R047|G475-R049|G475-R052|G475-R054|G475-R056|G475-R057|G475-R058|G475-R060|G475-R062|G475-R063|G475-R064|G475-R065|G475-R066|G475-R069|G475-R071|G475-R075|G475-R076|G475-R078|G475-R082|G475-R085|G475-R089|G475-R090|G475-R093|G475-R094|G475-R096|G475-R097|G475-R102|G475-R103|G475-R108|G475-R110|G475-R111|G475-R112|G475-R117|G475-R121|G475-R122|G475-R126|G475-R130
GDT480_SINGLETON_RECORDS	ALL_EVENTS_RECURRENT_ROLE	39	107	0.364486	G475-R002|G475-R007|G475-R008|G475-R009|G475-R011|G475-R014|G475-R018|G475-R020|G475-R021|G475-R022|G475-R024|G475-R028|G475-R034|G475-R035|G475-R044|G475-R045|G475-R047|G475-R049|G475-R052|G475-R054|G475-R056|G475-R057|G475-R058|G475-R062|G475-R063|G475-R071|G475-R085|G475-R089|G475-R090|G475-R094|G475-R096|G475-R102|G475-R103|G475-R108|G475-R111|G475-R112|G475-R122|G475-R126|G475-R130
GDT480_SINGLETON_RECORDS	ANY_RECURRENT_ROLE_PAIR	4	107	0.037383	G475-R002|G475-R009|G475-R019|G475-R022
GDT480_SINGLETON_RECORDS	NO_RECURRENT_FRAGMENT	48	107	0.448598	G475-R004|G475-R006|G475-R013|G475-R016|G475-R017|G475-R027|G475-R029|G475-R031|G475-R033|G475-R036|G475-R043|G475-R046|G475-R050|G475-R051|G475-R061|G475-R068|G475-R070|G475-R073|G475-R074|G475-R081|G475-R083|G475-R084|G475-R086|G475-R088|G475-R091|G475-R092|G475-R095|G475-R098|G475-R099|G475-R101|G475-R104|G475-R106|G475-R107|G475-R109|G475-R113|G475-R114|G475-R115|G475-R116|G475-R118|G475-R119|G475-R120|G475-R123|G475-R124|G475-R125|G475-R127|G475-R129|G475-R132|G475-R135
