frozen_frame	matrix_cell_count	observed_cell_count	composed_cell_count	unavailable_cell_count	observed_event_count	multihead_composed_count	single_head_composed_count	cross_register_composed_count	old_values_only_composed_count	context_generalized_count	all_value_cells_old	all_defaults_readable
@ACTION	45	21	24	0	77	24	0	0	0	24	YES	YES
@ACTION+AIIN	45	23	22	0	121	22	0	0	0	0	YES	YES
@ACTION+AIN	45	16	29	0	101	13	16	0	0	0	YES	YES
@ACTION+AL	45	20	25	0	78	17	8	0	0	25	YES	YES
@ACTION+AL+Y	45	6	39	0	10	13	8	8	10	0	YES	YES
@ACTION+CH+E+Y	45	5	40	0	5	6	16	10	8	0	YES	YES
@ACTION+CHD+Y	45	6	39	0	14	12	0	15	12	0	YES	YES
@ACTION+OL	45	20	25	0	66	25	0	0	0	25	YES	YES
@ACTION+OR+Y	45	4	41	0	4	7	16	8	10	0	YES	YES
@ACTION+Y	45	18	27	0	180	19	8	0	0	0	YES	YES
CH+@ACTION	45	4	41	0	4	7	16	8	10	41	YES	YES
