gdt513_local_id	source_event_id	physical_page	source_panel	register	locus	source_order	owner_de	surface	component_recipe	component_atom_count	portable_core_atoms	formal_or_local_atoms	legacy_structural_atoms	unresolved_atoms	component_trace_de	record_role	default_working_reading_de	running_support_tier	running_surface_event_count	running_surface_recipe_count	running_surface_recipes	running_recipe_event_count	running_recipe_surface_count	running_recipe_pages	local_leaveout_class	other_local_surface_pages	other_local_recipe_pages	gdt405_lock_contact	gdt405_locked_recipe	gdt405_lock_alignment	future_batch_recipe_policy	formula_hypothesis_signal	nomenclator_hypothesis_signal	record_hypothesis_signal	renderer_hypothesis_signal	mixed_model_assignment	meaning_status	portable_meaning_changed	structural_tag_promoted_to_word	guard
G513-L001	P912-E1749	f67r2	f67r2	CELESTIAL	f67r2.1	604	zwei lokale Himmelsraeder	ykshy	Y+K+Y	3	Y+K+Y	NONE	NONE	NONE	POSTEN · GEBEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · POSTEN	B_RUNNING_RECIPE_NEW_SURFACE	0	0	NONE	4	2	f13r|f17r|f68r1	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	YES	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L002	P912-E1750	f67r2	f67r2	CELESTIAL	f67r2.1	605	zwei lokale Himmelsraeder	s	S	1	S	NONE	NONE	NONE	WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: WÄHLEN	A_EXACT_RUNNING_SURFACE_RECIPE	38	1	S	38	1	f11r|f13r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	EXACT_LOCAL_SURFACE_OTHER_PAGE	f70v|f76r	f70v	YES	S	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L003	P912-E1751	f67r2	f67r2	CELESTIAL	f67r2.1	606	zwei lokale Himmelsraeder	aram	AR+AM_ADDR	2	AR	AM_ADDR	NONE	NONE	AUSGANG · [AM_ADDR:LOKALSTRUKTUR=HIER]	COORDINATE_OR_CATALOGUE_CARD	KOORDINATE/KATALOGEINTRAG BEI zwei lokale Himmelsraeder: AUSGANG · [AM_ADDR:LOKALSTRUKTUR=HIER]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	COORDINATE_OR_CATALOGUE_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L004	P912-E1752	f67r2	f67r2	CELESTIAL	f67r2.2	607	zwei lokale Himmelsraeder	ykecho	Y+K+E+CH+O	5	Y+K+CH	E+O	NONE	NONE	POSTEN · GEBEN · [E:STEUERUNG=GRAD I] · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG]	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: POSTEN · GEBEN · [E:STEUERUNG=GRAD I] · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG]	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L005	P912-E1753	f67r2	f67r2	CELESTIAL	f67r2.2	608	zwei lokale Himmelsraeder	ols	OL+S	2	OL+S	NONE	NONE	NONE	FORTSETZEN · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: FORTSETZEN · WÄHLEN	A_EXACT_RUNNING_SURFACE_RECIPE	2	1	OL+S	2	1	f1r|f83r	LOCAL_RECIPE_SHAPE_OTHER_PAGE	NONE	f75r	YES	OL+S	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L006	P912-E1754	f67r2	f67r2	CELESTIAL	f67r2.2	609	zwei lokale Himmelsraeder	eesydy	EE+S+Y+D_ADDR+Y	5	S+Y+Y	EE+D_ADDR	NONE	NONE	[EE:STEUERUNG=GRAD II] · WÄHLEN · POSTEN · [D_ADDR:LOKALSTRUKTUR=HIER] · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: [EE:STEUERUNG=GRAD II] · WÄHLEN · POSTEN · [D_ADDR:LOKALSTRUKTUR=HIER] · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L007	P912-E1755	f67r2	f67r2	CELESTIAL	f67r2.3	610	zwei lokale Himmelsraeder	ey	E+Y	2	Y	E	NONE	NONE	[E:STEUERUNG=GRAD I] · POSTEN	COORDINATE_OR_CATALOGUE_CARD	KOORDINATE/KATALOGEINTRAG BEI zwei lokale Himmelsraeder: [E:STEUERUNG=GRAD I] · POSTEN	A_EXACT_RUNNING_SURFACE_RECIPE	3	1	E+Y	5	3	f18r|f75r|f82r|f89r	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	COORDINATE_OR_CATALOGUE_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L008	P912-E1756	f67r2	f67r2	CELESTIAL	f67r2.3	611	zwei lokale Himmelsraeder	shs	SH+S	2	SH+S	NONE	NONE	NONE	HALTEN · WÄHLEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: HALTEN · WÄHLEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L009	P912-E1757	f67r2	f67r2	CELESTIAL	f67r2.3	612	zwei lokale Himmelsraeder	okar	OK+AR	2	OK+AR	NONE	NONE	NONE	SETZEN · AUSGANG	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: SETZEN · AUSGANG	A_EXACT_RUNNING_SURFACE_RECIPE	19	1	OK+AR	39	3	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f88v|f89r|f95v	EXACT_LOCAL_SURFACE_OTHER_PAGE	f69v	f69v	YES	OK+AR	MATCHES_GDT405_LOCK	REPLAY_GDT405_LOCKED_RECIPE	YES	NO	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
G513-L010	P912-E1758	f67r2	f67r2	CELESTIAL	f67r2.4	613	zwei lokale Himmelsraeder	shekchy	SH+E+K+CH+Y	5	SH+K+CH+Y	E	NONE	NONE	HALTEN · [E:STEUERUNG=GRAD I] · GEBEN · NEHMEN · POSTEN	ORDERED_INSTRUCTION_CARD	ANWEISUNG BEI zwei lokale Himmelsraeder: HALTEN · [E:STEUERUNG=GRAD I] · GEBEN · NEHMEN · POSTEN	F_PAGE_PRIVATE_VISIBLE_COMPOSITION	0	0	NONE	0	0	NONE	PAGE_PRIVATE_LOCAL_COPY_ALLOWED	NONE	NONE	NO	NONE	NOT_IN_GDT405_LOCK	NEW_SURFACE_USE_VISIBLE_LOCKED_ATOMS	YES	YES	YES	NO	ORDERED_INSTRUCTION_CARD	COMPLETE_WORKING_COMPONENT_READING	NO	NO	WORKING_COMPONENT_AND_STRUCTURAL_DEFAULTS_ONLY__NO_CONFIRMED_LEXEME
