surface	occurrence_count	physical_pages	truth_recipe	prose_context_occurrence_count	candidate_count_capped	baseline_rank	baseline_top1	surface_ridge_rank	surface_ridge_top1	selected_rank	selected_top1	selected_top5	truth_structural_cost	truth_bigram_nll	truth_trigram_nll	truth_selected_score	top1_structural_cost	top1_bigram_nll	top1_trigram_nll	top1_selected_score	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	1	48	6	AIIN+CH+T+Y	14	AIIN+CH+T+Y	14	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | A_ADDR+AIIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+IIN+CH+T+Y	5.289026025	3.505281810	3.645021154	7.259543068	0.596280879	3.217501901	3.497253966	0.764149776	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
akar	1	f66r	A_ADDR+K+AR	1	11	1	A_ADDR+K+AR	1	A_ADDR+K+AR	1	A_ADDR+K+AR	A_ADDR+K+AR | K+A_ADDR+AR | A_ADDR+K+R | K+A_ADDR+A_ADDR+AR | A_ADDR+A_ADDR+K+AR	1.534440929	3.335251408	3.598771341	1.707791498	1.534440929	3.335251408	3.598771341	1.707791498	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
alkey	1	f66r	AL+K+E+Y	1	6	1	AL+K+E+Y	1	AL+K+E+Y	1	AL+K+E+Y	AL+K+E+Y | A_ADDR+L+K+E+Y | A_ADDR+AL+K+E+Y | AL+CH+Y+K+E | A_ADDR+AL+CH+Y+K+E	1.472813008	2.483566890	2.871641520	1.606693218	1.472813008	2.483566890	2.871641520	1.606693218	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
axor	1	f66r	A_ADDR+LOCAL_X+OR	1	3	1	A_ADDR+LOCAL_X+OR	1	A_ADDR+LOCAL_X+OR	1	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR | A_ADDR+LOCAL_X+O+R | A_ADDR+LOCAL_X+O+AR	0.645694197	3.513314700	4.096826662	0.835947731	0.645694197	3.513314700	4.096826662	0.835947731	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
c	1	f66r	LOCAL_C	0	2	1	LOCAL_C	1	LOCAL_C	1	LOCAL_C	LOCAL_C | CH	0.274242139	0.000000000	0.000000000	0.274242139	0.274242139	0.000000000	0.000000000	0.274242139	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chady	1	f66r	CH+A_ADDR+DY	1	23	5	CH+A_ADDR+Y	5	CH+DY	5	CH+DY	CH+DY | CH+A_ADDR+Y | CH+Y | CH+D_ADDR+Y | CH+A_ADDR+DY	2.112192279	3.140794117	3.850466197	3.896411699	1.321897759	2.936586164	3.859209396	2.184939829	ERROR_CHANGED_STILL_WRONG	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chap	1	f66r	CH+A_ADDR+P	1	5	2	CH+P	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | CH+SH+A_ADDR+P | LOCAL_C+SH+A_ADDR+P	1.554948035	3.954845347	3.823346968	2.442550023	1.274640280	3.492242736	3.735105147	1.455323977	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chckhedy	1	f66r	CH+CH+K+E+DY	1	100	1	CH+CH+K+E+DY	1	CH+CH+K+E+DY	1	CH+CH+K+E+DY	CH+CH+K+E+DY | CH+K+E+DY | LOCAL_C+CH+K+E+DY | CH+CH+K+E+Y | CH+LOCAL_C+K+E+DY	1.576043177	1.991329556	2.581062965	1.690352990	1.576043177	1.991329556	2.581062965	1.690352990	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chcpheor	1	f66r	CH+CH+P+E+OR	1	90	1	CH+CH+P+E+OR	1	CH+CH+P+E+OR	1	CH+CH+P+E+OR	CH+CH+P+E+OR | CH+CH+P+E+O+R | LOCAL_C+CH+CH+P+E+OR | LOCAL_C+CH+CH+P+E+E+OR | CH+CH+P+E+O+DY	1.767733113	2.825120946	3.169072556	1.917587951	1.767733113	2.825120946	3.169072556	1.917587951	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chctho	1	f66r	CH+CH+T+O	1	31	1	CH+CH+T+O	1	CH+CH+T+O	1	CH+CH+T+O	CH+CH+T+O | CH+T+O | CH+CH+T+O+D_ADDR | LOCAL_C+CH+CH+T+O | CH+O+CH+T	1.081269813	2.669977877	3.199994326	1.228019118	1.081269813	2.669977877	3.199994326	1.228019118	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheda	1	f31r	CHD+A_ADDR	1	34	1	CHD+A_ADDR	1	CHD+A_ADDR	1	CHD+A_ADDR	CHD+A_ADDR | CHD+DA | CHD+D_ADDR | CH+DA | CH+D_ADDR	1.156687184	3.772332013	3.902262520	1.348552047	1.156687184	3.772332013	3.902262520	1.348552047	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chedaiir	1	f66r	CHD+IIN+R	1	100	1	CHD+IIN+R	1	CHD+IIN+R	1	CHD+IIN+R	CHD+IIN+R | CHD+AIIN+R | CHD+D_ADDR+IIN+R | CH+CHD+IIN+R | CHD+A_ADDR+IIN+R	2.037867922	3.366233204	3.755958775	2.215922722	2.037867922	3.366233204	3.755958775	2.215922722	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheeo	1	f66r	CH+EE+O	1	16	1	CH+EE+O	1	CH+EE+O	1	CH+EE+O	CH+EE+O | LOCAL_C+EE+O | Y | SH+EE+O | CH+EE+O+D_ADDR	1.578114900	2.801671828	3.450400471	1.734416707	1.578114900	2.801671828	3.450400471	1.734416707	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chefchy	1	f66r	CH+E+LOCAL_CHAR_F+CH+Y	1	66	1	CH+E+LOCAL_CHAR_F+CH+Y	1	CH+E+LOCAL_CHAR_F+CH+Y	1	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y | CH+E+LOCAL_CHAR_F+LOCAL_C+Y | CH+E+LOCAL_CHAR_F+Y | LOCAL_C+E+LOCAL_CHAR_F+CH+Y | CHD+LOCAL_CHAR_F+CH+Y	2.730879509	2.711822993	3.255415858	2.880060480	2.730879509	2.711822993	3.255415858	2.880060480	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekchy	1	f66r	CH+K+CH+Y	1	100	5	CH+K+Y	3	CH+K+Y	3	CH+K+Y	CH+K+Y | Y+CH+K | CH+K+CH+Y | CH+K+LOCAL_C+Y | LOCAL_C+K+Y	2.014358731	2.502983183	3.296552701	3.768785040	1.336217824	1.978677162	2.527497566	1.448872192	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeey	1	f66r	CH+K+EE+Y	1	57	2	CH+E+K+EE+Y	1	CH+K+EE+Y	1	CH+K+EE+Y	CH+K+EE+Y | CH+E+K+EE+Y | CH+K+E+EE+Y | CHD+K+EE+Y | LOCAL_C+K+EE+Y	1.185651345	1.720404417	2.718721654	1.989776678	1.185651345	1.720404417	2.718721654	1.989776678	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chekeody	1	f66r	CH+K+E+O+DY	1	100	2	CH+E+K+E+O+DY	1	CH+K+E+O+DY	1	CH+K+E+O+DY	CH+K+E+O+DY | CH+E+K+E+O+DY | CH+K+E+O+D_ADDR+Y | CH+K+E+O+Y | CH+K+E+E+O+DY	2.398315716	1.991683132	2.805963085	3.211404052	2.398315716	1.991683132	2.805963085	3.211404052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheod	1	f31r	CH+E+O+D_ADDR	1	24	2	CH+E+O	1	CH+E+O+D_ADDR	1	CH+E+O+D_ADDR	CH+E+O+D_ADDR | CH+E+O | LOCAL_C+E+O+D_ADDR | LOCAL_C+E+O | LOCAL_C+SH+E+O+D_ADDR	0.505382375	2.217459679	2.773520198	1.323304052	0.505382375	2.217459679	2.773520198	1.323304052	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	1	36	2	CH+E+P+A_ADDR+OK+E	1	CH+E+P+A_ADDR+K+E+O	1	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O | CH+E+P+K+A_ADDR+E+O | CH+E+P+A_ADDR+OK+E | LOCAL_C+E+P+A_ADDR+K+E+O | LOCAL_C+E+P+K+A_ADDR+E+O	2.576721778	2.843765678	3.443847356	3.427059284	2.576721778	2.843765678	3.443847356	3.427059284	BASELINE_ERROR_CORRECTED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chepos	1	f31r	CH+E+P+O+S	1	72	1	CH+E+P+O+S	1	CH+E+P+O+S	1	CH+E+P+O+S	CH+E+P+O+S | CH+E+P+O | CHD+P+O+S | LOCAL_C+E+P+O+S | CH+P+O+S	1.538158881	3.013527948	3.540780292	1.702016587	1.538158881	3.013527948	3.540780292	1.702016587	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cheta	1	f66r	CH+E+T+A_ADDR	1	24	1	CH+E+T+A_ADDR	2	CH+E+T	2	CH+E+T	CH+E+T | CH+E+T+A_ADDR | LOCAL_C+E+T | CHD+T | CH+T	2.180152737	3.400149571	3.647175645	2.356335867	0.875543823	3.323462474	3.645771437	1.742921852	BASELINE_CORRECT_LOST	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
choekeey	1	f66r	CH+O+E+K+EE+Y	1	99	1	CH+O+E+K+EE+Y	1	CH+O+E+K+EE+Y	1	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y | LOCAL_C+O+E+K+EE+Y | HO+E+K+EE+Y | CH+CARRIER_Q+O+E+K+EE+Y | CH+O+E+Y+K+EE	1.276385765	2.575147448	2.898357400	1.413223386	1.276385765	2.575147448	2.898357400	1.413223386	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
choiin	1	f20v	CH+O+IIN	1	100	1	CH+O+IIN	1	CH+O+IIN	1	CH+O+IIN	CH+O+IIN | LOCAL_C+O+IIN | CH+O+AIIN | HO+IIN | CH+O+D_ADDR+IIN	0.887358164	2.715664416	3.112576343	1.033064183	0.887358164	2.715664416	3.112576343	1.033064183	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cholpchd	1	f66r	OL+P+CHD	1	100	1	OL+P+CHD	1	OL+P+CHD	1	OL+P+CHD	OL+P+CHD | CH+OL+P+CHD | LOCAL_C+OL+P+CHD | OL+P+CH+CHD | OL+P+CH+D_ADDR	1.743050649	3.331664559	3.720160410	1.919346273	1.743050649	3.331664559	3.720160410	1.919346273	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
choraiin	1	f4r	CH+OR+AIIN	1	100	1	CH+OR+AIIN	1	CH+OR+AIIN	1	CH+OR+AIIN	CH+OR+AIIN | LOCAL_C+OR+AIIN | CH+OR+A_ADDR+AIIN | LOCAL_C+SH+OR+AIIN | CH+OR+AIIN+IIN	1.390827617	2.475613889	3.640633576	1.543733803	1.390827617	2.475613889	3.640633576	1.543733803	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
choraly	1	f20v	CH+OR+AL+Y	1	82	1	CH+OR+AL+Y	1	CH+OR+AL+Y	1	CH+OR+AL+Y	CH+OR+AL+Y | LOCAL_C+OR+AL+Y | LOCAL_C+SH+OR+AL+Y | CH+SH+OR+AL+Y | CH+OR+A_ADDR+AL+Y	1.160755328	2.527545449	3.143372188	1.302528268	1.160755328	2.527545449	3.143372188	1.302528268	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chory	1	f20v	CH+OR+Y	1	16	1	CH+OR+Y	1	CH+OR+Y	1	CH+OR+Y	CH+OR+Y | LOCAL_C+OR+Y | LOCAL_C+SH+OR+Y | CH+SH+OR+Y | HO+R+Y	0.848412308	3.209955188	3.305009554	1.011286427	0.848412308	3.209955188	3.305009554	1.011286427	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chpady	1	f4r	CH+P+A_ADDR+DY	1	20	3	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	2	CH+P+A_ADDR+Y	CH+P+A_ADDR+Y | CH+P+A_ADDR+DY | LOCAL_C+P+A_ADDR+Y | LOCAL_C+P+A_ADDR+DY | CH+P+A_ADDR+D_ADDR+Y	1.681739562	2.821428031	3.547588249	2.939577258	1.864001510	3.404978818	3.531118042	2.037403931	BASELINE_ERROR_UNCHANGED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
chxar	1	f66r	CH+LOCAL_X+AR	1	9	1	CH+LOCAL_X+AR	1	CH+LOCAL_X+AR	1	CH+LOCAL_X+AR	CH+LOCAL_X+AR | LOCAL_C+SH+LOCAL_X+AR | CH+SH+LOCAL_X+AR | CH+LOCAL_X+A_ADDR+AR | CH+LOCAL_X+A_ADDR+R	0.244646410	2.984582282	3.618260820	0.409717487	0.244646410	2.984582282	3.618260820	0.409717487	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
ckhochy	1	f4r	CH+K+O+CH+Y	1	50	1	CH+K+O+CH+Y	1	CH+K+O+CH+Y	1	CH+K+O+CH+Y	CH+K+O+CH+Y | CH+K+O+Y | CH+K+O+LOCAL_C+Y | K+O+CH+Y | LOCAL_C+K+O+CH+Y	1.741683811	2.386216117	3.145590696	1.879978981	1.741683811	2.386216117	3.145590696	1.879978981	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
cphaiin	1	f4r	CH+P+AIIN	1	100	1	CH+P+AIIN	1	CH+P+AIIN	1	CH+P+AIIN	CH+P+AIIN | CH+P+A_ADDR+AIIN | LOCAL_C+P+AIIN | CH+P+SH+AIIN | CH+P+AIIN+IIN	1.314404833	2.572523508	3.275987572	1.460617610	1.314404833	2.572523508	3.275987572	1.460617610	BASELINE_CORRECT_PRESERVED	EXACT_EVENT_OR_KNOWN_SURFACE_STILL_WINS__RERANK_ONLY_FUTURE_UNKNOWN
