fold	surface	truth_recipe	candidate_count_capped	truth_generated	compiler_rank	form_decoder_rank	anchor_rank	compiler_top1	form_decoder_top1	anchor_top1	truth_anchor_cost	anchor_top1_cost
0	aiiny	AIIN+Y	21	YES	1	1	1	AIIN+Y	AIIN+Y	AIIN+Y	0.000000000	0.000000000
0	ain	AIN	7	YES	1	1	1	AIN	AIN	AIN	0.000000000	0.000000000
0	air	AIR	13	YES	1	1	1	AIR	AIR	AIR	0.000000000	0.000000000
0	alchdy	AL+CHD+DY	37	YES	1	1	2	AL+CHD+DY	AL+CHD+DY	AL+CHD+Y	2.500000000	0.500000000
0	aldy	AL+D_ADDR+Y	13	YES	3	3	3	AL+DY	AL+DY	AL+DY	0.000000000	0.000000000
0	alkain	AL+K+AIN	32	YES	1	1	1	AL+K+AIN	AL+K+AIN	AL+K+AIN	0.000000000	0.000000000
0	alo	AL+O	4	YES	1	1	1	AL+O	AL+O	AL+O	0.000000000	0.000000000
0	alsy	AL+S+Y	8	YES	2	1	1	A_ADDR+L+Y	AL+S+Y	AL+S+Y	0.000000000	0.000000000
0	aroly	AR+OL+Y	12	YES	1	1	1	AR+OL+Y	AR+OL+Y	AR+OL+Y	0.000000000	0.000000000
0	ase	A_ADDR+S+E	3	YES	1	1	1	A_ADDR+S+E	A_ADDR+S+E	A_ADDR+S+E	0.000000000	0.000000000
0	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	100	YES	3	1	1	A_ADDR+S+Y+T+EE+D_ADDR	A_ADDR+SH+Y+T+EE+D_ADDR	A_ADDR+SH+Y+T+EE+D_ADDR	0.000000000	0.000000000
0	atchor	A_ADDR+T+CH+OR	20	YES	1	1	1	A_ADDR+T+CH+OR	A_ADDR+T+CH+OR	A_ADDR+T+CH+OR	0.000000000	0.000000000
0	cfholdy	CH+LOCAL_CHAR_F+OL+DY	42	YES	2	2	1	CH+LOCAL_CHAR_F+OL+Y	CH+LOCAL_CHAR_F+OL+Y	CH+LOCAL_CHAR_F+OL+DY	0.508701138	0.508701138
