surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt523_rank	gdt523_top1	gdt524_rank	gdt524_top1	gdt524_top5	truth_gdt523_score	truth_consensus_feature	truth_gdt524_score	truth_consensus_trace	top1_gdt523_score	top1_consensus_feature	top1_gdt524_score	top1_consensus_trace	top1_alignment_trace	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	48	9	AIIN+CH+T+Y	9	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+LOCAL_CHAR_I+CH+T+Y | A_ADDR+IIN+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	5.733798402	0.000000000	5.733798402	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chady	1	f66r	CH+A_ADDR+DY	23	3	CH+DY	3	CH+DY	CH+DY | CH+A_ADDR+Y | CH+A_ADDR+DY | CH+D_ADDR+Y | CH+Y	6.072581093	0.000000000	6.072581093	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.887151731	0.000000000	4.887151731	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chap	1	f66r	CH+A_ADDR+P	5	2	CH+P	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | LOCAL_C+SH+A_ADDR+P | CH+SH+A_ADDR+P	4.394574143	0.000000000	4.394574143	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.642233122	0.000000000	3.642233122	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	cha=>cha~CH@edit0+alias0.268 | p=>p~P@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
chekchy	1	f66r	CH+K+CH+Y	100	2	CH+K+Y	2	CH+K+Y	CH+K+Y | CH+K+CH+Y | CH+K+LOCAL_C+Y | CH+E+K+CH+Y | CH+E+K+Y	5.952739492	0.000000000	5.952739492	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.646258486	0.000000000	4.646258486	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	chekc=>chek~CH+K@edit1+alias0.291 | hy=>hy~Y@edit0+alias0.254	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
cthom	1	f4r	CH+T+O+M_LOCAL	14	2	CH+T+O+AM_ADDR	2	CH+T+O+AM_ADDR	CH+T+O+AM_ADDR | CH+T+O+M_LOCAL | O+CH+T+AM_ADDR | O+CH+T+M_LOCAL | LOCAL_C+T+O+AM_ADDR	5.632512435	0.000000000	5.632512435	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	4.396763863	0.000000000	4.396763863	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	cth=>cth~CH+T@edit0+alias0.508 | o=>o~O@edit0+alias0.000 | m=>m~AM_ADDR@edit0+alias0.508	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
dairykodas	1	f66r	D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S	100	2	D_ADDR+AIR+Y+K+O+DA+S	2	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+A_ADDR+S | AIR+Y+K+O+DA+S | D_ADDR+AIR+Y+K+O+D_ADDR+S | AIR+Y+K+O+D_ADDR+A_ADDR+S	9.725419816	0.000000000	9.725419816	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	7.144267724	0.000000000	7.144267724	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	d=>d~D_ADDR@edit0+alias0.000 | air=>air~AIR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | da=>da~DA@edit0+alias0.000 | s=>s~S@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
dalcheeeky	1	f66r	AL+CH+EEE+K+Y	100	2	AL+EEE+K+Y	2	AL+EEE+K+Y	AL+EEE+K+Y | AL+CH+EEE+K+Y | AL+CH+E+EE+K+Y | AL+LOCAL_C+EEE+K+Y | AL+CH+EE+E+K+Y	9.629385859	0.000000000	9.629385859	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	7.380002282	0.000000000	7.380002282	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	dal=>dal~AL@edit0+alias0.273 | cheee=>heee~EEE@edit1+alias0.250 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
dsholdaiir	1	f66r	D_ADDR+SH+OL+D_ADDR+IIN+R	100	2	D_ADDR+SH+OL+D_ADDR+AIIN+R	2	D_ADDR+SH+OL+D_ADDR+AIIN+R	D_ADDR+SH+OL+D_ADDR+AIIN+R | D_ADDR+SH+OL+D_ADDR+IIN+R | SH+OL+D_ADDR+IIN+R | SH+OL+D_ADDR+AIIN+R | D_ADDR+SH+OL+IIN+R	8.588737521	0.000000000	8.588737521	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	8.489519376	0.000000000	8.489519376	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	d=>d~D_ADDR@edit0+alias0.000 | sh=>sh~SH@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000 | daii=>daii~D_ADDR+AIIN@edit0+alias0.531 | r=>r~R@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	46	2	K+E+CH+O+DY	2	K+E+CH+O+DY	K+E+CH+O+DY | K+E+CH+O+D_ADDR+Y | K+E+LOCAL_C+O+DY | K+E+O+DY | K+E+CH+O+Y	6.982641538	0.000000000	6.982641538	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	5.528580714	0.000000000	5.528580714	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
keeol	1	f31r	K+EE+O+L	14	2	K+EE+OL	2	K+EE+OL	K+EE+OL | K+EE+O+L | K+E+E+OL | OL+K+EE | K+EE+O+AL	7.713413406	0.000000000	7.713413406	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	3.519453544	0.000000000	3.519453544	NO_TWO_DISTINCT_BASE_AND_EDIT_CHANNELS	k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000	GDT523_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__TWO_DISTINCT_OLD_BASES_MUST_POSITIVELY_SUPPORT_THE_SAME_CANDIDATE
