grade_step	grade_atom_ordinal	base_surface	extended_surface	visible_operation	base_recipe	extended_recipe	recipe_operation	base_event_count	extended_event_count	base_pages	extended_pages	base_registers	extended_registers	is_cheky_family
EE_TO_EEE	1	eedy	eeedy	INSERT_ONE_e	EE+DY	EEE+DY	EE_TO_EEE	1	1	f72r	f77r	CELESTIAL	BIOLOGICAL	NO
EE_TO_EEE	2	okeey	okeeey	INSERT_ONE_e	OK+EE+Y	OK+EEE+Y	EE_TO_EEE	16	2	f1r|f68r1|f71v|f72r|f75r|f76r|f81r|f81v|f89r	f72r|f89r	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	CELESTIAL|PHARMA	NO
EE_TO_EEE	2	qeey	qeeey	INSERT_ONE_e	CARRIER_Q+EE+Y	CARRIER_Q+EEE+Y	EE_TO_EEE	1	1	f77r	f76r	BIOLOGICAL	BIOLOGICAL	NO
EE_TO_EEE	2	qokeedy	qokeeedy	INSERT_ONE_e	OK+EE+DY	OK+EEE+DY	EE_TO_EEE	66	2	f75r|f76r|f77r|f81r|f82r|f83r	f68r1|f82r	BIOLOGICAL	BIOLOGICAL|CELESTIAL	NO
EE_TO_EEE	2	qokeey	qokeeey	INSERT_ONE_e	OK+EE+Y	OK+EEE+Y	EE_TO_EEE	48	3	f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	f55v|f82r	BIOLOGICAL|HERBAL|PHARMA	BIOLOGICAL|HERBAL	NO
EE_TO_EEE	2	qoteedy	qoteeedy	INSERT_ONE_e	OT+EE+DY	OT+EEE+DY	EE_TO_EEE	19	1	f75r|f76r|f77r|f81r|f82r|f83r	f77r	BIOLOGICAL	BIOLOGICAL	NO
EE_TO_EEE	2	teey	teeey	INSERT_ONE_e	T+EE+Y	T+EEE+Y	EE_TO_EEE	1	1	f71v	f71v	CELESTIAL	CELESTIAL	NO
EE_TO_EEE	3	ykeey	ykeeey	INSERT_ONE_e	Y+K+EE+Y	Y+K+EEE+Y	EE_TO_EEE	5	1	f72r|f75r|f81v|f82r|f88v	f88r	BIOLOGICAL|CELESTIAL|PHARMA	PHARMA	NO
E_TO_EE	3	cheky	cheeky	INSERT_ONE_e	CH+K+E+Y	CH+K+EE+Y	E_TO_EE	9	5	f55v|f72r|f75r|f81v|f83r|f89r	f55v|f75r|f77r|f81v|f83r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	BIOLOGICAL|HERBAL	YES
E_TO_EE	3	chotey	choteey	INSERT_ONE_e	CH+OT+E+Y	CH+OT+EE+Y	E_TO_EE	1	2	f1r	f68r1|f72r	SOURCE_SECTION_T	CELESTIAL	NO
E_TO_EE	3	kchey	kcheey	INSERT_ONE_e	K+CH+E+Y	K+CH+EE+Y	E_TO_EE	1	1	f56r	f56r	HERBAL	HERBAL	NO
E_TO_EE	2	kedy	keedy	INSERT_ONE_e	K+E+DY	K+EE+DY	E_TO_EE	1	7	f82r	f75r|f76r|f77r|f81v	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	2	key	keey	INSERT_ONE_e	K+E+Y	K+EE+Y	E_TO_EE	1	9	f88v	f1r|f56r|f71v|f72r|f76r|f89r	PHARMA	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	NO
E_TO_EE	3	lkey	lkeey	INSERT_ONE_e	L+K+E+Y	L+K+EE+Y	E_TO_EE	1	1	f76r	f82r	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	3	lshey	lsheey	INSERT_ONE_e	L+SH+E+Y	L+SH+EE+Y	E_TO_EE	3	2	f75r|f76r|f77r	f77r	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	2	oeor	oeeor	INSERT_ONE_e	O+E+OR	O+EE+OR	E_TO_EE	1	1	f24v	f89r	HERBAL	PHARMA	NO
E_TO_EE	2	okedy	okeedy	INSERT_ONE_e	OK+E+DY	OK+EE+DY	E_TO_EE	12	13	f75r|f76r|f77r|f81v|f83r|f95v	f55v|f72r|f75r|f76r|f81r|f81v|f83r	BIOLOGICAL|HERBAL	BIOLOGICAL|CELESTIAL|HERBAL	NO
E_TO_EE	2	okeo	okeeo	INSERT_ONE_e	OK+E+O	OK+EE+O	E_TO_EE	6	1	f67r2|f71v|f72r|f89r	f72r	CELESTIAL|PHARMA	CELESTIAL	NO
E_TO_EE	2	okeody	okeeody	INSERT_ONE_e	OK+E+O+D_ADDR+Y	OK+EE+O+D_ADDR+Y	E_TO_EE	3	2	f55v|f72r	f67r2|f72r	CELESTIAL|HERBAL	CELESTIAL	NO
E_TO_EE	2	okeol	okeeol	INSERT_ONE_e	OK+E+OL	OK+EE+OL	E_TO_EE	5	4	f72r|f81v|f89r	f72r|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA	NO
E_TO_EE	2	okeor	okeeor	INSERT_ONE_e	OK+E+OR	OK+EE+OR	E_TO_EE	3	1	f18r|f72r|f76r	f82r	BIOLOGICAL|CELESTIAL|HERBAL	BIOLOGICAL	NO
E_TO_EE	2	okey	okeey	INSERT_ONE_e	OK+E+Y	OK+EE+Y	E_TO_EE	6	16	f67r2|f75r|f76r|f82r|f89r	f1r|f68r1|f71v|f72r|f75r|f76r|f81r|f81v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	NO
E_TO_EE	3	olkedy	olkeedy	INSERT_ONE_e	OL+K+E+DY	OL+K+EE+DY	E_TO_EE	6	5	f75r|f76r|f77r|f81r	f75r|f81v|f83r	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	3	olkey	olkeey	INSERT_ONE_e	OL+K+E+Y	OL+K+EE+Y	E_TO_EE	1	5	f89r	f75r|f76r|f81r|f83r|f88r	PHARMA	BIOLOGICAL|PHARMA	NO
E_TO_EE	3	olshedy	olsheedy	INSERT_ONE_e	OL+SH+E+DY	OL+SH+EE+DY	E_TO_EE	4	1	f75r|f77r	f75r	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	3	oltedy	olteedy	INSERT_ONE_e	OL+T+E+DY	OL+T+EE+DY	E_TO_EE	2	1	f75r|f81r	f95v	BIOLOGICAL	HERBAL	NO
E_TO_EE	4	opcheol	opcheeol	INSERT_ONE_e	O+P+CH+E+OL	O+P+CH+EE+OL	E_TO_EE	1	1	f89r	f68r1	PHARMA	CELESTIAL	NO
E_TO_EE	2	otedy	oteedy	INSERT_ONE_e	OT+E+DY	OT+EE+DY	E_TO_EE	17	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r|f95v	f72r|f75r|f76r|f77r	BIOLOGICAL|HERBAL	BIOLOGICAL|CELESTIAL	NO
E_TO_EE	2	oteo	oteeo	INSERT_ONE_e	OT+E+O	OT+EE+O	E_TO_EE	3	1	f72r	f72r	CELESTIAL	CELESTIAL	NO
E_TO_EE	2	oteor	oteeor	INSERT_ONE_e	OT+E+OR	OT+EE+OR	E_TO_EE	1	1	f88r	f72r	PHARMA	CELESTIAL	NO
E_TO_EE	2	oteos	oteeos	INSERT_ONE_e	OT+E+O+S_ADDR	OT+EE+O+S_ADDR	E_TO_EE	7	1	f1r|f72r|f89r	f71v	CELESTIAL|PHARMA|SOURCE_SECTION_T	CELESTIAL	NO
E_TO_EE	2	otey	oteey	INSERT_ONE_e	OT+E+Y	OT+EE+Y	E_TO_EE	11	16	f72r|f75r|f76r|f77r|f81r	f1r|f71v|f72r|f76r|f81r|f82r	BIOLOGICAL|CELESTIAL	BIOLOGICAL|CELESTIAL|SOURCE_SECTION_T	NO
E_TO_EE	2	qoked	qokeed	INSERT_ONE_e	OK+E+D_ADDR	OK+EE+D_ADDR	E_TO_EE	3	3	f75r|f76r	f76r|f77r|f81v	BIOLOGICAL	BIOLOGICAL	NO
E_TO_EE	2	qokedy	qokeedy	INSERT_ONE_e	OK+E+DY	OK+EE+DY	E_TO_EE	55	66	f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	f75r|f76r|f77r|f81r|f82r|f83r	BIOLOGICAL|HERBAL|PHARMA	BIOLOGICAL	NO
