outer_template_id	signature	event_count	recipe_count	recipe_context_cell_count	physical_page_count	register_count	example_microphrases_de
GDT565-O01	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	513	107	159	27	5	Bearbeite den Anteil; über die Verbindung; abschließen. || Bearbeite den Posten; zum Zielort; abschließen. || Bearbeite den Posten; über die Verbindung; abschließen. || Bearbeite den Posten; über die Verbindung; zur Ausführung; abschließen. || Bearbeite den Wert; zum Zielort; abschließen. || Bearbeite den Wert; über die Verbindung; abschließen. || Bearbeite; über die Verbindung; abschließen. || Gib den Anteil; auf Grad II; abschließen. || Gib den Posten und halte den Posten; auf Grad I; abschließen. || Gib den Posten; auf Grad I; abschließen. || Gib den Posten; auf Grad I; zur Ausführung; abschließen. || Gib den Posten; auf Grad II; abschließen. || Gib den Posten; auf Grad II; zur Ausführung; abschließen. || Gib den Posten; auf der zweiten Stufe; auf der Stufe; abschließen. || Gib den Posten; entlang der Bahn; abschließen. || Gib den Posten; hier; abschließen. || Gib den Posten; hier; auf Grad I; abschließen. || Gib den Posten; vom Ausgang; abschließen. || Gib den Posten; zur Ausführung; abschließen. || Gib den Posten; über die Verbindung; abschließen. || Gib den Posten; über die Verbindung; auf Grad I; abschließen. || Gib den Wert und halte den Wert; auf Grad I; abschließen. || Gib den Wert; auf Grad I; abschließen. || Gib den Wert; hier; zur Ausführung; hier; abschließen. || Gib die Einheit; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen. || Gib; zur Ausführung; abschließen. || Halte den Anteil; auf Grad I; abschließen. || Halte den Anteil; auf Grad II; abschließen. || Halte den Anteil; zur Ausführung; abschließen. || Halte den Anteil; zur Ausführung; auf
GDT565-O02	NO_PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	32	11	14	10	3	Bearbeite den Posten; abschließen. || Halte den Posten und gib den Posten und bearbeite den Posten; abschließen. || Halte die Einheit; abschließen. || Markiere den Posten; abschließen. || Nimm den Anteil und wähle den Anteil; abschließen. || Setze den Anteil ein und bearbeite den Anteil; abschließen. || Setze den Posten ein und bearbeite den Posten; abschließen. || Setze den Posten und bearbeite den Posten und wähle den Posten; abschließen. || Setze den Posten und bearbeite den Posten; abschließen. || Setze den Posten und halte den Posten; abschließen. || Setze den Wert und bearbeite den Wert; abschließen. || Setze die Einheit und bearbeite die Einheit; abschließen. || Stelle den Posten ein; abschließen. || Wähle den Posten und gib den Posten und bearbeite den Posten; abschließen.
GDT565-O03	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	385	167	262	27	5	Danach: bearbeite den Anteil; zum Zielort. || Danach: bearbeite den Posten; als Klasse. || Danach: bearbeite den Posten; auf Grad I. || Danach: bearbeite den Posten; auf Grad I; zum Zielort. || Danach: bearbeite den Posten; hier. || Danach: bearbeite den Posten; vom Ausgang. || Danach: bearbeite den Posten; zum Zielort. || Danach: bearbeite den Wert; auf Grad I. || Danach: bearbeite die Einheit; auf Grad I. || Danach: gib den Anteil; vom Ausgang. || Danach: gib den Anteil; zum Zielort. || Danach: gib den Posten; auf Grad I. || Danach: gib den Posten; auf Grad I; zur Ausführung. || Danach: gib den Posten; auf Grad I; zur Ausführung; auf Grad II. || Danach: gib den Posten; auf Grad I; zur Ausführung; hier. || Danach: gib den Posten; auf Grad II. || Danach: gib den Posten; hier. || Danach: gib den Posten; zum Zielort. || Danach: gib den Wert; vom Ausgang. || Danach: gib die Einheit; zum Zielort. || Danach: halte den Anteil; auf Grad I; zur Ausführung. || Danach: halte den Anteil; vom Ausgang. || Danach: halte den Posten und halte den Posten; auf Grad I. || Danach: halte den Posten; auf Grad I. || Danach: halte den Posten; auf Grad I; zur Ausführung. || Danach: halte den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang. || Danach: halte den Posten; auf Grad II. || Danach: halte den Posten; auf Grad II; zur Ausführung; hier. || Danach: halte den Posten; entlang der Bahn; auf der Stufe. || Danach: halte den Posten; hier. || Danach: halte den Posten; hier; hier; vom Ausgang. || Danach: halte den Posten; zum Zielort. || Danach: halte den Wert; auf Grad I; zur Ausführung; vom A
GDT565-O04	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	133	38	81	20	5	Danach: bearbeite den Posten; auf Grad I; abschließen. || Danach: bearbeite den Posten; auf Grad I; über die Verbindung; abschließen. || Danach: bearbeite den Posten; auf Grad II; abschließen. || Danach: bearbeite den Wert; auf Grad I; abschließen. || Danach: bearbeite die Einheit; auf Grad II; abschließen. || Danach: bearbeite; zur Ausführung; abschließen. || Danach: gib den Anteil; vom Ausgang; abschließen. || Danach: gib den Posten; auf Grad I; abschließen. || Danach: gib den Posten; auf Grad II; abschließen. || Danach: gib den Posten; auf Grad III; abschließen. || Danach: gib den Wert; auf Grad I; zur Ausführung; abschließen. || Danach: gib den Wert; hier; weiterführen. || Danach: halte den Anteil; auf Grad II; abschließen. || Danach: halte den Posten; auf Grad I; abschließen. || Danach: halte den Posten; auf Grad I; weiterführen. || Danach: halte den Posten; auf Grad II; abschließen. || Danach: halte den Posten; auf Grad II; zur Ausführung; abschließen. || Danach: halte den Posten; zum Zielort; abschließen. || Danach: halte den Wert; auf Grad I; abschließen. || Danach: halte die Einheit; auf Grad II; abschließen. || Danach: halte die Einheit; zur Ausführung; hier; zum Zielort; weiterführen. || Danach: halte; auf Grad I; hier; auf Grad I; abschließen. || Danach: halte; zur Ausführung; abschließen. || Danach: nimm den Posten; auf Grad I; abschließen. || Danach: nimm den Posten; auf Grad I; weiterführen. || Danach: nimm den Posten; zur Ausführung; abschließen. || Danach: nimm den Wert; auf Grad I; abschließen. || Danach: nimm den Wert; auf Grad II; abschließen. || Danach:
GDT565-O05	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	503	60	147	28	5	Danach: bearbeite den Anteil. || Danach: bearbeite den Posten. || Danach: bearbeite den Wert. || Danach: gib den Anteil. || Danach: gib den Posten. || Danach: gib den Wert. || Danach: halte den Anteil. || Danach: halte den Posten. || Danach: halte den Wert. || Danach: halte die Einheit. || Danach: markiere den Wert. || Danach: nimm den Posten und markiere den Posten. || Danach: nimm den Posten. || Danach: nimm den Wert. || Danach: nimm die Einheit. || Danach: setze den Anteil. || Danach: setze den Posten ein. || Danach: setze den Posten. || Danach: setze den Wert. || Danach: setze die Einheit ein und nimm die Einheit und setze die Einheit. || Danach: setze die Einheit ein. || Danach: stelle den Anteil ein. || Danach: stelle den Posten ein. || Danach: stelle den Wert ein. || Danach: stelle die Einheit ein. || Danach: wähle den Anteil. || Danach: wähle den Posten. || Danach: wähle den Wert. || Weiter: bearbeite den Anteil. || Weiter: bearbeite den Posten. || Weiter: bearbeite den Wert. || Weiter: bearbeite die Einheit. || Weiter: gib den Anteil. || Weiter: gib den Posten und bearbeite den Posten. || Weiter: gib den Posten und setze den Posten ein. || Weiter: gib den Posten. || Weiter: gib den Wert. || Weiter: gib die Einheit. || Weiter: gib die beiden Posten. || Weiter: halte den Anteil. || Weiter: halte den Posten und halte den Posten. || Weiter: halte den Posten. || Weiter: halte den Wert und den Posten. || Weiter: halte den Wert. || Weiter: halte die Einheit und stelle die Einheit ein. || Weiter: halte die Einheit. || Weiter: halte. || Weiter: markiere den Anteil. || Weite
GDT565-O06	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	77	17	43	25	5	Danach: bearbeite den Posten; abschließen. || Danach: bearbeite; abschließen. || Danach: gib den Posten; weiterführen. || Danach: halte den Anteil; weiterführen. || Danach: halte den Posten; weiterführen. || Danach: halte den Wert; weiterführen. || Danach: halte die Einheit; weiterführen. || Danach: nimm den Anteil; weiterführen. || Danach: nimm den Posten; weiterführen. || Danach: nimm den Wert; weiterführen. || Danach: nimm die Einheit; weiterführen. || Danach: setze den Posten ein und nimm den Posten; weiterführen. || Danach: stelle den Posten ein und nimm den Posten; weiterführen. || Danach: stelle den Posten ein; weiterführen. || Danach: wähle den Posten; weiterführen. || Weiter: bearbeite den Posten; abschließen. || Weiter: bearbeite den Wert; abschließen. || Weiter: gib den Anteil; abschließen. || Weiter: gib den Posten; abschließen. || Weiter: gib den Wert; abschließen. || Weiter: halte den Posten; abschließen. || Weiter: markiere den Posten; danach nächsten Gang eröffnen. || Weiter: nimm den Posten und setze den Posten ein; abschließen. || Weiter: nimm den Posten; abschließen. || Weiter: nimm den Wert; nochmals weiterführen. || Weiter: setze den Anteil ein; abschließen. || Weiter: setze den Anteil; abschließen. || Weiter: setze den Posten ein und bearbeite den Posten; abschließen. || Weiter: setze den Posten; abschließen. || Weiter: setze den Wert; abschließen. || Weiter: setze die Einheit ein und bearbeite die Einheit; abschließen. || Weiter: setze ein und bearbeite; abschließen. || Weiter: stelle den Posten ein und bearbeite den Posten; abschließen. || Weiter: st
GDT565-O07	PREFIX__ARGUMENT_REFERENCE__MODIFIER__NO_SUFFIX	4	2	2	3	3	Danach: Bezug auf den Posten; auf Grad I. || Danach: Bezug auf den Posten; auf Grad II.
GDT565-O08	PREFIX__ARGUMENT_REFERENCE__NO_MODIFIER__NO_SUFFIX	1	1	1	1	1	Weiter: Bezug auf den Posten.
GDT565-O09	PREFIX__EMPTY_BASE__MODIFIER__NO_SUFFIX	4	4	4	1	1	Danach: auf Grad I; zur Ausführung; hier. || Danach: auf Grad I; zur Ausführung; hier; vom Ausgang. || Danach: auf Grad II; zur Ausführung. || Danach: zur Ausführung; vom Ausgang.
GDT565-O10	PREFIX__EMPTY_BASE__MODIFIER__SUFFIX	3	2	2	2	2	Danach: auf Grad I; abschließen. || Danach: auf Grad II; abschließen.
