page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	sigla_bearing_event_count	sigla_occurrence_count	changed_event_count	changed_statement_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	47	52	47	6	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
2	f10r	HERBAL	92	2	23	69	13	14	13	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
3	f11r	HERBAL	59	2	11	48	13	14	13	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
4	f13r	HERBAL	77	5	18	59	16	17	16	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
5	f17r	HERBAL	78	8	19	59	29	32	29	8	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
6	f18r	HERBAL	84	5	21	63	14	15	14	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
7	f24v	HERBAL	86	3	14	72	30	33	30	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
8	f55v	HERBAL	106	5	17	89	16	17	16	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
9	f56r	HERBAL	105	3	26	79	4	4	4	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
10	f67r2	CELESTIAL	126	11	15	111	34	34	34	9	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
11	f68r1	CELESTIAL	31	3	8	23	4	6	4	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
14	f71v	CELESTIAL	78	5	24	54	10	10	10	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
15	f72r	CELESTIAL	288	22	105	183	33	34	33	14	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
16	f75r	BIOLOGICAL	408	111	172	236	30	32	30	22	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
17	f76r	BIOLOGICAL	560	118	187	373	44	46	44	36	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
18	f77r	BIOLOGICAL	321	82	141	180	28	29	28	17	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
19	f81r	BIOLOGICAL	210	48	114	96	14	15	14	10	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
20	f81v	BIOLOGICAL	253	54	102	151	25	32	25	19	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
21	f82r	BIOLOGICAL	278	62	101	177	24	26	24	16	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
22	f83r	BIOLOGICAL	341	91	139	202	31	33	31	19	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
23	f88r	PHARMA	134	5	41	93	27	30	27	5	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
24	f88v	PHARMA	131	13	30	101	32	34	32	8	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
25	f89r	PHARMA	338	20	74	264	51	59	51	15	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
26	f95v	HERBAL	178	30	56	122	30	33	30	18	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
27	f31r	HERBAL	103	19	25	78	21	23	21	10	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
28	f66r	SOURCE_SECTION_T	293	51	95	198	77	80	77	30	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
29	f20v	HERBAL	86	3	21	65	10	11	10	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
30	f4r	HERBAL	64	5	21	43	8	8	8	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
