complete_slot_ordinal	slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	locus	surface	slot_value	slot_position	boundary_class	fill_status	primary_governor_kind	primary_governor_key	realization_scope	source_detail	guard	gdt582_default_key	gdt582_default_kind	gdt582_core_concept	gdt582_concrete_default_de	gdt582_default_basis	gdt582_default_status	gdt582_guard
1	RUNNING:G407-E0001@1	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	fachys	LOCAL_CHAR_F	1	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:LOCAL_CHAR_F:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	FINE_FORM	in Feinform	PORTABLE_CORE_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
2	RUNNING:G407-E0001@2	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	fachys	A_ADDR	2	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:A_ADDR:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	MAIN_SITE	an der Hauptstelle	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
3	RUNNING:G407-E0001@3	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	fachys	CH	3	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0001@3:CH	SELF	FINAL_RECIPE_SELF_HEAD	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:CH:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	TAKE_OR_EXTRACT	Entnimm	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
4	RUNNING:G407-E0001@4	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	fachys	Y	4	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0001@3:CH	PRIMARY_GOVERNOR	G407-A00001	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:Y:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	CURRENT_GOOD_OR_BATCH	Arbeitsgut	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
5	RUNNING:G407-E0001@5	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	fachys	S	5	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0001@5:S	SELF	FINAL_RECIPE_SELF_HEAD	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:S:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	SELECT_OR_SEPARATE	Sondere aus	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
6	RUNNING:G407-E0002@1	RUNNING_ATOM	G407-E0002	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	ykal	Y	1	RUNNING_OBJECT_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00002	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:Y:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	CURRENT_GOOD_OR_BATCH	Arbeitsgut	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
7	RUNNING:G407-E0002@2	RUNNING_ATOM	G407-E0002	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	ykal	K	2	RUNNING_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	ACTION:G407-E0002@2:K	SELF	FINAL_RECIPE_SELF_HEAD	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:K:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	TRANSFER_OR_ADD	Gib zu	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
8	RUNNING:G407-E0002@3	RUNNING_ATOM	G407-E0002	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	ykal	AL	3	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00003	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:AL:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	TARGET	zur Zielstelle oder ins Zielgefäß	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
9	RUNNING:G407-E0003@1	RUNNING_ATOM	G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	ar	AR	1	RUNNING_RELATION_FUNCTION	CONTENT_CARRIER	PRIMARY_ACTION	ACTION:G407-E0002@2:K	PRIMARY_GOVERNOR	G407-A00004	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:AR:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	SOURCE	von der Quelle oder aus dem Ausgangsgefäß	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
10	RUNNING:G407-E0004@1	RUNNING_ATOM	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	RUNNING_STATEMENT	ataiin	A_ADDR	1	RUNNING_MODIFIER_FUNCTION	CONTENT_CARRIER	SAME_CARD_ACTION	ACTION:G407-E0004@2:T	PRIMARY_GOVERNOR	NEAREST_VISIBLE_ACTION_LEFT_TIE	COMPLETE_SLOT_LEDGER__NO_UNHOSTED_ENTRY	FUNCTION:A_ADDR:SOURCE_SECTION_T	PRODUCTIVE_REGISTER_FUNCTION	MAIN_SITE	an der Hauptstelle	REGISTER_REALIZATION	PROVISIONAL_REPLACEABLE_DEFAULT	ONE_COMPLETE_SLOT__ONE_NONEMPTY_DEFAULT__GDT581_HOST_UNCHANGED
