label_ordinal	source_event_id	bundle_id	physical_page	register	locus	owner_de	surface	surface_template	label_slot_count	raw_core_sequence	primary_default_sequence	occurrence_role_sequence	legacy_alias_sequence	gdt474_selected_model	gdt585_selected_model	gdt476_context_changed	source_grammar_reading_de	gdt585_primary_reading_de	compound_group_id	interpretation_mode	composition_hypothesis_de	guard
1	P1003-E0079	G474-B001	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	ot{NAME_1}	1	eeeon	rechte Blütenform	SINGLE_LEARNED_VALUE	ganze blühende Heilpflanze	CATALOGUE	CATALOGUE	NO	Pflanzenname »eeeon« — Folgevermerk.	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	GDT585-C001	TWO_FLOWER_FORMS_ONE_PICTURED_PLANT	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
2	P1003-E0080	G474-B001	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	{NAME_1}	1	oiil	linke Blütenform	SINGLE_LEARNED_VALUE	ganze Heilpflanze B	CATALOGUE	CATALOGUE	NO	Pflanzenname »oiil«.	Pflanzenname »linke Blütenform [oiil]«.	GDT585-C001	TWO_FLOWER_FORMS_ONE_PICTURED_PLANT	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
3	P1003-E0596	G474-B002	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	arom	ar{NAME_1}	1	om	gelernter Ringfiguren- oder Sternwert OM	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »om« — Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert OM [om]« — Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
4	P1003-E0597	G474-B003	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	chfaly	{NAME_1}aly	1	chf	gelernter Ringfiguren- oder Sternwert CHF	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHF [chf]« — Zielzuordnung, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
5	P1003-E0599	G474-B005	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	otchody	ot{NAME_1}	1	chody	gelernter Ringfiguren- oder Sternwert CHODY	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »chody« — Folgevermerk.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHODY [chody]« — Folgevermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
6	P1003-E0606	G474-B010	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalar	{NAME_1}alar	1	op	wiederkehrender Ring- oder Kalenderwert OP	PRIMARY_RECORD_VALUE	NONE	COORDINATE	COORDINATE	NO	Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition.	Adressspur: Sternstelle »wiederkehrender Ring- oder Kalenderwert OP [op]« → Zielposition → Ausgangsposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
7	P1003-E0609	G474-B011	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalor	{NAME_1}alor	1	op	wiederkehrender Ring- oder Kalenderwert OP	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »op« — Zielzuordnung, Einheitsangabe.	Sternstelle »wiederkehrender Ring- oder Kalenderwert OP [op]« — Zielzuordnung, Einheitsangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
8	P1003-E0641	G474-B012	f71v	CELESTIAL	f71v.13	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	ofaom	of{NAME_1}	1	aom	gelernter Ringfiguren- oder Sternwert AOM	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	Sternstelle »gelernter Ringfiguren- oder Sternwert AOM [aom]« — Ausführungsvermerk, Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
9	P1003-E0642	G474-B013	f71v	CELESTIAL	f71v.14	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	otalody	otal{NAME_1}	1	ody	gelernter Ringfiguren- oder Sternwert ODY	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert ODY [ody]« — Folgevermerk, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
10	P1003-E0646	G474-B016	f71v	CELESTIAL	f71v.17	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	sholshdy	sholsh{NAME_1}	1	dy	wiederkehrender Ring- oder Kalenderwert DY	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« und halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]«.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
11	P1008-E0127	G474-B017	f72r	CELESTIAL	f72r1.2	lokale Kennung für Tierkreis-Ringgruppe A	oshodady	{NAME_1}sh{NAME_2}	2	o|odady	wiederkehrender Ring- oder Kalenderwert O|gelernter Ringfiguren- oder Sternwert ODADY	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert ODADY [odady]«.	GDT585-C002	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert O mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert ODADY.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
12	P1008-E0128	G474-B018	f72r	CELESTIAL	f72r1.3	lokale Kennung für Tierkreis-Ringgruppe A	chdaiirdainy	{NAME_1}ainy	1	chdaiird	gelernter Ringfiguren- oder Sternwert CHDAIIRD	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHDAIIRD [chdaiird]« — Anteilsangabe, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
