shape_ordinal	register	gdt587_packet_rule_id	written_root_multiset	host_count	page_count	pages	cross_register_packet_multiset_page_count	cross_register_packet_multiset_pages	ordered_sequence_inventory	repeated_root_host_count	example_host_keys	guard
1	BIOLOGICAL	BIOLOGICAL_BATH_FILL	AIIN*1	5	3	f77r|f82r|f83r	3	f77r|f82r|f83r	AIIN	0	ACTION:G407-E2426@1:SH|ACTION:G407-E2647@1:SH|ACTION:G407-E3218@1:SH|ACTION:G407-E3441@1:SH|ACTION:G407-E3621@1:SH	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
2	BIOLOGICAL	BIOLOGICAL_BATH_FILL	Y*1+AIIN*1	5	2	f77r|f82r	2	f77r|f82r	AIIN+Y|Y+AIIN	0	ACTION:G407-E2404@1:SH|ACTION:G407-E2508@1:SH|ACTION:G407-E2637@1:SH|ACTION:G407-E2652@1:SH|ACTION:G407-E3182@1:SH	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
3	BIOLOGICAL	BIOLOGICAL_BATH_FILL	Y*2+AIIN*1	1	1	f82r	1	f82r	Y+AIIN+Y	1	ACTION:G407-E3341@4:SH	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
4	BIOLOGICAL	BIOLOGICAL_BODY_PART	Y*1+AIN*1	3	3	f75r|f77r|f83r	3	f75r|f77r|f83r	AIN+Y|Y+AIN	0	ACTION:G407-E1686@1:CHD|ACTION:G407-E2615@1:CHD|ACTION:G407-E3687@1:CHD	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
5	BIOLOGICAL	BIOLOGICAL_BODY_PART	Y*1+AIN*2	1	1	f76r	1	f76r	Y+AIN+AIN	1	ACTION:G407-E2292@1:CHD	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
6	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	AIIN*1	1	1	f77r	1	f77r	AIIN	0	ACTION:G407-E2666@1:S	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
7	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	AIIN*1+AIN*1	1	1	f76r	1	f76r	AIIN+AIN	0	ACTION:G407-E1965@3:S	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
8	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	AIIN*1+OR*2	1	1	f81r	1	f81r	OR+OR+AIIN	1	ACTION:G407-E2920@3:S	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
9	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	AIN*1	2	2	f75r|f76r	2	f75r|f76r	AIN	0	ACTION:G407-E1542@1:S|ACTION:G407-E2224@1:S	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
10	BIOLOGICAL	BIOLOGICAL_FLOW_PACKET	OR*2	1	1	f82r	1	f82r	OR+OR	1	LOCAL_ACTION:P912-E1398@1:S	MULTIPLICITY_AWARE_SPECIAL_PACKET_SHAPE
