analogy_ordinal	primary_governor_key	source_event_id	statement_id	physical_page	locus	surface	component_recipe	written_root_sequence	body_blockers_present	gdt589_y_lemma_sequence	gdt590_y_lemma_sequence	analogy_class	gdt590_changed	guard
1	ACTION:G407-E1433@1:SH	G407-E1433	G407-S083	f75r	f75r.2	shey	SH+E+Y	AIN+Y+Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
2	ACTION:G407-E1452@2:SH	G407-E1452	G407-S085	f75r	f75r.4	lshey	L+SH+E+Y	Y	L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
3	ACTION:G407-E1455@1:SH	G407-E1455	G407-S085	f75r	f75r.4	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
4	ACTION:G407-E1457@1:SH	G407-E1457	G407-S085	f75r	f75r.4	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
5	ACTION:G407-E1459@1:SH	G407-E1459	G407-S086	f75r	f75r.5	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
6	ACTION:G407-E1506@1:SH	G407-E1506	G407-S096	f75r	f75r.10	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
7	ACTION:G407-E1526@1:SH	G407-E1526	G407-S101	f75r	f75r.12	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
8	ACTION:G407-E1529@1:SH	G407-E1529	G407-S101	f75r	f75r.12	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
9	ACTION:G407-E1530@1:SH	G407-E1530	G407-S101	f75r	f75r.12	shey	SH+E+Y	Y+Y	NONE	Körper|Körper	Körper|Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
10	ACTION:G407-E1544@3:SH	G407-E1544	G407-S109	f75r	f75r.14	keishy	K+E+SH+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
11	ACTION:G407-E1574@2:SH	G407-E1574	G407-S115	f75r	f75r.17	lshedary	L+SH+E+D_ADDR+AR+Y	Y	AL|AR|D_ADDR|L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
12	ACTION:G407-E1576@1:SH	G407-E1576	G407-S115	f75r	f75r.17	shal	SH+AL	Y	AL	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
13	ACTION:G407-E1592@1:SH	G407-E1592	G407-S119	f75r	f75r.19	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
14	ACTION:G407-E1594@1:SH	G407-E1594	G407-S119	f75r	f75r.19	shey	SH+E+Y	Y+Y	NONE	Körper|Körper	Körper|Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
15	ACTION:G407-E1599@1:SH	G407-E1599	G407-S119	f75r	f75r.20	shey	SH+E+Y	Y+OR+Y+Y+Y+AIN	L|O	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
16	ACTION:G407-E1605@1:SH	G407-E1605	G407-S119	f75r	f75r.20	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
17	ACTION:G407-E1611@2:SH	G407-E1611	G407-S119	f75r	f75r.21	ysheor	Y+SH+E+OR	Y+OR+OR	AR|D_ADDR|L|O	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
18	ACTION:G407-E1616@1:SH	G407-E1616	G407-S119	f75r	f75r.22	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
19	ACTION:G407-E1620@1:SH	G407-E1620	G407-S119	f75r	f75r.22	shey	SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
20	ACTION:G407-E1625@2:SH	G407-E1625	G407-S119	f75r	f75r.23	kshey	K+SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
21	ACTION:G407-E1628@2:SH	G407-E1628	G407-S119	f75r	f75r.23	sshey	S+SH+E+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
22	ACTION:G407-E1648@1:SH	G407-E1648	G407-S122	f75r	f75r.26	sheol	SH+E+OL	AIN+Y+Y	AR|A_ADDR|D_ADDR	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
23	ACTION:G407-E1711@3:SH	G407-E1711	G407-S135	f75r	f75r.32	polshy	P+OL+SH+Y	Y	AL	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
24	ACTION:G407-E1758@1:SH	G407-E1758	G407-S151	f75r	f75r.37	sheety	SH+EE+T+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
25	ACTION:G407-E1769@2:SH	G407-E1769	G407-S160	f75r	f75r.39	yshedy	Y+SH+E+DY	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
26	ACTION:G407-E1789@1:SH	G407-E1789	G407-S173	f75r	f75r.42	dshedy	SH+E+DY	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
27	ACTION:G407-E1795@2:SH	G407-E1795	G407-S177	f75r	f75r.43	yshedy	Y+SH+E+DY	OR+Y	D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
28	ACTION:G407-E2404@1:SH	G407-E2404	G407-S312	f77r	f77r.10	shey	SH+E+Y	Y+AIIN	NONE	Stationsansatz	Körper	CLEAN_Y_PLUS_FILL_BODY_GDT590	YES	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
29	ACTION:G407-E2435@2:SH	G407-E2435	G407-S324	f77r	f77r.13	lsheedy	L+SH+EE+D_ADDR+Y	Y	D_ADDR|L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
30	ACTION:G407-E2468@1:SH	G407-E2468	G407-S340	f77r	f77r.17	sheed	SH+EE+D_ADDR	Y	CARRIER_Q|D_ADDR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
31	ACTION:G407-E2476@2:SH	G407-E2476	G407-S341	f77r	f77r.18	lshey	L+SH+E+Y	Y+OR	L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
32	ACTION:G407-E2487@2:SH	G407-E2487	G407-S343	f77r	f77r.19	lsheey	L+SH+EE+Y	Y+Y	L	Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
33	ACTION:G407-E2499@1:SH	G407-E2499	G407-S346	f77r	f77r.20	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
34	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	f77r.21	shear	SH+E+AR	AIIN+Y	AR	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
35	ACTION:G407-E2517@1:SH	G407-E2517	G407-S353	f77r	f77r.22	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
36	ACTION:G407-E2584@1:SH	G407-E2584	G407-S370	f77r	f77r.32	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
37	ACTION:G407-E2625@1:SH	G407-E2625	G407-S379	f77r	f77r.37	cheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
38	ACTION:G407-E2637@1:SH	G407-E2637	G407-S382	f77r	f77r.39	cheey	SH+EE+Y	AIIN+Y	NONE	Stationsansatz	Körper	CLEAN_Y_PLUS_FILL_BODY_GDT590	YES	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
39	ACTION:G407-E2639@2:SH	G407-E2639	G407-S382	f77r	f77r.39	lsheey	L+SH+EE+Y	Y	L	Stationsansatz	Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
40	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	f77r.41	sh	SH	AIIN+Y	NONE	Stationsansatz	Körper	CLEAN_Y_PLUS_FILL_BODY_GDT590	YES	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
41	ACTION:G407-E2677@1:SH	G407-E2677	G407-S392	f77r	f77r.44	sheey	SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
42	ACTION:G407-E2682@1:SH	G407-E2682	G407-S392	f77r	f77r.44	cheey	SH+EE+Y	Y+Y+Y	L	Stationsansatz|Stationsansatz|Stationsansatz	Stationsansatz|Stationsansatz|Stationsansatz	BLOCKED_Y_STATION	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
43	ACTION:G407-E2697@5:SH	G407-E2697	G407-S392	f77r	f77r.46	chlchpsheey	CH+L+CH+P+SH+EE+Y	Y	NONE	Körper	Körper	CLEAN_Y_BODY_EXISTING	NO	COMPLETE_HOST_VALUES__NO_CONTAINED_SUBSTRING_SEGMENTATION
