aiin_binding_ordinal	primary_governor_key	statement_id	physical_page	action_root	written_carrier_roots	quantity_reading_de	substrate_object_class	substrate_object_lemma_de	substrate_source_pointer	substrate_selection_route	substrate_reference_mode	consecutive_quantity	substrate_override_id	literal_clause_de	quantity_clause_de	state_channel
1	ACTION:G407-E2413@1:OK	G407-S314	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:OK:STATION_SUBSTRATE	ROOT_DEFAULT_STATION_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
2	ACTION:G407-E2443@1:OK	G407-S326	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	DEFAULT:OK:STATION_SUBSTRATE	ROOT_DEFAULT_STATION_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
3	ACTION:G407-E2451@1:OK	G407-S332	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2453@1:OK	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
4	ACTION:G407-E2460@1:OK	G407-S334	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2459@1:CHD	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
5	ACTION:G407-E2521@1:OK	G407-S354	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2520@3:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
6	ACTION:G407-E2527@1:OK	G407-S357	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2526@1:CHD	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß zur Zielstation oder ins Zielbecken vor	Bereite eine abgemessene Menge desselben Stationsansatzes zur Zielstation oder ins Zielbecken vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
7	ACTION:G407-E2545@1:OK	G407-S361	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2546@3:T	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
8	ACTION:G407-E2551@1:OK	G407-S362	f77r	OK	AIIN	abgemessene Menge	PORTION	Anwendungsportion	ACTION:G407-E2550@1:OK	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Anwendungsportion vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
9	ACTION:G407-E2566@1:OK	G407-S368	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2567@3:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß zur Zielstation oder ins Zielbecken vor	Bereite eine abgemessene Menge des Stationsansatzes zur Zielstation oder ins Zielbecken vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
10	ACTION:G407-E2596@1:OK	G407-S372	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2594@3:T	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
11	ACTION:G407-E2600@1:OK	G407-S374	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2602@4:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
12	ACTION:G407-E2601@1:OK	G407-S374	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2602@4:K	RIGHT_WITHIN_STATE_WRITTEN_SUBSTRATE	DEFINITE	YES	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine weitere abgemessene Menge des Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
13	ACTION:G407-E2603@1:R	G407-S374	f77r	R	AIIN	Maßangabe	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	NONE	Kennzeichne oder prüfe das Stations- oder Badmaß	Kennzeichne oder prüfe die Maßangabe	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
14	ACTION:G407-E2605@1:OK	G407-S374	f77r	OK	AIIN	abgemessene Menge	STATION	Stationsansatz	ACTION:G407-E2604@2:K	LEFT_LIVE_SUBSTRATE	ANAPHORIC	NO	NONE	Beschicke oder bereite das Stations- oder Badmaß vor	Bereite eine abgemessene Menge desselben Stationsansatzes vor	PARAMETER__DOES_NOT_ERASE_SUBSTRATE
