language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
latin	p	338	N	1.0		1.0	N,N,N,N,N,N	,,,,,
latin	E	497	N	0.8333333333333334		0.8333333333333334	N,N,S,N,N,N	,,re,,,
latin	op	110	N	0.8333333333333334		0.8333333333333334	N,N,S,N,N,N	,,ini,,,
latin	f	104	N	0.8333333333333334		0.8333333333333334	N,N,L,N,N,N	,,e,,,
latin	a	128	L	1.0	i	0.6666666666666666	L,L,L,L,L,L	e,i,i,i,i,t
latin	b	3	L	1.0	i	0.6666666666666666	L,L,L,L,L,L	i,i,t,i,o,i
latin	Sey	148	L	0.8333333333333334	a	0.6666666666666666	L,S,L,L,L,L	a,si,t,a,a,a
latin	oky	44	L	0.8333333333333334	a	0.6666666666666666	L,L,D,L,L,L	a,a,xx,a,a,m
latin	e	453	N	0.6666666666666666		0.6666666666666666	N,N,N,N,L,S	,,,,i,ter
latin	aN	556	S	1.0	cum	0.5	S,S,S,S,S,S	tum,qui,cum,cum,cum,tum
latin	Cedy	448	S	1.0	tem	0.5	S,S,S,S,S,S	ani,ius,tem,tem,ius,tem
latin	ai	143	L	1.0	i	0.5	L,L,L,L,L,L	s,i,s,e,i,i
latin	i	118	L	1.0	i	0.5	L,L,L,L,L,L	i,n,u,i,n,i
latin	CE	98	L	1.0	e	0.5	L,L,L,L,L,L	e,t,e,s,e,s
latin	K	98	L	1.0	s	0.5	L,L,L,L,L,L	s,e,e,s,s,e
latin	N	88	L	1.0	t	0.5	L,L,L,L,L,L	e,t,e,t,t,s
latin	m	80	L	1.0	t	0.5	L,L,L,L,L,L	t,i,e,t,t,s
latin	eol	75	L	1.0	t	0.5	L,L,L,L,L,L	i,t,t,e,e,t
latin	okal	52	L	1.0	c	0.5	L,L,L,L,L,L	c,s,a,a,c,c
latin	g	38	L	1.0	i	0.5	L,L,L,L,L,L	i,s,t,t,i,i
latin	x	11	L	1.0	l	0.5	L,L,L,L,L,L	x,s,l,l,t,l
latin	j	3	L	1.0	m	0.5	L,L,L,L,L,L	m,l,d,m,m,q
latin	Edy	312	L	0.8333333333333334	e	0.5	L,L,S,L,L,L	e,t,et,e,e,t
latin	air	210	L	0.8333333333333334	a	0.5	L,L,S,L,L,L	a,a,ita,a,e,t
latin	Ty	74	L	0.8333333333333334	a	0.5	L,L,L,S,L,L	t,a,d,men,a,a
latin	qokaI	74	D	0.8333333333333334	xx	0.5	D,D,D,D,L,D	cc,xx,cc,xx,a,xx
latin	qokaN	72	L	0.6666666666666666	l	0.5	S,L,L,L,L,S	si,l,a,l,l,bat
latin	otal	48	L	0.6666666666666666	c	0.5	S,L,L,L,S,L	ad,c,c,l,mis,c
latin	Ce	609	N	0.5		0.5	S,N,W,N,N,S	ari,,rhenum,,,ani
latin	t	359	W	0.5		0.5	W,W,N,W,N,N	legatos,proelium,,caesaris,,
latin	ol	712	W	1.0	exercitus	0.3333333333333333	W,W,W,W,W,W	omnibus,castris,haeduorum,caesarem,exercitus,exercitus
latin	ok	625	S	1.0	in	0.3333333333333333	S,S,S,S,S,S	eti,in,in,ter,per,quo
latin	o	609	W	1.0	legiones	0.3333333333333333	W,W,W,W,W,W	civitates,legiones,legiones,omnibus,haeduorum,helvetii
latin	y	554	W	1.0	exercitum	0.3333333333333333	W,W,W,W,W,W	caesar,exercitum,caesaris,nostrorum,omnibus,exercitum
latin	aI	414	S	1.0	ius	0.3333333333333333	S,S,S,S,S,S	cum,um,ius,ius,tum,tia
latin	Cey	264	S	1.0	iis	0.3333333333333333	S,S,S,S,S,S	iis,iis,rat,ant,tem,nis
latin	qo	233	S	1.0	par	0.3333333333333333	S,S,S,S,S,S	cer,min,ter,par,in,par
latin	dy	204	S	1.0	quo	0.3333333333333333	S,S,S,S,S,S	que,rem,mis,quo,quo,res
latin	Col	188	S	1.0	non	0.3333333333333333	S,S,S,S,S,S	int,non,ani,est,nos,non
latin	Sedy	173	S	1.0	num	0.3333333333333333	S,S,S,S,S,S	et,qua,est,num,num,iam
latin	Co	121	S	1.0	ani	0.3333333333333333	S,S,S,S,S,S	era,ani,qua,ita,ani,tri
latin	okaN	92	L	1.0	a	0.3333333333333333	L,L,L,L,L,L	a,c,c,l,l,a
latin	oty	48	L	1.0	m	0.3333333333333333	L,L,L,L,L,L	d,a,m,m,c,c
latin	qokal	41	L	1.0	a	0.3333333333333333	L,L,L,L,L,L	e,p,a,c,a,c
latin	n	37	L	1.0	n	0.3333333333333333	L,L,L,L,L,L	t,s,n,n,d,o
latin	I	9	L	1.0	i	0.3333333333333333	L,L,L,L,L,L	d,i,i,m,t,s
latin	Ey	370	L	0.8333333333333334	e	0.3333333333333333	L,L,S,L,L,L	e,t,iis,i,e,t
latin	lk	249	L	0.8333333333333334	s	0.3333333333333333	L,L,L,S,L,L	s,e,i,omn,s,e
latin	od	222	S	0.8333333333333334	ari	0.3333333333333333	S,S,S,L,S,S	ter,ari,per,e,ari,re
latin	T	121	L	0.8333333333333334	e	0.3333333333333333	S,L,L,L,L,L	aes,e,a,s,s,e
latin	Sy	68	S	0.8333333333333334	are	0.3333333333333333	S,S,S,L,S,S	are,tra,are,e,us,atu
latin	P	66	L	0.8333333333333334	s	0.3333333333333333	L,L,L,L,L,N	s,e,i,s,r,
latin	qol	45	S	0.8333333333333334	min	0.3333333333333333	L,S,S,S,S,S	c,pro,ad,min,min,hos
latin	c	1	L	0.8333333333333334	l	0.3333333333333333	D,L,L,L,L,L	mm,q,l,t,m,l
latin	v	0	L	0.8333333333333334	m	0.3333333333333333	L,L,D,L,L,L	x,m,tt,l,m,v
