metric	coefficient	standardized_value
standalone	intercept	-1.901223028025352
standalone	left_rate_logit	-0.4183086286780094
standalone	right_rate_logit	0.8238176782932329
standalone	left_log_frequency	0.3021680309157134
standalone	right_log_frequency	-0.3516300751854238
standalone	merged_log_frequency	-1.0320103405745076
chunk_initial	intercept	0.25685764658243454
chunk_initial	left_rate_logit	2.3862036076522206
chunk_initial	right_rate_logit	0.4114667459102478
chunk_initial	left_log_frequency	0.19798262265489283
chunk_initial	right_log_frequency	-0.4275738198717116
chunk_initial	merged_log_frequency	0.016515774235652293
chunk_final	intercept	0.766587680020792
chunk_final	left_rate_logit	-0.038905105456241436
chunk_final	right_rate_logit	3.1554027149890884
chunk_final	left_log_frequency	-0.21263675508940988
chunk_final	right_log_frequency	0.27135964027018356
chunk_final	merged_log_frequency	0.23313075484662701
line_initial	intercept	-3.8282553255693834
line_initial	left_rate_logit	1.2118451805749886
line_initial	right_rate_logit	-0.09299032852574965
line_initial	left_log_frequency	0.023717765279869966
line_initial	right_log_frequency	0.18730053581235137
line_initial	merged_log_frequency	-0.16639055069727277
line_final	intercept	-3.4098816723623155
line_final	left_rate_logit	0.2597320019874549
line_final	right_rate_logit	1.5525723587674232
line_final	left_log_frequency	-0.08078525005511346
line_final	right_log_frequency	-0.11738634394610524
line_final	merged_log_frequency	-0.21918956600368708
paragraph_initial	intercept	-6.000988443445082
paragraph_initial	left_rate_logit	0.33672545550757466
paragraph_initial	right_rate_logit	0.3593388127183912
paragraph_initial	left_log_frequency	0.15169765591266168
paragraph_initial	right_log_frequency	0.10033736428486871
paragraph_initial	merged_log_frequency	-0.3590822824721863
paragraph_final	intercept	-4.763093998906607
paragraph_final	left_rate_logit	0.11228102750185376
paragraph_final	right_rate_logit	1.1158355580524897
paragraph_final	left_log_frequency	0.04155963397372418
paragraph_final	right_log_frequency	0.08615134491497364
paragraph_final	merged_log_frequency	-0.056709190703546374
