key	model	weight_scheme	weighted_source_events	weighted_letters	weighted_boundaries	weighted_words	weighted_empty_events	weighted_symbols	letter_log2_probability	boundary_log2_probability	total_log2_probability	total_negative_log2_probability	bits_per_scored_symbol	bits_per_emitted_letter_including_boundaries	letter_bits_per_letter	boundary_bits_per_boundary	boundary_bits_per_letter	letters_per_word	symbols_per_source_event
TRUTH	LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	event_count_PRIMARY	14553.000000000000	84850.000000000000	14553.000000000000	14553.000000000000	0.000000000000	99403.000000000000	-195200.425112516736	-13713.182150688001	-208913.607263204729	208913.607263204729	2.101683120864	2.462152118600	2.300535357838	0.942292458647	0.161616760762	5.830412973270	6.830412973270
TRUTH	LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	sqrt_count_SENSITIVITY	6279.289215841633	46094.560129431076	6279.289215841633	6279.289215841633	0.000000000000	52373.849345272713	-111384.815350007571	-6344.237227939457	-117729.052577947034	117729.052577947034	2.247859457529	2.554076928978	2.416441658999	1.010343210810	0.137635269978	7.340728949567	8.340728949567
TRUTH	LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	event_count_PRIMARY	14553.000000000000	84850.000000000000	14553.000000000000	14553.000000000000	0.000000000000	99403.000000000000	-205586.878839336277	-14235.303966496780	-219822.182805833058	219822.182805833058	2.211424029515	2.590715177441	2.422944948018	0.978169722153	0.167770229422	5.830412973270	6.830412973270
TRUTH	LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	sqrt_count_SENSITIVITY	6279.289215841633	46094.560129431076	6279.289215841633	6279.289215841633	0.000000000000	52373.849345272713	-119044.569957691681	-6650.532587231532	-125695.102544923211	125695.102544923211	2.399959218508	2.726896670496	2.582616465445	1.059121878071	0.144280205051	7.340728949567	8.340728949567
TRUTH	LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	event_count_PRIMARY	14553.000000000000	84850.000000000000	14553.000000000000	14553.000000000000	0.000000000000	99403.000000000000	-215938.441546395101	-15535.988181612493	-231474.429728007584	231474.429728007584	2.328646315785	2.728042778173	2.544943329952	1.067545398310	0.183099448222	5.830412973270	6.830412973270
TRUTH	LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	sqrt_count_SENSITIVITY	6279.289215841633	46094.560129431076	6279.289215841633	6279.289215841633	0.000000000000	52373.849345272713	-125375.354134700014	-7153.460891145191	-132528.815025845193	132528.815025845193	2.530438695696	2.875150877972	2.719959877752	1.139215068020	0.155191000219	7.340728949567	8.340728949567
TRUTH	LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	event_count_PRIMARY	14553.000000000000	84850.000000000000	14553.000000000000	14553.000000000000	0.000000000000	99403.000000000000	-223353.362542713236	-15663.865338104893	-239017.227880818129	239017.227880818129	2.404527306830	2.816938454694	2.632331909755	1.076332394565	0.184606544939	5.830412973270	6.830412973270
TRUTH	LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	sqrt_count_SENSITIVITY	6279.289215841633	46094.560129431076	6279.289215841633	6279.289215841633	0.000000000000	52373.849345272713	-131028.021113215334	-7289.423771874900	-138317.444885090226	138317.444885090226	2.640963889693	3.000732505022	2.842591853470	1.160867658952	0.158140651552	7.340728949567	8.340728949567
TRUTH	RESET_MATCHED_WORD__FULL_REFERENCE	event_count_PRIMARY	14553.000000000000	84850.000000000000	14553.000000000000	14553.000000000000	0.000000000000	99403.000000000000	-209717.533375639236	-13722.189342568938	-223439.722718208184	223439.722718208184	2.247816692838	2.633349707934	2.471626792877	0.942911382022	0.161722915057	5.830412973270	6.830412973270
TRUTH	RESET_MATCHED_WORD__FULL_REFERENCE	sqrt_count_SENSITIVITY	6279.289215841633	46094.560129431076	6279.289215841633	6279.289215841633	0.000000000000	52373.849345272713	-117655.281561265831	-6347.953114954915	-124003.234676220745	124003.234676220745	2.367655542344	2.690192385566	2.552476501151	1.010934979542	0.137715884415	7.340728949567	8.340728949567
