rank	merged	raw_render	raw_render_length	train_types_containing	held_events_containing	common_substring_support	affecting_merge_nodes
1	dy	fv	2	0	0	0	dy
2	ok	on	2	222	120	1	ok
3	ol	ore	3	34	17	1	ol
4	aN	chi	3	1	0	0	aN
5	Ce	g	1	237	128	1	Ce
6	ot	ot	2	29	23	1	ot
7	qok	ron	3	5	0	0	ok qok
8	ar	cque	4	0	0	0	ar
9	al	cre	3	5	1	1	al
10	or	oque	4	2	0	0	or
11	Se	hg	2	0	0	0	Se
12	aI	cd	2	0	0	0	aI
13	daN	fchi	4	0	0	0	aN daN
14	Ey	qv	2	0	0	0	Ey
15	Cedy	gfv	3	0	0	0	dy Ce Cedy
16	qot	rot	3	0	1	0	ot qot
17	Cy	v	1	288	142	1	Cy
18	Edy	qfv	3	0	0	0	dy Edy
19	edy	gfv	3	0	0	0	dy edy
20	ody	ofv	3	0	0	0	dy ody
21	Col	ore	3	34	17	1	ol Col
22	Cey	gv	2	0	0	0	Ce Cey
23	ai	cnt	3	0	0	0	ai
24	ey	gv	2	0	0	0	ey
25	od	of	2	12	5	1	od
26	Sedy	hgfv	4	0	0	0	dy Se Sedy
27	am	cus	3	7	2	1	am
28	olk	oren	4	1	0	0	ol olk
29	yk	vn	2	0	0	0	yk
30	Cor	oque	4	2	0	0	or Cor
31	yt	vt	2	0	0	0	yt
32	qo	ro	2	98	69	1	qo
33	Co	o	1	921	613	1	Co
34	dal	fcre	4	0	0	0	al dal
35	dar	fcque	5	0	0	0	ar dar
36	Cdy	fv	2	0	0	0	dy Cdy
37	Ky	av	2	40	56	1	Ky
38	air	cntque	6	0	0	0	ai air
39	Ty	inv	3	4	0	0	Ty
40	Sey	hgv	3	0	0	0	Se Sey
41	ky	nv	2	16	6	1	ky
42	qokaI	roncd	5	0	0	0	ok qok aI qokaI
43	So	ho	2	22	38	1	So
44	op	op	2	43	21	1	op
45	Sol	hore	4	0	0	0	ol Sol
46	qokaN	ronchi	6	0	0	0	ok aN qok qokaN
47	qokEdy	ronqfv	6	0	0	0	dy ok qok Edy qokEdy
48	qokal	roncre	6	0	0	0	ok qok al qokal
49	qokedy	rongfv	6	0	0	0	dy ok qok edy qokedy
50	CE	q	1	200	215	1	CE
51	eol	gore	4	0	0	0	ol eol
52	Sy	hv	2	0	0	0	Sy
53	CEy	qv	2	0	0	0	Ey CEy
54	Ceol	gore	4	0	0	0	ol Ce Ceol
55	daI	fcd	3	0	0	0	aI daI
56	os	os	2	132	111	1	os
57	qol	rore	4	0	1	0	ol qol
58	lk	ren	3	72	26	1	lk
59	qokEy	ronqv	5	0	0	0	ok qok Ey qokEy
60	okaN	onchi	5	0	0	0	ok aN okaN
61	okal	oncre	5	0	0	0	ok al okal
62	otal	otcre	5	0	0	0	ot al otal
63	oky	onv	3	12	6	1	ok oky
64	oty	otv	3	0	0	0	ot oty
