row_id	scan	written_page	column	line	lemma	code_surface	thermal	thermal_degree	moisture	moisture_degree	degree_scope	certainty	note	image_url	image_sha256
CLM001	161	56	L	01	Absinthium	c pbar s 2	HOT	1	DRY	2	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00161/full/full/0/default.jpg	25eb16ea21a821cc58239358d6674de04dd67799616583a1d8dd1c9009ee0091
CLM002	161	56	L	07	Eupatorium	c pbar s 2	HOT	1	DRY	2	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00161/full/full/0/default.jpg	25eb16ea21a821cc58239358d6674de04dd67799616583a1d8dd1c9009ee0091
CLM003	161	56	L	08	Camomilla	c s pbar	HOT		DRY	1	SECOND_OR_SHARED	HIGH	The final first-degree mark follows the second quality.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00161/full/full/0/default.jpg	25eb16ea21a821cc58239358d6674de04dd67799616583a1d8dd1c9009ee0091
CLM004	161	56	L	20	Buglossum	c h pbar	HOT		MOIST	1	SECOND_OR_SHARED	MEDIUM	Lemma spelling is less secure than the code; the c-h-pbar core is clear.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00161/full/full/0/default.jpg	25eb16ea21a821cc58239358d6674de04dd67799616583a1d8dd1c9009ee0091
CLM005	163	57	L	02	Lupulus	c s 2	HOT		DRY	2	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM006	163	57	L	06	terra sigillata	f s pbar	COLD		DRY	1	SECOND_OR_SHARED	HIGH	Mineral drug demonstrates that the codebook is not limited to plants.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM007	163	57	L	07	Crocus	c s pbar	HOT		DRY	1	SECOND_OR_SHARED	HIGH	Final pbar means first degree.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM008	163	57	L	12	Aloe	c s 2	HOT		DRY	2	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM009	163	57	L	15	Arnoglossa	f s 2	COLD		DRY	2	SECOND_OR_SHARED	HIGH	Cold/dry row.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM010	163	57	L	18	Galla	f 2 s 3	COLD	2	DRY	3	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM011	163	57	L	20	Balsamum	c s 2	HOT		DRY	2	SECOND_OR_SHARED	HIGH	Concrete source value for the Balsamus target candidates.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM012	163	57	R	02	Sumac	f 2 s 3	COLD	2	DRY	3	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM013	163	57	R	11	Bdellium	c 2 h pbar	HOT	2	MOIST	1	SEPARATE	HIGH	Clear hot/moist witness with separate degrees.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00163/full/full/0/default.jpg	5c3522c9269f0440781c43ded467226c50abfe946415d79a132d0aaa62a66743
CLM014	165	58	L	02	abrotanum	c 2 s pbar	HOT	2	DRY	1	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM015	165	58	L	03	gariofilatum	c 2	HOT	2			THERMAL_ONLY	HIGH	Second quality is absent.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM016	165	58	L	04	anetum	c 2 s	HOT	2	DRY		THERMAL_ONLY	HIGH	Second quality is written without a degree.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM017	165	58	L	08	berberis	f s 2	COLD		DRY	2	SECOND_OR_SHARED	HIGH	Cold/dry row.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM018	165	58	R	04	coloquintida	c 3 s 2	HOT	3	DRY	2	SEPARATE	HIGH	Cucurbitaceae-relative, not the Cucurbita lemma.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM019	165	58	R	05	zinziber	c 3 h 1	HOT	3	MOIST	1	SEPARATE	MEDIUM	Final sign is visually compatible with i or 1; normalized here as degree one.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM020	165	58	R	07	epithimum	c s 3	HOT		DRY	3	SECOND_OR_SHARED	MEDIUM	A small following addition is excluded from the secure core.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM021	165	58	R	08	polipodium	c 3 s 2	HOT	3	DRY	2	SEPARATE	HIGH	The two degrees are separately written.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00165/full/full/0/default.jpg	7d21b30e5fd7e4d6a1f48afabd1bd69de3a124cef231722a2e8393a9fcea447b
CLM022	167	59	L	03	Anisum	c s 2	HOT		DRY	2	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00167/full/full/0/default.jpg	6d862030ef1194e69d4210eacf03fba40901a3ecd4c9caf0df4fed1454467f1b
CLM023	167	59	L	05	Cardamomum	c s 3	HOT		DRY	3	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00167/full/full/0/default.jpg	6d862030ef1194e69d4210eacf03fba40901a3ecd4c9caf0df4fed1454467f1b
CLM024	167	59	R	01	Agaricus	c s 3	HOT		DRY	3	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00167/full/full/0/default.jpg	6d862030ef1194e69d4210eacf03fba40901a3ecd4c9caf0df4fed1454467f1b
CLM025	167	59	R	05	Costus	c s 3	HOT		DRY	3	SECOND_OR_SHARED	HIGH	Single final degree may scope over the pair.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00167/full/full/0/default.jpg	6d862030ef1194e69d4210eacf03fba40901a3ecd4c9caf0df4fed1454467f1b
CLM026	169	60	L	03	antimonium	c s 4	HOT		DRY	4	SECOND_OR_SHARED	HIGH	Fourth-degree witness.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00169/full/full/0/default.jpg	8727d9cf6f5de9a53edd4042ea5a121a8c864ad0c1c648b20b0983d98365af4f
CLM027	169	60	L	08	sulfur	c s 4	HOT		DRY	4	SECOND_OR_SHARED	HIGH	Fourth-degree witness.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00169/full/full/0/default.jpg	8727d9cf6f5de9a53edd4042ea5a121a8c864ad0c1c648b20b0983d98365af4f
CLM028	169	60	R	02	sanguis draconis	c s 3	HOT		DRY	3	SECOND_OR_SHARED	HIGH	Drug name plus compact code.	https://api.digitale-sammlungen.de/iiif/image/v2/bsb00051579_00169/full/full/0/default.jpg	8727d9cf6f5de9a53edd4042ea5a121a8c864ad0c1c648b20b0983d98365af4f
