contact_id	occurrence_id	page	locus	part_surface	part_prefix	part_remainder	part_token_index	quality_source	quality_surface	quality_root	quality_axes	quality_token_start	quality_token_end	distance	order	prefix_axis_relation	both_triple_stable	working_part_de	working_quality_de	surface_line
G631-Q001	G631-O0002	f100r	f100r.25	ctheol	BARE	eol	5	GDT630_OL_QUALITY_DEGREE	chol daiin	ch	DRY	3	4	1	QUALITY_BEFORE_PART	NO_PREFIX_BASELINE	1	cth-Pflanzenteilform (ctheol)	trocken, Grad III	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G631-Q002	G631-O0012	f103r	f103r.24	shcthy	SH	y	8	GDT627_MINIM_QUALITY_DEGREE	qotain	qot	COLD	7	7	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	feuchtes CTH-Pflanzen-/Drogengut	kalt im qo-Qualitätsrahmen, Grad II	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G631-Q003	G631-O0014	f103r	f103r.38	shcthy	SH	y	3	GDT627_MINIM_QUALITY_DEGREE	qokain	qok	HOT	2	2	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	0	feuchtes CTH-Pflanzen-/Drogengut	heiß im qo-Qualitätsrahmen, Grad II	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
G631-Q004	G631-O0019	f104r	f104r.40	chcthy	CH	y	9	GDT627_MINIM_QUALITY_DEGREE	qotaiiin	qot	COLD	11	11	2	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	kalt im qo-Qualitätsrahmen, Grad IV	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin
G631-Q005	G631-O0022	f106v	f106v.4	chcthy	CH	y	4	GDT627_MINIM_QUALITY_DEGREE	okain	ok	HOT	5	5	1	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	heiß im o-Rahmen, Grad II	ycheoto lsheo aiin chcthy okain chdal chdam charam
G631-Q006	G631-O0027	f107v	f107v.15	chcthy	CH	y	8	GDT627_MINIM_QUALITY_DEGREE	otain	ot	COLD	7	7	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	kalt im o-Rahmen, Grad II	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
G631-Q007	G631-O0027	f107v	f107v.15	chcthy	CH	y	8	GDT627_MINIM_QUALITY_DEGREE	okain	ok	HOT	5	5	3	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	heiß im o-Rahmen, Grad II	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
G631-Q008	G631-O0028	f107v	f107v.35	chcthy	CH	y	4	GDT627_MINIM_QUALITY_DEGREE	qokaiin	qok	HOT	7	7	3	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	heiß im qo-Qualitätsrahmen, Grad III	polchedy olkeey lkey chcthy lkar shedy qokaiin chedy qokeedy lol
G631-Q009	G631-O0031	f108v	f108v.25	ctheo	BARE	eo	7	GDT627_MINIM_QUALITY_DEGREE	okaiin	ok	HOT	4	4	3	QUALITY_BEFORE_PART	NO_PREFIX_BASELINE	0	cth-Pflanzenteilform (ctheo)	heiß im o-Rahmen, Grad III	sheeol okeey kaiin okaiin ol lchey ctheo r aiin cheey qokeey qokeeaiin al
G631-Q010	G631-O0033	f10r	f10r.4	chcthy	CH	y	3	GDT627_MINIM_QUALITY_DEGREE	chaiin	ch	DRY	2	2	1	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	trocken, Grad III	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody
