family	surface	decomposition	level_or_role	planned_role	v31_meaning_de	v32_meaning_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	final_status
AL_MINIM_LADDER	al	A+L	I	TARGET	OPEN	Rohstoffklasse I	204	63	167	167	ACCEPTED_V32
AL_MINIM_LADDER	ail	A+I+L	II	TARGET	OPEN	Rohstoffklasse II	5	4	3	3	ACCEPTED_V32
AL_MINIM_LADDER	aiil	A+II+L	III	TARGET	OPEN	Rohstoffklasse III	1	1	1	1	ACCEPTED_V32
AL_MINIM_LADDER	aiiil	A+III+L	IV	ZERO_EXACT_HOLD	OPEN	NOT_ASSIGNED	1	1	0	0	OBSERVED_ZERO_EXACT_HOLD
AL_TAILS	aly	AL+Y	BASE	TARGET	OPEN	Rohstoffklasse I, Grundform	18	16	12	12	ACCEPTED_V32
AL_TAILS	aldy	AL+DY	COMPLETE	TARGET	OPEN	Rohstoffklasse I, abgeschlossen	10	10	5	5	ACCEPTED_V32
D_AL_MINIM_LADDER	dal	D+A+L	I	TARGET	OPEN	abgemessene Rohstoffmenge I	191	87	147	147	ACCEPTED_V32
D_AL_MINIM_LADDER	dail	D+A+I+L	II	TARGET	OPEN	abgemessene Rohstoffmenge II	2	2	2	2	ACCEPTED_V32
D_AL_MINIM_LADDER	daiil	D+A+II+L	III	TARGET_READER_UNSTABLE	OPEN	abgemessene Rohstoffmenge III	1	1	0	0	ACCEPTED_V32
D_AL_TAILS	daly	DAL+Y	BASE	TARGET	OPEN	abgemessene Rohstoffmenge I, Grundform	24	19	18	18	ACCEPTED_V32
D_AL_TAILS	daldy	DAL+DY	COMPLETE	TARGET	OPEN	abgemessene Rohstoffmenge I, abgeschlossen	19	17	6	8	ACCEPTED_V32
DRY_MOIST_DAL_SHELLS	chdal	CH+DAL	DRY	TARGET	OPEN	trockene abgemessene Rohstoffmenge I am Gradanfang	19	15	13	13	ACCEPTED_V32
DRY_MOIST_DAL_SHELLS	chedal	CHE+DAL	DRY_BOUND	TARGET	OPEN	trockene abgemessene Rohstoffmenge I in der Gradmitte	22	15	15	15	ACCEPTED_V32
DRY_MOIST_DAL_SHELLS	shdal	SH+DAL	MOIST	TARGET	OPEN	feuchte abgemessene Rohstoffmenge I am Gradanfang	4	4	3	3	ACCEPTED_V32
DRY_MOIST_DAL_SHELLS	shedal	SHE+DAL	MOIST_BOUND	TARGET	OPEN	feuchte abgemessene Rohstoffmenge I in der Gradmitte	11	7	7	7	ACCEPTED_V32
PREPARATION_DAL_SHELLS	odal	O+DAL	O_PREP	TARGET	OPEN	abgemessene Rohstoffmenge I im Ansatz	14	14	11	11	ACCEPTED_V32
PREPARATION_DAL_SHELLS	qodal	QO+DAL	QO_SCOPE	TARGET	OPEN	abgemessene Rohstoffmenge I im Ansatz	7	6	6	6	ACCEPTED_V32
PORTION_AL_COMPOUND	oral	OR+AL	PORTION_CLASS_I	TARGET_REVISION	Ansatz aus Wurzelrohstoff, Form I	Rohstoffportion, Klasse I	10	10	6	7	ACCEPTED_V32
HEAD_DAL_COMPOUNDS	chdaly	CH+DAL+Y	DRY_BASE	TARGET_REVISION	trockener Rohdrogenposten, Grundform	trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	3	3	3	3	ACCEPTED_V32
HEAD_DAL_COMPOUNDS	chdaldy	CH+DAL+DY	DRY_COMPLETE	ZERO_EXACT_HOLD	OPEN	NOT_ASSIGNED	1	1	0	0	OBSERVED_ZERO_EXACT_HOLD
HEAD_DAL_COMPOUNDS	sodal	S+O+DAL	SEED_PREP	TARGET_REVISION	Ansatz aus einem Saatdrogenposten	abgemessene Saat-Rohstoffmenge I im Ansatz	2	2	1	1	ACCEPTED_V32
MATERIAL_AL_ANCHORS	pal	P+AL	POWDER	V31_ANCHOR	Pulverrohstoff I	Pulverrohstoff I	2	1	2	2	V31_ANCHOR
MATERIAL_AL_ANCHORS	sal	S+AL	SEED	V31_ANCHOR	Saat-Rohstoff I	Saat-Rohstoff I	37	28	33	33	V31_ANCHOR
MATERIAL_AL_ANCHORS	ral	R+AL	ROOT	V31_ANCHOR	Wurzelrohstoff I	Wurzelrohstoff I	16	14	12	13	V31_ANCHOR
MATERIAL_AL_ANCHORS	lal	L+AL	WOOD	V31_ANCHOR	Holzrohstoff I	Holzrohstoff I	6	6	6	6	V31_ANCHOR
MEASURED_AR_ANCHORS	dar	D+AR	I	V31_ANCHOR	abgemessene Fraktion I	abgemessene Fraktion I	245	110	195	195	V31_ANCHOR
MEASURED_AR_ANCHORS	dair	D+AIR	II	V31_ANCHOR	abgemessene Fraktion II	abgemessene Fraktion II	77	59	63	64	V31_ANCHOR
MEASURED_AR_ANCHORS	daiir	D+AIIR	III	V31_ANCHOR	abgemessene Fraktion III	abgemessene Fraktion III	14	14	8	8	V31_ANCHOR
