surface	working_meaning_de	composition	strongest_rival_de	family
lkchdal	heiß getrocknete Holzdroge als Rohstoff I abmessen	L_WOOD+K_HOT+CH_DRY+D_MEASURE+AL_RAW_I	abgemessene heiß-trockene Holzdroge I	WOOD_HOT_DRY_MEASURE
okeedal	Rohdroge I aus dem vollständig erhitzten Ansatz abmessen	O_PREP+K_HOT+EE_END+D_MEASURE+AL_RAW_I	vollständig erhitzter Ansatz mit abgemessener Rohdroge I	PREP_HEAT_END_MEASURE_RAW
pched	Pulver bis zur Mittelstufe trocknen und abschließen	P_POWDER+CH_DRY+E_MIDDLE+D_TERM_CLOSE	abgeschlossene mitteltrockene Pulverdosis	POWDER_DRY_MIDDLE_CLOSE
dcheey	eine Dosis vollständig trocknen und abschließen	D_MEASURE+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrocknete Dosis	MEASURE_DRY_END
ro	Wurzelansatz	R_ROOT+O_PREP	Wurzelzubereitung	ROOT_PREP
shek	bis zur Mittelstufe einweichen und anschließend erhitzen	SH_MOIST+E_MIDDLE+K_HOT	mittelfeuchten Ansatz erhitzen	MOIST_THEN_HEAT
odl	Holzdroge im Ansatz abmessen	O_PREP+D_MEASURE+L_WOOD	ein Maß Holzdrogenansatz	MEASURE_WOOD_PREP
okytaiin	leicht erhitzten Ansatz auf Stufe III abkühlen	O_PREP+K_HOT+Y_START_OR_CLOSE+T_COLD+AIIN_III	Ansatz heiß ansetzen und auf Stufe III kühlen	PREP_HEAT_COOL_III
oytor	eine Portion Ansatz leicht abkühlen	O_PREP+Y_START_OR_CLOSE+T_COLD+OR_PORTION	leicht gekühlte Ansatzportion	PREP_COOL_PORTION
ykeor	erhitze hiervon eine Portion bis zur Mittelstufe	Y_REFERENCE+K_HOT+E_MIDDLE+OR_PORTION	eine hiervon mittelerhitzte Portion	REFERENCE_HEAT_PORTION
orshy	eine Portion einweichen und leicht abschließen	OR_PORTION+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchtete Portion	PORTION_MOIST_CLOSE
chordy	Pflanzenteil fertigstellen	CHOR_PLANT_PART+DY_FINISHED	fertig bereiteter Pflanzenteil	PLANT_PART_FINISH
daiinol	drei Maße Drogenstoff	D_MEASURE+AIIN_III+OL_MATERIAL	drei Teile Drogenstoff abmessen	MATERIAL_MEASURE_III
tcheodal	Rohdroge I im Ansatz kalt bis zur Mittelstufe trocknen und abmessen	T_COLD+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AL_RAW_I	abgemessener kalt-trockener Ansatz aus Rohdroge I	COLD_DRY_PREP_MEASURE_RAW
yteain	kühle hiervon zwei Teile bis zur Mittelstufe	Y_REFERENCE+T_COLD+E_MIDDLE+AIN_II	hierzu zwei Teile auf mittlerer Kühlstufe	REFERENCE_COOL_II
cthal	Krautdroge aus Rohstoff I	CTH_HERB+AL_RAW_I	Rohdroge I für Blatt-/Krautzubereitung	HERB_RAW_I
loeees	Charge Holzdrogenansatz auf der letzten Stufe	L_WOOD+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	vollständig bereitete Holzdrogencharge	WOOD_PREP_FINAL_CHARGE
chodys	Charge Trockenansatz fertigstellen	CH_DRY+O_PREP+DY_FINISHED+S_TERM_SPECIES	fertige Charge Trockenansatz	DRY_PREP_FINISH_CHARGE
ytair	kühle hiervon die zweite Drogenfraktion	Y_REFERENCE+T_COLD+AIR_FRACTION_II	kalte zweite Fraktion hierzu	REFERENCE_COOL_FRACTION_II
dsho	eine Dosis Feuchtansatz abmessen	D_MEASURE+SH_MOIST+O_PREP	Feuchtansatz, eine Dosis	MEASURE_MOIST_PREP
shear	die erste Fraktion bis zur Mittelstufe einweichen	SH_MOIST+E_MIDDLE+AR_FRACTION_I	erste angefeuchtete Fraktion	MOIST_FRACTION_I
eeckhy	Arzneikompositum vollständig bereiten und abschließen	EE_END+CKH_COMPOSITE+Y_START_OR_CLOSE	vollständig bereitetes Arzneikompositum	COMPOSITE_END_CLOSE
kchokchy	erhitzen, trocknen, ansetzen, erneut erhitzen und trocknen, dann abschließen	K_HOT+CH_DRY+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	doppelt heiß getrockneter Ansatz	DOUBLE_HOT_DRY_PREP
dalar	erste Fraktion Rohdroge I abmessen	D_MEASURE+AL_RAW_I+AR_FRACTION_I	abgemessene Rohdroge I, Fraktion I	MEASURE_RAW_FRACTION_I
alchdy	Rohdroge I trocknen und fertigstellen	AL_RAW_I+CH_DRY+DY_FINISHED	fertig getrocknete Rohdroge I	RAW_DRY_FINISH
sh	einweichen oder anfeuchten	SH_MOIST	Feuchtgut	MOIST_ACTION
psheedy	Pulver vollständig einweichen und fertigstellen	P_POWDER+SH_MOIST+EE_END+DY_FINISHED	fertiges vollständig eingeweichtes Pulverpräparat	POWDER_MOIST_FINISH
tchar	erste Drogenfraktion kalt trocknen	T_COLD+CH_DRY+AR_FRACTION_I	erste kalt getrocknete Fraktion	COLD_DRY_FRACTION_I
shedaiin	drei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIIN_III	drei Maße mittelfeuchter Droge	MOIST_DOSE_III
olkair	zweite Fraktion des Drogenstoffs erhitzen	OL_MATERIAL+K_HOT+AIR_FRACTION_II	erhitzter Drogenstoff, Fraktion II	MATERIAL_HEAT_FRACTION_II
sary	erste Saatgutfraktion leicht abschließen	S_SEED+AR_FRACTION_I+Y_START_OR_CLOSE	erste Saatgutfraktion	SEED_FRACTION_I
dals	abgemessene Charge Rohdroge I	D_MEASURE+AL_RAW_I+S_TERM_SPECIES	Rohdroge I abmessen und als Charge abschließen	MEASURED_RAW_CHARGE
ckhody	Arzneikompositum ansetzen und fertigstellen	CKH_COMPOSITE+O_PREP+DY_FINISHED	fertiger Arzneikompositum-Ansatz	COMPOSITE_PREP_FINISH
lkeol	Holzdrogenstoff bis zur Mittelstufe erhitzen	L_WOOD+K_HOT+E_MIDDLE+OL_MATERIAL	mitteltrockene Holzdroge erhitzen	WOOD_HEAT_MIDDLE
shokol	Drogenstoff im Ansatz einweichen und erhitzen	SH_MOIST+O_PREP+K_HOT+OL_MATERIAL	heiß eingeweichter Drogenstoff im Ansatz	MOIST_HEAT_MATERIAL
ytchas	trockne hiervon einen Teil Drogencharge kalt und schließe ab	Y_REFERENCE+T_COLD+CH_DRY+A_PART_OR_LINK+S_TERM_SPECIES	ein Teil kalt getrockneter Drogencharge	REFERENCE_COLD_DRY_PART
oeees	Ansatzcharge auf der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	vollständig bereitete Ansatzcharge	PREP_FINAL_CHARGE
