surface	f1r_card_class	composition	working_meaning_de	confidence	f1r_positions	panel_positions	panel_lines	panel_pages	sections	languages	hands	position_profile	first_loci	decision	promote_to_v49_overlay	hold_occurrences	conflict_occurrences	untestable_occurrences	reader_exact_both	reader_exact_one	reader_exact_neither	review_note
fachys	W	LEARNED_FACHYS_WHOLE	getrocknete Blüten- oder Arzneispecies, abgeschlossen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
ataiin	P	A_PART_OR_LINK+T_COLD+AIIN_III	gleicher Teil auf Kältestufe III	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shory	P	KNOWN_SHOR+Y_START_OR_CLOSE	Blüten- oder Fruchtstand in Grundform, abgeschlossen	MEDIUM	1	4	4	4	H:3|S:1	A:3|B:1	1:3|3:1	FINAL:4	f106r.41|f16v.2|f28v.1|f35v.10	HOLD_SAME_CARD	1	4	0	0	3	1	0	Same ordered composition; no panel neighbor forces a different material, state or closure reading.
cthres	W	LEARNED_CTHRES_WHOLE	Kraut- oder Wurzelspecies der Mittelstufe	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
y	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	3	270	257	125	B:32|C:2|H:123|P:7|S:85|T:21	A:104|B:166	1:97|2:70|3:85|5:12|@:6	FINAL:34|INITIAL:60|MEDIAL:167|SINGLETON:9	f100r.23|f102v1.12|f102v2.17|f102v2.18|f103r.33|f103r.45|f103v.24|f103v.28	NAMED_CONTEXT_CONFLICT	0	200	70	0	78	97	95	Free occurrence-scoped surface; classify each occurrence and never export by spelling alone.
sory	P	KNOWN_SOR+Y_START_OR_CLOSE	Samenportion, abgeschlossen	MEDIUM	1	1	1	1	P:1	A:1	1:1	SINGLETON:1	f99r.39	HOLD_SAME_CARD	1	1	0	0	0	0	1	The singleton occurrence is compatible with the unchanged completed seed-portion card.
ckhar	P	CKH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH	1	2	2	2	S:2	A:1|B:1	3:2	MEDIAL:2	f113r.31|f58v.29	HOLD_SAME_CARD	1	2	0	0	2	0	0	Both occurrences preserve the exact composite-plus-first-fraction reading.
chtaiin	P	CH_DRY+T_COLD+AIIN_III	getrocknete Droge auf Kältestufe III	HIGH	1	2	2	2	H:1|S:1	B:2	3:1|5:1	MEDIAL:2	f107r.14|f48r.2	HOLD_SAME_CARD	1	2	0	0	2	0	0	Both occurrences preserve dry, cold and grade-III order.
ase	W	KNOWN_AS+E_MIDDLE	gleicher Anteil einer Arzneispecies auf Mittelstufe	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
syaiir	W	LEARNED_SYAIIR_WHOLE	Saatgutfraktion III, abgeschlossen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shod	P	SH_MOIST+O_PREP+D_TERM_CLOSE	Feuchtansatz abschließen	HIGH	1	10	10	9	H:4|S:5|T:1	A:3|B:7	1:3|2:2|3:4|@:1	INITIAL:2|MEDIAL:8	f104v.3|f105r.15|f114v.22|f114v.7|f115r.31|f24v.1|f27r.1|f28r.1	HOLD_SAME_CARD	1	10	0	0	10	0	0	Ten occurrences admit the unchanged moisten/preparation/close action without a named valency conflict.
cthoary	P	CTH_HERB+O_PREP+AR_FRACTION_I+Y_START_OR_CLOSE	erste Krautansatzfraktion abteilen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cthes	P	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	Kraut- oder Blattspecies der Mittelstufe	MEDIUM	1	1	1	1	S:1	B:1	3:1	MEDIAL:1	f113r.40	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence admits the unchanged herb-middle-species nominal card.
