surface	sister_surface	register_key	position_basis	position	bound_v61_positions	bound_v60_class	sister_v48_positions	sister_text_class	class_relation
chckhdy	chckhy	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	10	NONACTION	SAME
chdy	chy	H|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	1	NONACTION	SAME
chedy	chey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	29	NONACTION	SAME
chedy	chey	C|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	1	NONACTION	SAME
chedy	chey	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	37	NONACTION	SAME
chedy	chey	S|B|@	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	4	NONACTION	SAME
ldy	ly	B|B|2	PHYSICAL_LINE_POSITION	FINAL	1	RESULT	3	NONACTION	SAME
lshedy	lshey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	2	NONACTION	SAME
okchedy	okchey	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	5	NONACTION	SAME
okedy	okey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	1	NONACTION	SAME
olkeedy	olkeey	T|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	3	NONACTION	SAME
otchdy	otchy	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	3	NONACTION	SAME
otedy	otey	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	6	NONACTION	SAME
qokchedy	qokchey	S|B|@	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	2	NONACTION	SAME
qokedy	qokey	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	13	NONACTION	SAME
qokeedy	qokeey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	20	NONACTION	SAME
shdy	shy	T|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	2	NONACTION	SAME
shedy	shey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	3	RESULT	38	NONACTION	SAME
shedy	shey	S|B|3	PHYSICAL_LINE_POSITION	MEDIAL	2	RESULT	25	NONACTION	SAME
sheedy	sheey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	8	NONACTION	SAME
tchedy	tchey	B|B|2	PHYSICAL_LINE_POSITION	MEDIAL	1	RESULT	2	NONACTION	SAME
