page	locus	token_ordinal	surface	v62_token_gloss_de	v63_main_token_gloss_de	focus_family	cth_family	renderer_rule_id	renderer_changed	selected_head_de	live_rivals_de	provenance_tier	apparatus_note_de	upstream_source_match	upstream_source_records	upstream_source_experiments	upstream_source_artifacts	upstream_source_glosses_de	productive_initial_head	upstream_card_status
f102v2	f102v2.3	1	oror	zwei Portionen	zwei Portionen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	2	qoteed	Ansatz vollständig abkühlen und abziehen	Ansatz vollständig abkühlen und abziehen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	3	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	Arzneikompositum im Trockenansatz am Gradanfang	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	4	otaiin	kalt im Zubereitungsrahmen, Grad III	kalter Ansatz, Grad III	RAHMEN	0	N016	1	Ansatz	Zubereitung	STRUCTURAL_FRAME_WITH_CONTENT	Zubereitungsrahmen ist ein Analysegerüst, kein gesprochenes Nomen.	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	5	ydaiin	davon drei Maße	davon drei Maße	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	7	otarar	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der kalten Ansatzfraktion I	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	9	otair	zweite kalte Drogenfraktion im Ansatz	zweite kalte Drogenfraktion im Ansatz	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f104v	f104v.2	10	oram	eine Maßportion Ansatz	eine Maßportion Ansatz	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	1	dshees	Dosis oder Charge vollständig eingeweichter Arzneispecies	eine Dosis vollständig eingeweichte Arzneimischung	NONE	0	N023	1	Arzneimischung	Charge Arzneispecies|eingeweichte Droge	LOCAL_LEARNED_WHOLE	Eine konkrete Hauptkonstruktion ersetzt die Dosis/Charge-Alternative; Species bleibt historischer Apparatwert.	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	2	yey	hieran anschließend	hieran anschließend	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	3	cheey	trocken am Ende des Grades	trocken am Ende des Grades	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	4	raiin	Wurzel, Typ/Charge III	Wurzel, Charge III	WURZEL	0	N019	1	Wurzel	Wurzeldroge|Harz	PRODUCTIVE_INITIAL_HEAD	r=radix/Wurzel ist die Hauptwahl; resina/Harz bleibt historischer Rivale.	EXACT_GLOSS	1	GDT635	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/CONCRETE_FOUR_HEAD_PARADIGMS.tsv	Wurzel, Typ/Charge III	r	EXPORTED
f105r	f105r.2	5	otchdy	kalt-trockener Ansatz, Anfangsstufe erreicht	kalt-trockener Ansatz, Anfangsstufe erreicht	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	6	qodor	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	7	ches	trockenes Drogenmaterial, Mittelstufe	trockenes Drogenmaterial, Mittelstufe	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	8	or	Drogenportion	Drogenportion	NONE	0	NONE	0	INHERITED	NONE	INHERITED_EXACT_SURFACE_ONLY	NONE	EXACT_SURFACE_ONLY	2	GDT635|GDT636	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/WORKING_DICTIONARY_V12.tsv|experiments/yolo/gdt636_residual_four_head_semantics/artifacts/WORKING_DICTIONARY_V13.tsv	Teil-/Nominalträger; genaue Basisbedeutung offen	NONE	EXPORTED
f105r	f105r.2	9	cheey	trocken am Ende des Grades	trocken am Ende des Grades	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	10	okees	Charge vollständig erhitzten Ansatzes	Charge vollständig erhitzten Ansatzes	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
f105r	f105r.2	11	odar	erste Ansatzfraktion abmessen	erste Ansatzfraktion abmessen	NONE	0	NONE	0	INHERITED	NONE	INHERITED_V62_GLOSS__UPSTREAM_CARD_UNEXPORTED	NONE	NONE	0	NONE	NONE	NONE	NONE	UPSTREAM_CARD_NOT_EXPORTED_IN_GDT690_SCOPE
