page	locus	section	language	hand	token_count	zl3b_line	v66_line_mode	v66_reader_mode	v65_compositional_translation_de	v66_selected_candidate	v66_selected_translation_de	v66_selected_changed_token_positions	v66_selected_changed_ordinals	v66_selected_compact_apparatus_de	v66_local_product_rivals_de	v66_status	v67_translation_de	v67_changed_token_positions	v67_changed_ordinals	v67_compact_apparatus_de	v67_local_rivals_de	v67_bound_span_notes_de	v67_word_count	v67_character_count	v67_status	v68_reader_mode	v68_clause_translation_de	v68_clause_count	v68_action_clause_count	v68_nominal_block_count	v68_action_clause_ids	v68_nominal_block_ids	v68_binding_ids	v68_clause_end_ordinals	v68_content_word_sequence_exact	v68_content_word_additions	v68_content_word_deletions	v68_content_word_reorders	v68_changed_punctuation	v68_status
f102v2	f102v2.3	P	A	1	1	oror	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Zwei Portionen.	share	Zwei Portionen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Zwei Portionen.	0	NONE	NONE	NONE	NONE	2	15	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	QUANTITY_STATE_REGISTER	Zwei Portionen.	1	0	1	NONE	1	NONE	1	1	0	0	0	0	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f104v	f104v.2	S	B	3	10	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der Fraktion I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Fraktion II des kalten Ansatzes; eine Maßportion Ansatz.	share	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; Unteranteil I des Anteils I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Anteil II des kalten Ansatzes; eine Maßportion Ansatz.	2	7|9	#7 otarar: erste Unterfraktion der Fraktion I des kalten Ansatzes → Unteranteil I des Anteils I des kalten Ansatzes [H009] || #9 otair: Fraktion II des kalten Ansatzes → Anteil II des kalten Ansatzes [H008]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; Unteranteil I des Anteils I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Anteil II des kalten Ansatzes; eine Maßportion Ansatz.	0	NONE	NONE	NONE	NONE	53	385	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen. Auszug vollständig abkühlen und abziehen. Trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße. Ein Maß nehmen und erhitzen. Unteranteil I des Anteils I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Anteil II des kalten Ansatzes; eine Maßportion Ansatz.	5	3	2	1|2|4	3|5	NONE	1|2|5|6|10	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f105r	f105r.2	S	B	3	13	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Fraktion I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	share	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion des Ansatzes abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Anteil I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	2	6|11	#6 qodor: eine Portion Ansatz abmessen → eine Portion des Ansatzes abmessen [O001] || #11 odar: Fraktion I des Ansatzes abmessen → Anteil I des Ansatzes abmessen [H005]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion des Ansatzes abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Anteil I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	0	NONE	NONE	NONE	NONE	46	399	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend: trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht. Eine Portion des Ansatzes abmessen. Trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes. Anteil I des Ansatzes abmessen. Getrocknete Masse; fertige Zubereitung.	5	2	3	2|4	1|3|5	NONE	5|6|10|11|13	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f105r	f105r.31	S	B	3	13	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	share	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	1	4	#4 ar: Drogenfraktion I → Drogenanteil I [H001]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; Anteil I der erhitzten Holzdroge; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	1	9	#9 lkar: heiße Holzfraktion I → Anteil I der erhitzten Holzdroge [M001; COMPOSED_R_SHARE]	#9 lkar: heißes Drogenholz	NONE	50	448	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I. In drei Bündel abfüllen und schließen. Vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; Anteil I der erhitzten Holzdroge; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	3	1	2	2	1|3	NONE	4|5|13	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f105v	f105v.1	S	B	3	9	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Zweite Pulverfraktion, abgeschlossen; Fraktion II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	share	Zweite Pulverfraktion, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	1	2	#2 oair: Fraktion II des Ansatzes → Anteil II des Ansatzes [H004]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Pulveranteil II, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; abgemessener Ansatzanteil II, fertiggestellt; hieraus Pulver bis zur Mittelstufe trocknen; Samenanteil II, abgeschlossen.	3	1|7|9	#1 polairy: zweite Pulverfraktion, abgeschlossen → Pulveranteil II, abgeschlossen [M002; COMPOSED_AROUND_LEARNED_BODY] || #7 dairody: fertige abgemessene Ansatzfraktion II → abgemessener Ansatzanteil II, fertiggestellt [M003; COMPOSED_R_SHARE] || #9 sairy: zweite Samenfraktion, abgeschlossen → Samenanteil II, abgeschlossen [M004; COMPOSED_R_SHARE]	#1 polairy: Pulveranteil II abschließen || #7 dairody: Anteil II abmessen und als Ansatz fertigstellen || #9 sairy: abgeschlossener Samenposten II	NONE	39	329	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Pulveranteil II, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II. Erhitze hiervon auf Stufe III. Fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; abgemessener Ansatzanteil II, fertiggestellt. Hieraus Pulver bis zur Mittelstufe trocknen. Samenanteil II, abgeschlossen.	5	2	3	2|4	1|3|5	NONE	3|4|7|8|9	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f105v	f105v.14	S	B	3	10	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	ACTION_SEQUENCE	ARBEITSGANG	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die heiße Drogenfraktion III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Fraktion I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	share	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm den heißen Drogenanteil III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Anteil I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	2	3|8	#3 qokaiir: nimm die heiße Drogenfraktion III → nimm den heißen Drogenanteil III [H016] || #8 odar: Fraktion I des Ansatzes abmessen → Anteil I des Ansatzes abmessen [H005]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm den heißen Drogenanteil III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Anteil I des Ansatzes abmessen; erhitzter Drogenanteil I, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	1	9	#9 kard: erste erhitzte Drogenfraktion, abgezogen → erhitzter Drogenanteil I, abgezogen [M005; COMPOSED_R_SHARE]	#9 kard: abgezogener heißer Drogenauszug I	NONE	40	342	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	PROCEDURE_WITH_NOMINAL_CHECKPOINTS	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht. Nimm den heißen Drogenanteil III. Fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II. Anteil I des Ansatzes abmessen. Erhitzter Drogenanteil I, abgezogen. Droge kalt trocknen und leicht nachtrocknen.	6	3	3	2|4|6	1|3|5	NONE	2|3|7|8|9|10	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f106r	f106r.23	S	B	3	10	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	share	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessener Anteil II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessener Anteil I; eine Portion des Drogenanteils I.	3	3|9|10	#3 dair: abgemessene Fraktion II → abgemessener Anteil II [C008] || #9 dar: abgemessene Fraktion I → abgemessener Anteil I [C007] || #10 aror: eine Portion der ersten Drogenfraktion → eine Portion des Drogenanteils I [C010]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessener Anteil II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessener Anteil I; eine Portion des Drogenanteils I.	0	NONE	NONE	NONE	NONE	46	378	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Bis zur Mittelstufe getrocknet und abgeschlossen. Das Arzneikompositum bis zur Mittelstufe aufbereiten. Abgemessener Anteil II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessener Anteil I; eine Portion des Drogenanteils I.	3	1	2	2	1|3	NONE	1|2|10	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f107r	f107r.2	S	B	3	13	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	ACTION_SEQUENCE	ARBEITSGANG	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	share	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	0	NONE	NONE	NONE	NONE	58	462	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	PROCEDURE_WITH_NOMINAL_CHECKPOINTS	Eine abgemessene Portion bis zur Mittelstufe trocknen. Eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen. Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug. Nimm eine Drogenportion. Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades. Die vorstehende Behandlung bis zur letzten Stufe führen und abschließen. Holzportion.	7	4	3	1|2|4|6	3|5|7	NONE	1|2|5|6|11|12|13	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f107r	f107r.40	S	B	3	10	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	NOMINAL_REGISTER	ZUSTANDSLISTE	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Fraktion I des heißen Holzansatzes; Fraktion II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	share	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Anteil I des heißen Holzansatzes; Anteil II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	2	7|8	#7 olkar: Fraktion I des heißen Holzansatzes → Anteil I des heißen Holzansatzes [H011] || #8 otair: Fraktion II des kalten Ansatzes → Anteil II des kalten Ansatzes [H008]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Anteil I des heißen Holzansatzes; Anteil II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	0	NONE	NONE	NONE	NONE	47	315	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	NOMINAL_REGISTER	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Anteil I des heißen Holzansatzes; Anteil II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	1	0	1	NONE	1	NONE	10	1	0	0	0	0	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
f10r	f10r.2	H	A	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	share	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; trockener Drogenanteil I; trocken-kalt am Gradanfang; Ansatzcharge; trockener Drogenanteil II; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	2	3|6	#3 char: Trockenfraktion I → trockener Drogenanteil I [M006; COMPOSED_R_SHARE] || #6 chair: zweite Trockenfraktion → trockener Drogenanteil II [M007; COMPOSED_R_SHARE]	#3 char: Anteil I des Trockenguts || #6 chair: Anteil II des Trockenguts	NONE	40	344	ZERO_FRAKTION_EXACT_CARD_READER__NO_FREE_SUBSTRING_EXPORT	HYBRID_LIST_WITH_ACTION_ISLANDS	Eine abgemessene Portion bis zur Mittelstufe trocknen. Eine Portion Krautansatz; trockener Drogenanteil I; trocken-kalt am Gradanfang; Ansatzcharge; trockener Drogenanteil II; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	2	1	1	1	2	NONE	1|10	1	0	0	0	1	PUNCTUATION_ONLY_CLAUSE_REALIZATION__V67_WORDS_AND_SPANS_FROZEN
