edge_id	component_id	locus	support_tier	relation_class	edge_node_ordinals	target_action_ordinal	component_edge_count	component_topology	shared_edge_node_ordinals	origin	v74_change	status
C001	M002	f105v.1	A_STRONG_LICENSED	WRITTEN_MATERIAL_OBJECT	3|4	4	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C002	M003	f113v.17	A_STRONG_LICENSED	PORTION_SUBSET_CARRY	6|7	7	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C003	M004	f75r.3	A_STRONG_LICENSED	EXPLICIT_PRECEDING_PORTION	3|4	4	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C004	M006	f80v.35	A_STRONG_LICENSED	WRITTEN_DESTINATION_REFERENCE	3|4|5	5	2	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	3	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C005	M005	f77r.38	A_STRONG_LICENSED	LEFT_WRITTEN_OBJECT	5|6	6	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C006	M007	f86v6.25	A_MINUS_EXPLICIT_OUTPUT	MEASURED_SHARE_OUTPUT_CARRY	4|5	5	2	SERIAL_ACTION_OUTPUT_CHAIN	4	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C007	M007	f86v6.25	B_WORKING_LOCAL	OUTPUT_LABEL_PLUS_SOURCE_TO_MEASURE	2|3|4	4	2	SERIAL_ACTION_OUTPUT_CHAIN	4	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C008	M006	f80v.35	B_WORKING_LOCAL	REPEATED_QOL_DESTINATION_CARRY	3|6	6	2	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	3	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C009	M001	f104v.2	B_WORKING_LOCAL	MEASURE_SUBSET_CARRY	4|5|6	6	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C010	M008	f86v5.24	B_WORKING_LOCAL	YKA_DEGREE_SISTER_TYPED_MATERIAL_CARRY	1|3	3	1	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	NONE	GDT699_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
C011	M009	f26r.2	B_WORKING_LOCAL	ACTION_OUTPUT_ACROSS_ONE_STATE_CHECKPOINT	4|6	6	1	SINGLE_EDGE_ACROSS_EXACT_STATE_CHECKPOINT	NONE	GDT700_INHERITED	NONE	PASS_V74_11_EDGES__9_CONNECTED_COMPONENTS__23_EDGE_NODES_2_HULL_ONLY_1_STRUCTURAL__ZERO_EDGE_WORD_DELTA
