gdt749_census_id	target_surface	target_class	prior_role_axes	discovery_occurrences_excluded	outside_occurrences_all_readings	outside_occurrences_reader_exact	outside_pages_reader_exact	outside_sections	outside_line_positions	immediate_known_axis_counts	outside_positions_with_any_prior_axis_immediate	outside_positions_with_any_same_dimension_rival_immediate	outside_prior_only_positions	outside_rival_only_positions	outside_both_polarities_positions	outside_neither_polarity_positions	reference_prior_only_positions	reference_rival_only_positions	reference_both_polarities_positions	reference_neither_polarity_positions	outside_prior_share_excluding_conflicts	reference_prior_share_excluding_conflicts	local_prior_share_delta_over_reference	top5_reference_surfaces	top5_reference_axis_counts	top5_reference_consensus_axes	prior_axes_in_top5_consensus	rival_axes_in_top5_consensus	prior_axis_enrichment_summary	rival_axis_enrichment_summary	best_all_prior_axes_reference	best_all_prior_axes_reference_rank	best_all_prior_axes_similarity	raw_distribution_status	known_calibration_precision	known_calibration_recall	outside_role_status	working_decision_de	literal_identity	confirmed_lexeme	component_export_credit	unseen_form_export
G749-C01	chdy	GDT748_RECURRENT_S2_S3_ROLE	DRY	2	131	88	46	B:8|C:2|H:35|P:1|S:33|T:9	LAST:11|MIDDLE:77	HOT:12|COLD:5|DRY:7|MOIST:1|BEGIN_STAGE:3|MIDDLE_STAGE:6|END_STAGE:3|LEVEL_II:1|LEVEL_III:3|AMOUNT:6|PART:4|MATERIAL:10|PREPARATION:6|PROCESS:4|CLOSE:1	7	1	7	1	0	80	123	37	1	997	0.875000	0.768750	0.106250	chckhy|cheey|sheol|okeedy|chal	HOT:1|DRY:3|MOIST:1|BEGIN_STAGE:2|END_STAGE:2|MATERIAL:2|PREPARATION:2|CLOSE:1	DRY	DRY	NONE	DRY:top3/base2.72/x1.10/rank1	MOIST:top1/base0.54/x1.84/rank3	chckhy	1	0.836595	X2_IMMEDIATE_OUTSIDE_CONTEXT_REINFORCES_ROLE	0.353846	0.277108	K2_LOCAL_AXIS_COMPATIBILITY_LEAD	Die Vorrolle bleibt der beste Arbeitswert und erhält schwache, grundratenbereinigte Außenkompatibilität; keine Bestätigung als Wort.	OPEN	0	0	0
G749-C02	cheey	GDT748_RECURRENT_S2_S3_ROLE	DRY	2	156	135	59	B:36|C:1|H:16|P:8|S:69|T:5	FIRST:2|LAST:5|MIDDLE:128	HOT:14|COLD:5|DRY:13|MOIST:1|BEGIN_STAGE:1|MIDDLE_STAGE:8|END_STAGE:6|LEVEL_II:3|LEVEL_III:2|AMOUNT:11|PART:7|MATERIAL:14|PREPARATION:14|PROCESS:4|PASS:1|CLOSE:2	13	1	13	1	0	121	123	37	1	997	0.928571	0.768750	0.159821	sheol|chckhy|cheedy|okeedy|sheedy	HOT:1|DRY:2|MOIST:2|BEGIN_STAGE:1|END_STAGE:3|MATERIAL:1|PREPARATION:2|CLOSE:2	END_STAGE	NONE	NONE	DRY:top2/base2.67/x0.75/rank2	MOIST:top2/base0.56/x3.60/rank1	chckhy	2	0.824435	X2_IMMEDIATE_OUTSIDE_CONTEXT_REINFORCES_ROLE	0.353846	0.277108	K2_LOCAL_AXIS_COMPATIBILITY_LEAD	Die Vorrolle bleibt der beste Arbeitswert und erhält schwache, grundratenbereinigte Außenkompatibilität; keine Bestätigung als Wort.	OPEN	0	0	0
G749-C03	cheky	GDT748_RECURRENT_S2_S3_ROLE	MIDDLE_STAGE	2	53	48	39	B:8|H:23|P:2|S:13|T:2	LAST:5|MIDDLE:43	HOT:10|COLD:3|DRY:5|MOIST:2|BEGIN_STAGE:3|MIDDLE_STAGE:2|END_STAGE:6|LEVEL_II:2|AMOUNT:3|PART:5|MATERIAL:6|PREPARATION:8|PROCESS:3|PASS:1|CLOSE:4	2	8	1	7	1	39	69	113	17	959	0.125000	0.379121	-0.254121	chckhy|sheol|cheey|chty|chol	COLD:1|DRY:4|MOIST:1|BEGIN_STAGE:2|END_STAGE:1|MATERIAL:1|PREPARATION:1	DRY	NONE	NONE	MIDDLE_STAGE:top0/base1.20/x0.00/rank12	BEGIN_STAGE:top2/base0.54/x3.68/rank1|END_STAGE:top1/base2.07/x0.48/rank3	oteol	12	0.755817	X0_OUTSIDE_DISTRIBUTION_FAVORS_RIVAL	0.353846	0.277108	K1_OUTSIDE_RIVAL_LEAD_NOT_REJECTION	Die GDT748-Vorrolle bleibt als Möglichkeit stehen, erhält aber einen stärkeren Außenrivalen und wird nicht mehr als Standard gesprochen.	OPEN	0	0	0
G749-C04	cheol	GDT748_RECURRENT_S2_S3_ROLE	DRY	4	138	114	64	B:21|H:24|P:19|S:46|T:4	FIRST:5|LAST:4|MIDDLE:105	HOT:20|COLD:4|DRY:10|MOIST:3|BEGIN_STAGE:2|MIDDLE_STAGE:7|END_STAGE:14|LEVEL_III:1|AMOUNT:9|PART:3|MATERIAL:13|PREPARATION:12|PROCESS:9|CLOSE:7	10	3	10	3	0	101	123	37	1	997	0.769231	0.768750	0.000481	cheey|sheol|chckhy|chol|cheedy	DRY:4|MOIST:1|BEGIN_STAGE:1|END_STAGE:2|MATERIAL:1|PREPARATION:1|CLOSE:1	DRY	DRY	NONE	DRY:top4/base2.72/x1.47/rank1	MOIST:top1/base0.54/x1.84/rank2	cheey	1	0.835870	X3_OUTSIDE_DISTRIBUTION_REINFORCES_ROLE	0.353846	0.277108	K1_WEAK_LOCAL_COMPATIBILITY	Die vorhandene schwache Ganzwortkarte wird nach Außenstatus beibehalten, verengt oder als gemischt markiert; keine neue Stoffidentität.	OPEN	0	0	0
G749-C05	kchdy	GDT748_RECURRENT_S2_S3_ROLE	HOT	3	14	10	10	H:8|S:1|T:1	FIRST:1|LAST:1|MIDDLE:8	COLD:1|DRY:1|MOIST:1|BEGIN_STAGE:1|END_STAGE:1|CLOSE:1	0	1	0	1	0	9	166	87	1	904	0.000000	0.656126	-0.656126	chty|chol|chckhy|oteol|qotchey	COLD:3|DRY:4|BEGIN_STAGE:2|MIDDLE_STAGE:2|MATERIAL:1|PREPARATION:2|PROCESS:1	COLD|DRY	NONE	COLD	HOT:top0/base1.09/x0.00/rank9	COLD:top3/base0.87/x3.45/rank1	qokchey	9	0.686159	X0_OUTSIDE_DISTRIBUTION_FAVORS_RIVAL	0.353846	0.277108	K1_SPARSE_COLD_DRY_RIVAL	Die vorhandene schwache Ganzwortkarte wird nach Außenstatus beibehalten, verengt oder als gemischt markiert; keine neue Stoffidentität.	OPEN	0	0	0
G749-C06	lkeey	GDT748_RECURRENT_S2_S3_ROLE	HOT	2	36	32	19	B:2|H:2|S:28	FIRST:1|LAST:1|MIDDLE:30	HOT:4|COLD:4|DRY:4|MOIST:1|BEGIN_STAGE:1|MIDDLE_STAGE:6|END_STAGE:5|LEVEL_II:1|MATERIAL:3|PREPARATION:4|PROCESS:2|PASS:1|CLOSE:1	4	4	4	4	0	24	166	87	1	904	0.500000	0.656126	-0.156126	okeedy|cheey|chedar|chal|qokchey	HOT:2|DRY:4|BEGIN_STAGE:1|MIDDLE_STAGE:2|END_STAGE:2|PART:1|MATERIAL:1|PREPARATION:1|CLOSE:1	DRY	NONE	NONE	HOT:top2/base1.09/x1.84/rank1	COLD:top0/base0.87/x0.00/rank12	okeedy	1	0.794215	X3_OUTSIDE_DISTRIBUTION_REINFORCES_ROLE	0.353846	0.277108	K1_OPEN_OR_BASELINE_LIKE	Die alte Stoffidentität bleibt gestrichen; nur die getestete Achsenrolle darf je nach Außenstatus weitergeführt werden.	OPEN	0	0	0
G749-C07	okal	GDT748_RECURRENT_S2_S3_ROLE	HOT	4	119	99	59	B:16|H:33|P:1|S:44|T:5	FIRST:1|LAST:10|MIDDLE:87|SINGLE:1	HOT:11|COLD:4|DRY:2|MOIST:1|BEGIN_STAGE:1|MIDDLE_STAGE:4|END_STAGE:4|LEVEL_II:1|LEVEL_III:4|AMOUNT:4|PART:6|MATERIAL:10|PREPARATION:11|PROCESS:1|CLOSE:2	11	4	11	4	0	84	166	87	1	904	0.733333	0.656126	0.077207	chckhy|cheey|chal|okeedy|sheol	HOT:1|DRY:3|MOIST:1|BEGIN_STAGE:2|END_STAGE:2|MATERIAL:2|PREPARATION:2|CLOSE:1	DRY	NONE	NONE	HOT:top1/base1.09/x0.92/rank4	COLD:top0/base0.87/x0.00/rank9	okeedy	4	0.805563	X2_IMMEDIATE_OUTSIDE_CONTEXT_REINFORCES_ROLE	0.353846	0.277108	K1_WEAK_LOCAL_COMPATIBILITY	Die vorhandene schwache Ganzwortkarte wird nach Außenstatus beibehalten, verengt oder als gemischt markiert; keine neue Stoffidentität.	OPEN	0	0	0
G749-C08	okechy	GDT748_RECURRENT_S2_S3_ROLE	HOT	2	2	2	2	P:1|S:1	MIDDLE:1|SINGLE:1	NONE	0	0	0	0	0	2	166	87	1	904	0.000000	0.656126	-0.656126	otaly|oteol|otaldy|qokeeody|sheeo	HOT:1|COLD:2|MIDDLE_STAGE:1|END_STAGE:3|MATERIAL:3|PREPARATION:5|PROCESS:1|CLOSE:1	END_STAGE|MATERIAL|PREPARATION	NONE	NONE	HOT:top1/base1.09/x0.92/rank4	COLD:top2/base0.87/x2.30/rank2	qokeeody	4	0.631979	X1_TWO_POSITION_OUTSIDE_CHECK_OPEN	0.353846	0.277108	K1_SPARSE_OUTSIDE_OPEN_WITH_COLD_END_RIVAL	HOT bleibt explorativer Serienlead, wird außen aber nicht reproduziert; COLD und END_STAGE kommen als neue Verteilungsrivalen hinzu.	OPEN	0	0	0
G749-C09	okedy	GDT748_RECURRENT_S2_S3_ROLE	HOT	5	82	43	25	B:11|H:8|S:19|T:5	LAST:2|MIDDLE:41	HOT:9|COLD:4|DRY:2|MOIST:2|BEGIN_STAGE:4|MIDDLE_STAGE:7|END_STAGE:4|PART:1|MATERIAL:7|PREPARATION:7|PROCESS:4|CLOSE:1	9	4	8	3	1	31	166	87	1	904	0.727273	0.656126	0.071146	okeedy|chckhy|sheol|cheedy|cheey	HOT:1|DRY:3|MOIST:1|BEGIN_STAGE:1|END_STAGE:3|MATERIAL:1|PREPARATION:2|CLOSE:2	DRY|END_STAGE	NONE	NONE	HOT:top1/base1.09/x0.92/rank1	COLD:top0/base0.87/x0.00/rank12	okeedy	1	0.824303	X2_IMMEDIATE_OUTSIDE_CONTEXT_REINFORCES_ROLE	0.353846	0.277108	K1_WEAK_LOCAL_COMPATIBILITY	Die vorhandene schwache Ganzwortkarte wird nach Außenstatus beibehalten, verengt oder als gemischt markiert; keine neue Stoffidentität.	OPEN	0	0	0
G749-C10	okeey	GDT748_RECURRENT_S2_S3_ROLE	HOT	4	134	113	43	B:13|H:11|P:7|S:80|T:2	FIRST:11|LAST:3|MIDDLE:99	HOT:22|COLD:6|DRY:8|MOIST:1|BEGIN_STAGE:2|MIDDLE_STAGE:5|END_STAGE:19|LEVEL_II:2|LEVEL_III:3|AMOUNT:3|PART:3|MATERIAL:6|PREPARATION:11|PROCESS:4|CLOSE:2	22	6	22	6	0	85	166	87	1	904	0.785714	0.656126	0.129588	cheey|okeedy|ykeey|sheol|chckhy	HOT:2|DRY:2|MOIST:1|BEGIN_STAGE:1|END_STAGE:3|MATERIAL:1|PREPARATION:2|PROCESS:1|CLOSE:1	END_STAGE	NONE	NONE	HOT:top2/base1.09/x1.84/rank2	COLD:top0/base0.87/x0.00/rank14	okeedy	2	0.818200	X3_OUTSIDE_DISTRIBUTION_REINFORCES_ROLE	0.353846	0.277108	K2_LOCAL_AXIS_COMPATIBILITY_LEAD	Die Vorrolle bleibt der beste Arbeitswert und erhält schwache, grundratenbereinigte Außenkompatibilität; keine Bestätigung als Wort.	OPEN	0	0	0
