gdt750_calibration_occurrence_id	known_surface	page	locus	token_ordinal	true_quality_stage_axes	V0_DIRECT_RAW_R1_predicted_axes	V0_DIRECT_RAW_R1_hit_axes	V0_DIRECT_RAW_R1_false_axes	V0_DIRECT_RAW_R1_selected_ring	V1_DIRECT_NO_CLOSE_R1_predicted_axes	V1_DIRECT_NO_CLOSE_R1_hit_axes	V1_DIRECT_NO_CLOSE_R1_false_axes	V1_DIRECT_NO_CLOSE_R1_selected_ring	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_predicted_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_hit_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_false_axes	V2_D1_MULTI_FORM_R1_NO_CLOSE_ACTIVE_selected_ring	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_predicted_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_hit_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_false_axes	V3_D1_MULTI_FORM_R2_NO_CLOSE_DISCOVERY_selected_ring	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_predicted_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_hit_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_false_axes	V4_D2_MULTI_FORM_R1_NO_CLOSE_SENSITIVITY_selected_ring	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_predicted_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_hit_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_false_axes	V5_D2_MULTI_FORM_R2_NO_CLOSE_SENSITIVITY_selected_ring	literal_identity_credit	confirmed_lexeme	component_export_credit
G750-K0001	chol	f100r	f100r.15	5	DRY	END_STAGE	NONE	END_STAGE	1	END_STAGE	NONE	END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0002	qokeeody	f100r	f100r.15	6	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0003	oteol	f100r	f100r.20	1	COLD|MIDDLE_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0004	chol	f100r	f100r.23	2	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0005	chol	f100r	f100r.23	8	DRY	MOIST	NONE	MOIST	1	MOIST	NONE	MOIST	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	1	NONE	NONE	NONE	1	0	0	0
G750-K0006	chol	f100r	f100r.25	3	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	2	0	0	0
G750-K0007	chol	f100r	f100r.26	3	DRY	DRY|END_STAGE	DRY	END_STAGE	1	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0008	okeeol	f100r	f100r.26	8	HOT|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
G750-K0009	chol	f100r	f100r.27	1	DRY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	NONE	NONE	NONE	NONE	DRY	DRY	NONE	2	0	0	0
G750-K0010	cheey	f100v	f100v.15	2	DRY|END_STAGE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0
