surface	selection_gate	global_reader_exact_occurrences	reader_exact_line_initial_occurrences	global_line_initial_purity	paragraph_initial_occurrences	paragraph_initial_rate	paragraph_final_occurrences	paragraph_final_rate	mean_paragraph_line_index	section_counts	section_count	dominant_section_share	herbal_share	content_lines	amount_or_level_lines	process_lines	quality_or_stage_lines	recipe_triad_lines	recipe_triad_rate	recipe_triad_rate_rank	primary_role_id	primary_historical_expression	working_candidate_de	primary_fit_score_0_100	alternate_1_de	alternate_1_role_id	alternate_2_de	alternate_2_role_id	fit_gap_to_second	working_confidence	evidence	counterevidence	exact_whole_only	eva_spelling_used	component_export_credit	confirmed_lexeme
pchor	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	10	7	0.700000	6	0.857143	0	0.000000	1.142857	B:1|H:4|S:1|T:1	4	0.571429	0.571429	4	4	3	4	3	0.428571	1	RECIPE_OPENING	Recipe / Accipe / Take	nimm	72.714286	Zubereitung / Rezept	ENTRY_HEADING	für / gegen	INDICATION_OPENING	0.785715	C1_PLACEMENT_CONSTRAINED	6/7 initial occurrences open a paragraph and 3/7 carry the full recipe-body triad; top triad-rate initial whole.	Paragraph opening can also be an indication or entry heading; three global occurrences are not line-initial.	1	0	0	0
ychor	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	13	13	1.000000	0	0.000000	3	0.230769	6.846154	H:9|P:2|S:1|T:1	4	0.692308	0.692308	9	6	4	6	4	0.307692	4	ITEM_CONTINUATION	Item	ferner / ebenso	72.307692	ferner: nimm	ITEM_PLUS_COMMAND	nimm	RECIPE_OPENING	3.000000	C2_GEOMETRY_STRONG_EXPLORATORY	13/13 exact occurrences are line-initial, 0/13 paragraph-initial, with 4/13 full recipe triads.	Three paragraph-final cases and mixed descriptive bodies leave a process or Item-take rival.	1	0	0	0
polaiin	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	8	7	0.875000	7	1.000000	0	0.000000	1.000000	B:1|P:1|S:5	3	0.714286	0.000000	5	3	4	5	2	0.285714	5	ENTRY_HEADING	Preparatio / recipe heading	Zubereitung / Rezept	86.696429	nimm	RECIPE_OPENING	für / gegen	INDICATION_OPENING	17.946429	C2_GEOMETRY_STRONG_EXPLORATORY	7/7 initial occurrences open a paragraph; five are in section S and the bodies mix content, process and quality.	Could instead be a section-specific indication or command; no noun is identified.	1	0	0	0
pol	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	13	11	0.846154	7	0.636364	2	0.181818	2.363636	B:6|H:1|S:3|T:1	4	0.545455	0.090909	7	4	4	9	3	0.272727	6	ENTRY_HEADING	Preparatio / entry	Zubereitung / Eintrag	67.237762	für / gegen	INDICATION_OPENING	nimm	RECIPE_OPENING	14.230769	C1_PLACEMENT_CONSTRAINED	7/11 initial occurrences open paragraphs, with six Biology and three Stars lines and 9/11 quality bodies.	Four internal lines and two paragraph-final lines show that the role is not a pure heading.	1	0	0	0
ycheol	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	8	8	1.000000	0	0.000000	2	0.250000	3.750000	B:1|H:2|P:1|S:4	4	0.500000	0.250000	4	3	2	5	2	0.250000	8	PROCESS_CONTINUATION	deinde	danach	73.750000	ferner	ITEM_CONTINUATION	zum Schluss	CLOSURE_FORMULA	5.000000	C2_GEOMETRY_STRONG_EXPLORATORY	8/8 occurrences are line-initial, 0/8 paragraph-initial and only 2/8 paragraph-final; bodies often carry quality.	Only 2/8 bodies have an independent process slot; Item remains possible.	1	0	0	0
ychol	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	9	8	0.888889	0	0.000000	3	0.375000	6.125000	H:6|P:1|S:1	3	0.750000	0.750000	5	4	2	5	2	0.250000	9	PROCESS_CONTINUATION	deinde	danach / als Nächstes	72.083333	ferner	ITEM_CONTINUATION	zum Schluss	CLOSURE_FORMULA	3.125000	C2_GEOMETRY_STRONG_EXPLORATORY	8/8 initial uses are internal, 3/8 paragraph-final, and quality/content dominate the following body.	Only 2/8 bodies have a process axis and Item is nearly as plausible.	1	0	0	0
dcheol	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	7	5	0.714286	0	0.000000	1	0.200000	6.000000	B:2|S:3	2	0.600000	0.000000	4	2	1	5	1	0.200000	14	PROCESS_CONTINUATION	deinde	danach / darauf	75.714286	ferner	ITEM_CONTINUATION	bewahre anschließend auf	CLOSURE_FORMULA	10.000000	C1_PLACEMENT_CONSTRAINED	5/5 initial uses are paragraph-internal, only one is final, and all five carry quality/state bodies.	Only one body has an independent process slot.	1	0	0	0
paiin	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	6	5	0.833333	2	0.400000	1	0.200000	5.200000	H:3|S:1|T:1	3	0.600000	0.600000	2	1	1	4	1	0.200000	17	QUANTITY_HEADING	ii partes / drachma i	drei Teile / dritte Menge	48.500000	ferner	ITEM_CONTINUATION	nimm	RECIPE_OPENING	1.000000	C0_FORCED_EXPLORATORY	The exact whole is highly line-edge biased and its initial bodies are quality-heavy with a weak amount/triad trace.	Only 1/5 initial bodies has an independent amount axis; the value three is a replaceable whole-form guess.	1	0	0	0
qokchor	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	7	5	0.714286	0	0.000000	0	0.000000	3.400000	H:5	1	1.000000	1.000000	5	2	1	4	1	0.200000	19	ADDITION_COMMAND	misce	mische hinein	84.714286	ferner	ITEM_CONTINUATION	nimm	RECIPE_OPENING	18.000000	C1_PLACEMENT_CONSTRAINED	5/5 initial uses are internal Herbal lines and all five bodies contain content while four contain quality.	Only one body has an independent process axis; Item or take remains possible.	1	0	0	0
tshol	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	6	5	0.833333	4	0.800000	0	0.000000	1.400000	H:5	1	1.000000	1.000000	2	3	2	3	1	0.200000	22	INDICATION_OPENING	For / Ad / Contra	für / gegen	78.333333	Heilmittel / Eintrag	ENTRY_HEADING	nimm	RECIPE_OPENING	2.833333	C2_GEOMETRY_STRONG_EXPLORATORY	4/5 initial uses open paragraphs and all five are Herbal, the clearest purpose-heading ecology in the target set.	No independent disease or patient field proves an indication rather than a plant headword.	1	0	0	0
ycheor	TRIAD_RATE_GE_0.20__INITIAL_PURITY_GE_0.70__MIN5_INITIAL	6	5	0.833333	1	0.200000	3	0.600000	5.800000	H:5	1	1.000000	1.000000	4	3	1	2	1	0.200000	23	CLOSURE_FORMULA	custodiatur / preservari	zum Schluss	66.500000	ferner	ITEM_CONTINUATION	danach	PROCESS_CONTINUATION	5.000000	C2_GEOMETRY_STRONG_EXPLORATORY	3/5 initial uses end their paragraph, the strongest final rate among the eleven targets; only one opens a paragraph.	Two lines continue, and preservation itself is not independently selected.	1	0	0	0
