shared_frame_id	pair_role	dry_target	moist_target	neighbor_side	neighbor_distance	shared_neighbor_surface	dry_target_contacts	moist_target_contacts	pages	dry_loci	moist_loci	intervening_surface_counts	interpretation	exact_composition_license	component_export_credit
G761-DF01	MATERIAL_PART	cheor	sheor	L	1	chor	1	1	2	f102v1.14	f49r.5	NONE	SAME_REPRODUCTIVE_PART_CARRIER	1	0
G761-DF02	MATERIAL_PART	cheor	sheor	L	1	okain	1	1	2	f107v.39	f80v.36	NONE	SAME_OUTER_WHOLE_FRAME	0	0
G761-DF03	MATERIAL_PART	cheor	sheor	L	1	oraiin	1	1	2	f113v.40	f107v.26	NONE	SAME_AMOUNT_OR_VALUE_FRAME	0	0
G761-DF04	MATERIAL_PART	cheor	sheor	R	1	aiin	2	1	3	f107r.46|f39v.4	f76v.6	NONE	SAME_AMOUNT_OR_VALUE_FRAME	0	0
G761-DF05	MATERIAL_PART	cheor	sheor	R	1	chey	3	2	4	f30r.11|f30r.11|f82r.33	f49r.5|f76v.9	NONE	SAME_OUTER_WHOLE_FRAME	0	0
G761-DF06	MATERIAL_PART	cheor	sheor	R	1	ol	2	1	3	f100v.20|f88r.22	f78v.12	NONE	SAME_OUTER_WHOLE_FRAME	0	0
G761-DF07	MATERIAL_PART	cheor	sheor	R	1	sheedy	1	1	2	f76v.11	f88v.24	NONE	SAME_OUTER_WHOLE_FRAME	0	0
G761-DF08	MATERIAL_PART	cheor	sheor	R	1	sheey	1	1	2	f82r.22	f108v.37	NONE	SAME_OUTER_WHOLE_FRAME	0	0
G761-DF09	PREPARATION	cheo	sheo	L	1	daiin	1	1	2	f41r.9	f10v.1	NONE	SAME_AMOUNT_OR_VALUE_FRAME	0	0
G761-DF10	PREPARATION	cheo	sheo	R	1	al	1	1	2	f41r.9	f93r.11	NONE	SAME_MATERIAL_I_CARRIER_FRAME	0	0
