candidate_id	candidate_layer	historical_expression	working_noun_de	gate_all_r3	gate_any_r3	forbid_line	preferred_channels	repeat_required	identity_specificity	source_ids	attested_forms	attestation_scope	legacy_tiebreak_allowed	component_credit
S00	SUBSTANCE	nomen medicaminis	benannte Arzneidroge	NONE	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	0	GENERIC_CLASS	HS02|HS05	Aloe est una de medicinis; medicina simplex	LEARNED_WHOLE_ARCHITECTURE	0	0
S01	SUBSTANCE	flos vel flores	Blütendroge	CHOR_REPRO	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_PLANT_PART	HS01	De floribus	DIRECT_PERIOD_RUBRIC_CLASS	1	0
S02	SUBSTANCE	semen	Samendroge	CHOR_REPRO	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_PLANT_PART	HS01|HS03	De seminibus; Accipe semen	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
S03	SUBSTANCE	radix	Wurzeldroge	ROOT_IDENTITY	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_PLANT_PART	HS01|HS02	De radicibus; Eleborus radix	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
S04	SUBSTANCE	folia vel frondes	Blattdroge	CTHY_LEAF	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_PLANT_PART	HS01|HS04	De foliis; Accipe folia	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
S05	SUBSTANCE	lignum vel cortex	Holz- oder Rindendroge	WOOD_BARK_IDENTITY	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_PLANT_PART	HS01|HS02	De lignis; Aloes lignum	DIRECT_PERIOD_EXPRESSION_CLASS_FOR_WOOD	0	0
S06	SUBSTANCE	gummi vel resina	Harz oder Gummi	RESIN_GUM_IDENTITY	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	1	SPECIFIC_MATERIA	HS01|HS03|HS06	De gummis; gummi arabici; ammoniacum	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
S07	SUBSTANCE	sal	Arzneisalz	SALT_IDENTITY	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION	1	SPECIFIC_MATERIA	HS04|HS05	sal; salt	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
F00	FORM	forma medicaminis	Arzneiform offen	NONE	NONE	NONE	BASE_CONTENT|PART_AMOUNT|DRY_RESULT|TERMINAL_RESULT|PREPARATION|MOIST_PREPARATION|EXTRACT|COMPOUND_PREPARATION	0	GENERIC_FORM	HS02|HS05	medicina simplex; medicina composita	PERIOD_ARCHITECTURE	0	0
F01	FORM	materia simplex	Rohdroge	NONE	VALUE_AMOUNT	NONE	BASE_CONTENT|PART_AMOUNT	0	BROAD_FORM	HS02|HS05	medicina simplex	PERIOD_ARCHITECTURE	0	0
F02	FORM	siccum vel desiccatum	getrocknete Droge	DRY	NONE	NONE	DRY_RESULT|TERMINAL_RESULT|BASE_CONTENT|PART_AMOUNT	0	BROAD_FORM	HS02|HS04	siccum; desicatur	DIRECT_PERIOD_STATE_CLASS	0	0
F03	FORM	pulvis	Pulver	DRY|VALUE_AMOUNT|PROCESS_CLOSE	NONE	MOIST	DRY_RESULT|TERMINAL_RESULT|PART_AMOUNT	0	SPECIFIC_PREPARATION_FORM	HS03|HS06	pulvis; pulveris	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
F04	FORM	preparatio vel medicina composita	Zubereitung	NONE	PREP|PROCESS_CLOSE	NONE	PREPARATION|COMPOUND_PREPARATION|BASE_CONTENT|TERMINAL_RESULT	0	BROAD_PREPARATION_FORM	HS02|HS04|HS05	preparatio; medicina composita	DIRECT_PERIOD_REGISTER_CLASS	0	0
F05	FORM	infusum vel extractum humidum	Mazerat oder feuchter Auszug	MOIST	PREP|VALUE_AMOUNT	DRY	MOIST_PREPARATION|EXTRACT|PREPARATION	0	SPECIFIC_PREPARATION_FORM	HS04|HS06	infunde in aceto; aqua with materia	NORMALIZED_PERIOD_PROCESS_PRODUCT_CLASS	0	0
F06	FORM	oleum	Arzneioel	LIQUID	PREP	NONE	EXTRACT|MOIST_PREPARATION|PREPARATION|BASE_CONTENT	0	SPECIFIC_LIQUID	HS04|HS05|HS06	oleum de butero; oleum de nucibus; oleorum	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
F07	FORM	aqua	Arzneiwasser	LIQUID	PREP	NONE	EXTRACT|MOIST_PREPARATION|PREPARATION|BASE_CONTENT	0	SPECIFIC_LIQUID	HS04	aqua vitae	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
F08	FORM	vinum	Kraeuterwein	LIQUID	PREP|VALUE_AMOUNT	NONE	EXTRACT|MOIST_PREPARATION|PREPARATION|BASE_CONTENT	0	SPECIFIC_LIQUID	HS03|HS04	vinum; vino albo; vino rubeo	DIRECT_PERIOD_EXPRESSION_CLASS	0	0
F09	FORM	acetum	Arzneessig	LIQUID	PREP|PROCESS_CLOSE	NONE	EXTRACT|MOIST_PREPARATION|PREPARATION|BASE_CONTENT	0	SPECIFIC_LIQUID	HS06	infunde in aceto fortissimo	DIRECT_NEAR_PERIOD_EXPRESSION	0	0
