candidate_id	target_surface	policy_class	policy_kind	branch_id	branch_priority	branch_condition	structural_tag	renderer_de	required_left_classes	required_right_classes	required_edge_expression	consumes_left_classes	consumes_right_classes	minimum_branch_pages	candidate_scope	opaque_baseline	default_is_translation	eva_latin_credit	substring_export_credit	component_claim_credit	confirmed_lexeme	confirmed_plaintext
OL_NULL	ol	OPAQUE_NULL	NULL	OPAQUE	1	ALWAYS	OPAQUE_TARGET	OPAQUE_NULL	NONE	NONE	NONE	NONE	NONE	0	WHOLE_FORM_OCCURRENCE_ONLY	1	0	0	0	0	0	0
OL_POSITIONAL_RELATOR	ol	LINKER	POSITIONAL	LEFT_AMOUNT_OR_VALUE	1	NEAREST_LEFT_IN(AMOUNT|VALUE)	SOURCE_FIELD_RELATOR	von/aus	AMOUNT|VALUE	FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	LEFT_ONE(AMOUNT|VALUE)&RIGHT_ONE(FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT)	AMOUNT|VALUE	FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OL_POSITIONAL_RELATOR	ol	LINKER	POSITIONAL	OTHER_TWO_SIDED	2	TWO_SIDED&NEAREST_LEFT_NOT_IN(AMOUNT|VALUE)	FIELD_RELATOR	und/mit	FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	LEFT_ONE(FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT)&RIGHT_ONE(AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT)	FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OL_NOMINAL_BASE	ol	NOMINAL	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	PREPARATION_NOMINAL	Ansatz/Basis	NONE	NONE	NONE	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OL_MEASURABLE_PRODUCT_RESULT	ol	RESULT	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	MEASURABLE_PRODUCT_RESULT	messbares Produkt/Resultat	NONE	NONE	ANY_SIDE(AMOUNT|VALUE)&ANY_SIDE(SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT)	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
CKHY_NULL	ckhy	OPAQUE_NULL	NULL	OPAQUE	1	ALWAYS	OPAQUE_TARGET	OPAQUE_NULL	NONE	NONE	NONE	NONE	NONE	0	WHOLE_FORM_OCCURRENCE_ONLY	1	0	0	0	0	0	0
CKHY_POSITIONAL_MIX_DISPATCH	ckhy	OPERATION	POSITIONAL	FINAL_WITH_PATIENT	1	LINE_FINAL&NEAREST_LEFT_IN(PATIENT)	MIX_OPERATION	mischen	PATIENT	NONE	LINE_FINAL&LEFT_ONE(PATIENT)	PATIENT	NONE	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
CKHY_POSITIONAL_MIX_DISPATCH	ckhy	NOMINAL	POSITIONAL	MEDIAL	2	MEDIAL	MIXTURE_NOMINAL	Mischung	NONE	NONE	MEDIAL	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
CKHY_INVARIANT_MIX_OPERATION	ckhy	OPERATION	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	MIX_OPERATION	mischen	NONE	NONE	ANY_SIDE(PATIENT)	PATIENT	PATIENT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
CKHY_INVARIANT_MIXTURE_NOUN	ckhy	NOMINAL	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	MIXTURE_NOMINAL	Mischung	NONE	NONE	NONE	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
CKHY_INFUSION_DECOCTION_NOUN	ckhy	NOMINAL	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	INFUSION_DECOCTION_NOMINAL	Infusion/Dekokt	NONE	NONE	NONE	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_NULL	ols	OPAQUE_NULL	NULL	OPAQUE	1	ALWAYS	OPAQUE_TARGET	OPAQUE_NULL	NONE	NONE	NONE	NONE	NONE	0	WHOLE_FORM_OCCURRENCE_ONLY	1	0	0	0	0	0	0
OLS_POSITIONAL_MEASURE_PRODUCT	ols	MEASURE	POSITIONAL	RIGHT_VALUE	1	NEAREST_RIGHT_IN(VALUE)	MEASURE_DOSE_FIELD	Maß/Dosis	NONE	VALUE	RIGHT_ONE(VALUE)	NONE	VALUE	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_POSITIONAL_MEASURE_PRODUCT	ols	RESULT	POSITIONAL	FINAL_NO_RIGHT_VALUE	2	LINE_FINAL&NEAREST_RIGHT_NOT_IN(VALUE)	END_PORTION	Endportion	NONE	NONE	LINE_FINAL&NOT(RIGHT_ONE(VALUE))	SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	NONE	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_POSITIONAL_MEASURE_PRODUCT	ols	RESULT	POSITIONAL	OTHER_PRODUCT_POST	3	ELSE	PRODUCT_POST	Produktposten	NONE	NONE	NOT(LINE_FINAL)&NOT(RIGHT_ONE(VALUE))	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_NOMINAL_PREPARATION	ols	NOMINAL	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	PREPARATION_NOMINAL	Zubereitung	NONE	NONE	NONE	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_FINISHED_PRODUCT_COLATURA	ols	RESULT	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	FINISHED_PRODUCT_COLATURA	Fertigprodukt/Colatura	NONE	NONE	ANY_SIDE(SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT)	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|SOURCE|PATIENT|PROCESS|MATERIAL|PREPARATION|PRODUCT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OLS_STRAIN_OPERATION	ols	OPERATION	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	STRAIN_OPERATION	abseihen	NONE	NONE	ANY_SIDE(PATIENT)	PATIENT	PATIENT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OTAR_NULL	otar	OPAQUE_NULL	NULL	OPAQUE	1	ALWAYS	OPAQUE_TARGET	OPAQUE_NULL	NONE	NONE	NONE	NONE	NONE	0	WHOLE_FORM_OCCURRENCE_ONLY	1	0	0	0	0	0	0
OTAR_GENERAL_SEQUENCE	otar	LINKER	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	SEQUENCE_LINKER	weiter/dann	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	LEFT_ONE(AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT)&RIGHT_ONE(AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT)	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	AMOUNT|VALUE|FIELD|PATIENT|SOURCE|RESULT|PROCESS|ENDPOINT|MATERIAL|PREPARATION|PRODUCT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OTAR_ENDPOINT_UNTIL	otar	ENDPOINT	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	ENDPOINT_LINKER	bis	PROCESS|FIELD	ENDPOINT	LEFT_ONE(PROCESS|FIELD)&RIGHT_ONE(ENDPOINT)	PROCESS|FIELD	ENDPOINT	2	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
OTAR_NOMINAL_TRANSITION_PREPARATION	otar	NOMINAL	INVARIANT	ALL_OCCURRENCES	1	ALWAYS	TRANSITION_PREPARATION_NOMINAL	Übergangs-/Zubereitungsfeld	NONE	NONE	NONE	AMOUNT|VALUE|RESULT	AMOUNT|VALUE|RESULT	0	WHOLE_FORM_OCCURRENCE_ONLY	0	0	0	0	0	0	0
