edge_id	batch_id	page	physical_folio	diagram_unit_id	pivot_visual_id	pivot_locus	target_visual_id	target_locus	relation_type	direction_basis	ownership_basis	geometry_only_selection	source_manifest_id	page_crop_sha256	pivot_crop_sha256	target_crop_sha256	source_aware_localizer	relation_reviewer	relation_confidence	ambiguity_state	formal_access_state	fold_assignment	eligibility_status
G788-E001	GDT788_SEPARATED_X_DAL_SPANS	f2r	f2	LINE:f2r.11	TOKEN:f2r.11:1	f2r.11@1	TOKEN:f2r.11:2	f2r.11@2	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E002	GDT788_SEPARATED_X_DAL_SPANS	f5v	f5	LINE:f5v.5	TOKEN:f5v.5:5	f5v.5@5	TOKEN:f5v.5:6	f5v.5@6	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E003	GDT788_SEPARATED_X_DAL_SPANS	f6v	f6	LINE:f6v.9	TOKEN:f6v.9:1	f6v.9@1	TOKEN:f6v.9:2	f6v.9@2	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E004	GDT788_SEPARATED_X_DAL_SPANS	f8v	f8	LINE:f8v.12	TOKEN:f8v.12:3	f8v.12@3	TOKEN:f8v.12:4	f8v.12@4	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E005	GDT788_SEPARATED_X_DAL_SPANS	f13v	f13	LINE:f13v.10	TOKEN:f13v.10:5	f13v.10@5	TOKEN:f13v.10:6	f13v.10@6	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E006	GDT788_SEPARATED_X_DAL_SPANS	f16v	f16	LINE:f16v.4	TOKEN:f16v.4:4	f16v.4@4	TOKEN:f16v.4:5	f16v.4@5	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E007	GDT788_SEPARATED_X_DAL_SPANS	f18r	f18	LINE:f18r.6	TOKEN:f18r.6:7	f18r.6@7	TOKEN:f18r.6:8	f18r.6@8	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E008	GDT788_SEPARATED_X_DAL_SPANS	f19r	f19	LINE:f19r.8	TOKEN:f19r.8:3	f19r.8@3	TOKEN:f19r.8:4	f19r.8@4	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E009	GDT788_SEPARATED_X_DAL_SPANS	f21v	f21	LINE:f21v.3	TOKEN:f21v.3:8	f21v.3@8	TOKEN:f21v.3:9	f21v.3@9	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
G788-E010	GDT788_SEPARATED_X_DAL_SPANS	f23r	f23	LINE:f23r.1	TOKEN:f23r.1:11	f23r.1@11	TOKEN:f23r.1:12	f23r.1@12	X_PRECEDES_DAL_SEPARATED	TRANSCRIPTION_ORDER_ONLY	NONVISUAL_TEXT_FIELD_ADJACENCY	FALSE	GDT788	NONE	NONE	NONE	GDT788_RUNNER	GDT788_VALIDATOR	EXPLORATORY	BOUNDARY_C2_SEMANTICS_C0	SEALED_NOT_ACCESSED	NONE	INELIGIBLE_EXPLORATORY_TEXT_RELATION
