surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
aar	1	1	0	1	1	0
acthy	1	0	0	1	1	0
ador	0	1	0	1	1	0
aiidal	1	0	0	1	1	0
aiiin	0	1	0	1	1	0
aiil	1	0	0	1	1	0
aiin	0	1	0	1	1	0
aiinal	1	0	0	1	1	0
aiinchodar	1	1	0	1	1	0
aiir	0	1	1	1	1	0
aiirchar	1	1	0	1	1	0
ail	1	0	0	1	1	0
ain	0	1	0	1	1	0
aindar	1	1	0	1	1	0
air	1	1	0	1	1	0
airal	1	0	0	1	1	0
airoy	0	0	1	1	1	0
akaiin	0	1	0	1	1	0
akain	0	1	0	1	1	0
akair	0	1	0	1	1	0
akal	1	0	0	1	1	0
akar	1	1	0	1	1	0
al	1	0	0	1	1	0
alaiin	0	1	0	1	1	0
alain	0	1	0	1	1	0
alair	0	1	0	1	1	0
alal	1	0	0	1	1	0
alalor	0	1	0	1	1	0
alar	1	1	0	1	1	0
alchar	1	1	0	1	1	0
alchedar	1	1	0	1	1	0
alchor	0	1	0	1	1	0
aldaiin	0	1	0	1	1	0
aldar	1	1	0	1	1	0
aldor	0	1	0	1	1	0
aldy	1	0	0	1	1	0
alkaiin	0	1	0	1	1	0
alkain	0	1	0	1	1	0
alkair	0	1	0	1	1	0
alkal	1	0	0	1	1	0
alkan	0	1	0	1	1	0
alkar	1	1	0	1	1	0
alkeain	0	1	0	1	1	0
alkeeor	0	1	0	1	1	0
aloal	1	0	0	1	1	0
alodar	1	1	0	1	1	0
alol	1	0	0	1	1	0
alolor	0	1	0	1	1	0
alor	0	1	0	1	1	0
alpchdar	1	1	0	1	1	0
alsar	1	1	0	1	1	0
aly	1	0	0	1	1	0
am	1	0	0	1	1	0
aman	0	1	0	1	1	0
an	0	1	0	1	1	0
ar	1	1	1	1	1	0
araiiin	0	1	0	1	1	0
araiin	0	1	0	1	1	0
arain	0	1	0	1	1	0
aral	1	0	0	1	1	0
aralar	1	1	0	1	1	0
aralor	0	1	0	1	1	0
aran	0	1	0	1	1	0
arar	1	1	0	1	1	0
araral	1	0	0	1	1	0
araram	0	0	1	1	1	0
ararchodaiin	0	1	0	1	1	0
