channel	representation_id	source_field	event_count	state_count	states	visual_block_count	state_pure_block_count	block_state_pair_count	local_block_loo_covered	local_block_loo_credit	local_block_loo_accuracy	held_physical_folio_covered	held_physical_folio_key_credit	held_physical_folio_key_accuracy	held_physical_folio_baseline_credit	held_physical_folio_baseline_accuracy	held_physical_folio_gain	held_source_page_covered	held_source_page_key_credit	held_source_page_key_accuracy	visual_null_iterations	visual_null_mean_gain	visual_null_p_gain_ge_observed	decision	semantic_export
ZODIAC_BARREL	BOUNDARY_FAMILY	canonical_boundary_family	77	2	ABSENT|PRESENT	10	10	10	10	10.000000	1.000000	18	4.000000	0.222222	2.000000	0.111111	0.111111	22	10.500000	0.477273	1000	0.111111	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_BARREL	COMPACT_FAMILY	canonical_compact_family	77	2	ABSENT|PRESENT	10	10	10	10	10.000000	1.000000	18	4.000000	0.222222	2.000000	0.111111	0.111111	22	10.500000	0.477273	1000	0.111111	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_BARREL	TRANSFERRED_PREFIX	transferred_prefix	77	2	ABSENT|PRESENT	10	10	10	62	62.000000	1.000000	74	26.000000	0.351351	16.000000	0.216216	0.135135	74	33.500000	0.452703	1000	0.135135	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_BARREL	FORMAL_RESIDUAL	strict_residual	77	2	ABSENT|PRESENT	10	10	10	12	12.000000	1.000000	28	5.000000	0.178571	3.000000	0.107143	0.071429	32	14.000000	0.437500	1000	0.071429	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_CLOTHING	BOUNDARY_FAMILY	canonical_boundary_family	30	3	DRESSED|UNCERTAIN|UNDRESSED	3	0	9	5	1.000000	0.200000	2	0.000000	0.000000	0.000000	0.000000	0.000000	4	2.000000	0.500000	1000	0.092500	0.917083	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_CLOTHING	COMPACT_FAMILY	canonical_compact_family	30	3	DRESSED|UNCERTAIN|UNDRESSED	3	0	9	5	1.000000	0.200000	2	0.000000	0.000000	0.000000	0.000000	0.000000	4	2.000000	0.500000	1000	0.075500	0.893107	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_CLOTHING	TRANSFERRED_PREFIX	transferred_prefix	30	3	DRESSED|UNCERTAIN|UNDRESSED	3	0	9	25	16.000000	0.640000	26	3.000000	0.115385	4.000000	0.153846	-0.038462	26	3.000000	0.115385	1000	0.060801	0.960040	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_CLOTHING	FORMAL_RESIDUAL	strict_residual	30	3	DRESSED|UNCERTAIN|UNDRESSED	3	0	9	6	2.000000	0.333333	2	0.000000	0.000000	0.000000	0.000000	0.000000	4	2.000000	0.500000	1000	0.078000	0.897103	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_FACING	BOUNDARY_FAMILY	canonical_boundary_family	67	2	NON_DIRECTIONAL|PROFILE	7	7	7	10	10.000000	1.000000	8	2.000000	0.250000	5.000000	0.625000	-0.375000	8	2.000000	0.250000	1000	-0.375000	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_FACING	COMPACT_FAMILY	canonical_compact_family	67	2	NON_DIRECTIONAL|PROFILE	7	7	7	11	11.000000	1.000000	8	2.000000	0.250000	5.000000	0.625000	-0.375000	8	2.000000	0.250000	1000	-0.375000	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_FACING	TRANSFERRED_PREFIX	transferred_prefix	67	2	NON_DIRECTIONAL|PROFILE	7	7	7	56	56.000000	1.000000	64	54.000000	0.843750	54.000000	0.843750	0.000000	64	54.000000	0.843750	1000	0.000000	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
ZODIAC_FACING	FORMAL_RESIDUAL	strict_residual	67	2	NON_DIRECTIONAL|PROFILE	7	7	7	12	12.000000	1.000000	16	7.000000	0.437500	11.000000	0.687500	-0.250000	16	7.000000	0.437500	1000	-0.250000	1.000000	BLOCK_CONFOUNDED_OR_NO_GENERAL_STATUS_TRANSFER	NONE
