surface	source_event_count	source_families	external_host_unit_count	external_local_count	external_running_paragraph_count	external_local_domain_counts	external_running_domain_counts	same_domain_local_running_bridges	noncelestial_minimal_bridge	target_surface	semantic_export
ainaly	1	AFABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
alcphy	1	ABTA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
chdaiirdainy	1	KBAGBAFA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
chfaly	1	KPABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
chosar	1	KACAC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
chy	1	KWA	24	3	21	CELESTIAL_ARRAY:3	CELESTIAL_ARRAY:2|FIGURE_STATION_SYSTEM:3|PLANT_DRUG_MATERIAL:12|TEXT_OR_OTHER:4	CELESTIAL_ARRAY	NO	NO	NONE
dolaram	1	BABACAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oalcheg	1	AABKJB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ofaom	1	APARAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ofaralar	1	APACABAC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ofchdamy	1	APKBABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okaircham	1	AQAFKAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okairy	1	AQAFA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okal	2	AQAB	16	2	14	CELESTIAL_ARRAY:1|FIGURE_STATION_SYSTEM:1	CELESTIAL_ARRAY:2|FIGURE_STATION_SYSTEM:6|PLANT_DRUG_MATERIAL:3|TEXT_OR_OTHER:3	CELESTIAL_ARRAY|FIGURE_STATION_SYSTEM	NO	NO	NONE
okala	1	AQABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okalal	1	AQABAB	1	0	1	NONE	CELESTIAL_ARRAY:1	NONE	NO	NO	NONE
okalam	1	AQABAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okalar	1	AQABAC	2	1	1	CELESTIAL_ARRAY:1	CELESTIAL_ARRAY:1	CELESTIAL_ARRAY	NO	NO	NONE
okaldal	1	AQABBAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okaldy	1	AQABBA	2	1	1	FIGURE_STATION_SYSTEM:1	FIGURE_STATION_SYSTEM:1	FIGURE_STATION_SYSTEM	YES	YES	NONE
okaly	2	AQABA	1	0	1	NONE	CELESTIAL_ARRAY:1	NONE	NO	NO	NONE
okam	1	AQAB	2	0	2	NONE	CELESTIAL_ARRAY:1|PLANT_DRUG_MATERIAL:1	NONE	NO	NO	NONE
okaraiin	1	AQACAG	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okaram	2	AQACAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okarcham	1	AQACKAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okeal	1	AQJAB	1	1	0	CELESTIAL_ARRAY:1	NONE	NONE	NO	NO	NONE
okealar	1	AQJABAC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okees	1	AQKC	3	0	3	NONE	CELESTIAL_ARRAY:1|TEXT_OR_OTHER:2	NONE	NO	NO	NONE
okeoly	1	AQJABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oklairdy	1	AQBAFBA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okody	1	AQABA	2	2	0	CELESTIAL_ARRAY:2	NONE	NONE	NO	NO	NONE
okolar	1	AQABAC	1	1	0	CELESTIAL_ARRAY:1	NONE	NONE	NO	NO	NONE
okolshy	1	AQABLA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okoly	1	AQABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
okyd	1	AQAB	1	0	1	NONE	TEXT_OR_OTHER:1	NONE	NO	NO	NONE
okydy	1	AQABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
opysam	1	APACAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
orary	1	ACACA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oshodady	1	ALABABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otaiin	1	AQAG	7	2	5	CELESTIAL_ARRAY:2	CELESTIAL_ARRAY:4|FIGURE_STATION_SYSTEM:1	CELESTIAL_ARRAY	NO	NO	NONE
otainy	1	AQAFA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otakaizan	1	AQAQAEBAE	0	0	0	NONE	NONE	NONE	NO	NO	NONE
