surface	event_count	text_event_count	text_event_purity	page_topology_contact_count	text_page_topology_contact_count	text_page_topology_purity	running_event_count	local_event_count	target_or_control
qody	3	0	0.000000	3	0	0.000000	3	0	CONTROL
qokaldy	3	3	1.000000	2	2	1.000000	3	0	TARGET
qokchdy	6	1	0.166667	4	1	0.250000	6	0	CONTROL
qokchedy	5	1	0.200000	3	1	0.333333	5	0	CONTROL
qokedy	60	8	0.133333	11	2	0.181818	60	0	CONTROL
qokeedy	68	7	0.102941	8	2	0.250000	68	0	CONTROL
qokeeody	3	2	0.666667	2	1	0.500000	3	0	CONTROL
qokeody	13	4	0.307692	5	1	0.200000	13	0	CONTROL
qokshedy	3	0	0.000000	2	0	0.000000	3	0	CONTROL
qolchedy	5	2	0.400000	4	1	0.250000	5	0	CONTROL
qopchedy	6	2	0.333333	4	1	0.250000	6	0	CONTROL
qotchedy	3	1	0.333333	2	1	0.500000	3	0	CONTROL
qotedy	19	2	0.105263	9	2	0.222222	19	0	CONTROL
qoteedy	19	1	0.052632	6	1	0.166667	19	0	CONTROL
