model_id	population	source_axis	target_axis	score_channel	events	positive_events	negative_events	micro_auc	carrier_macro_auc	balanced_accuracy	balanced_log_loss	carriers_scored	carriers_auc_above_half	carriers_auc_below_half	post_score_sign_flip	semantic_credit	component_export_credit
M01_L_TO_L	CORE13	L	L	TOPIC	914	273	641	0.662829370318	0.602372465412	0.621296280423	0.686498431516	13	9	4	0	0	0
M01_L_TO_L	CORE13	L	L	TEMPLATE	914	273	641	0.524180967239	0.504316865083	0.516736383741	0.695122744436	13	8	5	0	0	0
M01_L_TO_L	CORE13	L	L	FORM_REGIME	914	273	641	0.67778139697	0.633314549381	0.625605024201	0.689802129936	13	11	2	0	0	0
M01_L_TO_L	CORE13	L	L	SLOT_HOLE	914	273	641	0.535398558799	0.493216784635	0.519110764431	0.694037794408	13	6	7	0	0	0
M01_L_TO_L	CORE13	L	L	NUISANCE	914	273	641	0.640745629825	0.592049143134	0.618990473905	0.686135238321	13	9	3	0	0	0
M01_L_TO_L	CORE13	L	L	AUGMENTED	914	273	641	0.63049379118	0.567733054154	0.600506877418	0.688242548205	13	10	3	0	0	0
M01_L_TO_L	CORE13	L	L	UNION_NUISANCE	914	273	641	0.690936208877	0.64544677653	0.647345893836	0.688940711594	13	11	2	0	0	0
M01_L_TO_L	CORE13	L	L	UNION_AUGMENTED	914	273	641	0.691507660306	0.644637490962	0.647888772694	0.688939120615	13	11	2	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	TOPIC	863	148	715	0.763844263844	0.723538719331	0.6817000567	0.666753711055	13	13	0	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	TEMPLATE	863	148	715	0.536793611794	0.53602936383	0.518935456435	0.685591043354	13	10	3	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	FORM_REGIME	863	148	715	0.780173880174	0.707151158749	0.656974106974	0.681714156453	13	11	2	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	SLOT_HOLE	863	148	715	0.520761670762	0.555560934404	0.511651861652	0.688315068075	13	7	6	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	NUISANCE	863	148	715	0.754753354753	0.726426146395	0.677381402381	0.649272109675	13	13	0	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	AUGMENTED	863	148	715	0.746777546778	0.736094126558	0.677145152145	0.644741534344	13	12	1	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	UNION_NUISANCE	863	148	715	0.808949158949	0.738392850235	0.701228501229	0.677089217377	13	12	0	0	0	0
M02_DY_TO_DY	CORE13	DY	DY	UNION_AUGMENTED	863	148	715	0.810007560008	0.73956035926	0.707522207522	0.677045846263	13	12	0	0	0	0
