page	locus	edition	source_group_count	raw_grouped_line	ascii_fragment_count	current_clean_count	flat_matches_current	zero_fragment_groups	multi_fragment_groups
f31r	f31r.12	ZL3b	6	qoaiin.yches.okedy.sheey.chedaiin.dar	6	6	1	0	0
f31r	f31r.12	IT2a	6	qoaiin.yches.okedy.sheey.chedaiin.dar	6	6	1	0	0
f31r	f31r.12	RF1b	6	qoaiin.@222;ches.okedy.sheey.chedaiin.dar	6	6	1	0	0
f66r	f66r.80	ZL3b	9	daiin.shey.qoteoly.raiin.sheedy.shcthy.lkeol.qokol.dkar	9	9	1	0	0
f66r	f66r.80	IT2a	9	daiin.shey.qoteoly.raiin.sheedy.shcthy.lkeol.qokol.dkar	9	9	1	0	0
f66r	f66r.80	RF1b	9	daiin.shey.qoteoly.raiin.sheedy.shcthy.lkeol.qokol.dkar	9	9	1	0	0
f67r2	f67r2.39	ZL3b	3	sor.chedaiin.dy	3	3	1	0	0
f67r2	f67r2.39	IT2a	3	sor.chedaiin.dy	3	3	1	0	0
f67r2	f67r2.39	RF1b	3	sor.che@152;@221;iin.dy	4	4	1	0	1
f70v2	f70v2.21	ZL3b	32	daii@197;amdy.otar.am.aral.otair,chedaiin.oteey.dair.shchey.daiin.chalaly.oteody.chotol.chedy.oteotey.oteeeor,ar.alody.daiir.oteedar.oteey.teey.dalal.cheoltey.oteedy.sheeteey.?okeeol.ykeeos.shey.ykair.arar.alos	33	33	1	0	1
f70v2	f70v2.21	IT2a	37	daimdy.otar.am.ar.al.otard.chedaiin.otchy.dair.shchey.daiin.chalaly.oteody.chotol.chedy.oteatey.otcheor.ar.alody.daiir.oteedar.otchy.tchy.dal.al.cheoltey.oteedy.sheeteey.s<->h?s.keeol.ykeeos.shey.okear.ar.ar.alos	37	37	1	0	0
f70v2	f70v2.21	RF1b	33	daii@197;amdy.otar.am.aral.otair.chedaiin.oteey.dair.shchey.daiin.chalaly.oteody.chotol.che@152;y.oteotey.oteeeor.ar.alo@152;y.@152;aiir.otee@152;ar.oteey.teey.dalal.cheoltey.oteedy.sheeteey.sh,okeeol.akeeos.shey.ykair.arar.alos	37	37	1	0	4
f72r3	f72r3.1	ZL3b	48	okeey.chekoy.oteo.ykeey.chedaiin.okeeol.cheeor.chocthar.ar.oteody.oteedy.okeolaiin.oteey.okarar.???.???teo.sheol.al.alaiiin.okeos.alaiin.okor.o,keodar.okee.s,ar,aiin.chekackhy.chokees.oteedy.chekar.okar,choly.ches,os.oiin.okeeey.cheey.ches.okeody.chealdy.shocthy.choteey.sheoly.{oh}eol.sheey.chorain	47	47	1	1	0
f72r3	f72r3.1	IT2a	46	okeey.cheky.oteo.ykeey.chedaiin.okeeol.cheeor.chocthar.ar.oteody.oteedy.okeolaiin.oteey.okarar.???dy<->sheol.al.alaiiin.okeos.olaiin.okos.okeo?ar.otes.sar.aiin.chekaithhy.chokees.oteedy.chekar.okar.ch?.ches.os.oiin.okeeey.cheey.ches.oteody.cheal.dy.shocthy.choteey.ereoly.oheol.sheey.chorain	46	46	1	0	0
f72r3	f72r3.1	RF1b	47	okeey.chekoy.oteo.@222;keey.chedaiin.okeeol.cheeor.chocthar.ar.oteody.otee@152;y.okeolaiin.oteey.okarar.?a.???teo.sheol.al.alaiiin.okeos.olaiin.okor.o,keodar.okee.sar.aiin.chekackhy.chokees.oteedy.che@176;ar.okar.chaly.ches.os.oiin.okeeey.cheey.ches.oteody.cheal@152;y.shocthy.chotay.sheoly.cheol.sheey.chorain	50	50	1	0	3
f72r3	f72r3.14	ZL3b	41	otochedy.otey.o,koey.sheedy.oteodar.ykeolol.y,air.oteos.cheo,l,aiin.ykeeoly.otaiin.shear.oiiin.oral.o,tealy.cheokeor.oteody.o{ck}es.otees,chteos,doteey.sosor.oteol.shol.cheeg.okeody.{ch'}eol.shey.sheysy.shoteey.cheor.yoeteey.okeeol.chy.okeeo.ykoly	41	41	1	0	0
f72r3	f72r3.14	IT2a	39	otochedy.otal.okoey.sheedy.oteodar.ykeolal.ya.r.oteos.cheolaiin.ykeeoly.otaiin.shear.oiin.or<->o?.?o?a.sheokeor.oteody.oekes.otees.oeteos.dotsey.se??or.oteol.shol.cheem.okeody.sheol.shey.sheysy.sho.teey.cheor.yoeteey.okeeoy.chy.okeeo.ykoly	39	39	1	0	0
f72r3	f72r3.14	RF1b	38	otochedy.otey.o.@176;eey.shee@152;y.oteodar.ykeolal.yair.oteos.cheolaiin.ykee@221;ly.otaiin.shear.oiiin.oral,y.kealy.cheokeor.oteody.o{ck}es.otees.chteos.doteey.sosor.oteol.shol.cheeg.okeo@152;y.{ch'}eol.shey.sheysy.shoteey.cheor.yoeteey.okeeol.chy.okeeo.ykoly	41	41	1	0	3
f72r3	f72r3.26	ZL3b	26	oteey.[a:?]rary.eee[r:s],che@212;shees.opcholalaiin.oteeor.am.sheal.o[k:t]aipchy.oteees,ar.am.olaiin.otedar.olol.choty.oteol.sheshdy.chedy.chedy.dy.shes.eedy.sheol.shy,ckhol	27	27	1	0	1
f72r3	f72r3.26	IT2a	27	oteey.arary.eeer.chem.shses.opcholalaiin.oteeor.am.sheal.otaipchy.oteees.ar.am.olaiin.otedas.olol.choty.oteol.sheshdy.chedy.chedy.dy.shes.eedy.sheol.chy.ckhol	27	27	1	0	0
f72r3	f72r3.26	RF1b	23	oteey.arary.eeeschekshees.opcholalaiin.oteeor.am.sheal.otaipchy.oteeesar.am.olaiin.otedar.olol.choty.oteol.shesh@152;y.che@152;y.che@152;y.dy.shes.eedy.sheol.shyckhol	26	26	1	0	3
f75r	f75r.1	ZL3b	7	kchedykary<->okeey.qokar.shyk,chedy.qotar.shedy	7	7	1	0	0
f75r	f75r.1	IT2a	8	kchedy.kary<->okeey.qokar.shy.kchedy.qotar.shedy	8	8	1	0	0
f75r	f75r.1	RF1b	6	kchedykary<->okeey.qokar.shykche@152;y.qotar.she@152;y	8	8	1	0	2
f75r	f75r.2	ZL3b	8	dain.shey.ly<->ssheol.qol{chh}dy.chedykar.chekeedy.ror	8	8	1	0	0
f75r	f75r.2	IT2a	8	dain.shey.ly<->ssheol.qolchedy.chedykar.chekeedy.ror	8	8	1	0	0
f75r	f75r.2	RF1b	8	dain.shey.ly<->s{ch'}eol.qol{chh}dy.chedykar.chekeedy.ror	8	8	1	0	0
f75r	f75r.3	ZL3b	9	qokain.chal<->orchey.qey.kain.sheeky.ltain.olkar.or	9	9	1	0	0
f75r	f75r.3	IT2a	9	qokain.chal<->orchey.qey.kain.sheeky.ltain.olkar.or	9	9	1	0	0
f75r	f75r.3	RF1b	9	qokain.chal<->orchey.qey.kain.sheeky.ltain.olkar.or	9	9	1	0	0
f75r	f75r.4	ZL3b	10	dackhy.lkamo<->ykeey.lshey.kal.dy.shey.ok.shey.qokeedy	10	10	1	0	0
f75r	f75r.4	IT2a	10	dackhy.lkamo<->ykeey.lshey.kal.dy.shey.or.shey.qokeedy	10	10	1	0	0
f75r	f75r.4	RF1b	10	dacthy.lkago<->ykeey.l{ch'}ey.kal.dy.shey.ok.{ch'}ey.qokeed@222;	10	10	1	0	0
f75r	f75r.5	ZL3b	10	shey,kar.chey<->ckhey.r.ain.ol.olsheedy.qokeey.qoky	10	10	1	0	0
f75r	f75r.5	IT2a	11	shey.kar.chey<->ckhey.r.ain.ol.ol.sheedy.qokeey.qoky	11	11	1	0	0
f75r	f75r.5	RF1b	10	sheykar.chey<->ckhey.r.ain.ol.ol,sheedy.qokeey.qoky	10	10	1	0	0
f75r	f75r.6	ZL3b	8	pcheykeeor.olky<->dar.okey.qokain.chcthy.qokeedy.qoky	8	8	1	0	0
f75r	f75r.6	IT2a	9	pchey.keeor.olky<->dar.okey.qokain.chcthy.qokeedy.qoky	9	9	1	0	0
f75r	f75r.6	RF1b	8	pcheykeeor.olky<->dar.okey.qokain.chcthy.qokeedy.qoky	8	8	1	0	0
f75r	f75r.7	ZL3b	9	pchedy.qokshdy<->ytain.chedy.qokar.chy.lol.chedy.qoky	9	9	1	0	0
f75r	f75r.7	IT2a	9	pchedy.qokshdy<->ytain.chedy.qokar.chy.lol.chedy.qoky	9	9	1	0	0
f75r	f75r.7	RF1b	9	pchedy.qok{ch'}@152;y<->ytain.che@152;y.qokar.chy.lol.che@152;y.qoky	12	12	1	0	3
f75r	f75r.8	ZL3b	8	sor.chey.qokardy<->dsheckhy.qokain.chckhy.lshedy.okeedy	8	8	1	0	0
f75r	f75r.8	IT2a	8	sor.chey.qotardy<->dsheckhy.qokain.chckhy.lshedy.okeedy	8	8	1	0	0
f75r	f75r.8	RF1b	8	sor.chey.qokardy<->@152;sheckhy.qokain.chckhy.lshe@152;y.okeedy	9	9	1	0	1
f75r	f75r.9	ZL3b	9	qokchdy.chcthy.lo<->qokedy.qokan.checkhy.qokar.olchedy.sal	9	9	1	0	0
f75r	f75r.9	IT2a	9	qokchdy.chcthy.lo<->qokedy.qokan.checkhy.qokar.olchedy.sal	9	9	1	0	0
f75r	f75r.9	RF1b	9	qokchdy.chcthy.lo<->qokedy.qokan.checkhy.qokar.olchedy.sal	9	9	1	0	0
f75r	f75r.10	ZL3b	10	dshor.qotar.chdy<->shey.qokain.chckhy.dy.otey.tedy.lchedy	10	10	1	0	0
f75r	f75r.10	IT2a	10	dshor.qotar.chdy<->shey.qokain.chckhy.dy.otey.tedy.lchedy	10	10	1	0	0
f75r	f75r.10	RF1b	10	dshor.qotar.chdy<->shey.qokain.chckhy.dy.otey.tedy.lchedy	10	10	1	0	0
f75r	f75r.11	ZL3b	10	qokeedy.qokair.oly<->qokeedy.dy.qokal.okar.shedy.dor.chekam	10	10	1	0	0
f75r	f75r.11	IT2a	10	qokeedy.qokain.oly<->qokeedy.dy.qokal.okar.shedy.dor.chekam	10	10	1	0	0
f75r	f75r.11	RF1b	10	qokeedy.qokain.oly<->qokeedy.dy.qokal.okar.shedy.dar.chekam	10	10	1	0	0
f75r	f75r.12	ZL3b	11	ssheckhy.qokal.oly<->shey.r.ol.cheey.shey.dy,olshedy.qoky	11	11	1	0	0
f75r	f75r.12	IT2a	12	ssheckhy.qokal.oly<->shey.r.ol.cheey.shey.dy.ol.shedy.qoky	12	12	1	0	0
f75r	f75r.12	RF1b	12	ssheckhy.qokal.oly<->shey.r.ol.cheey.shey.@152;y.ol,shedy.qoky	12	12	1	0	0
f75r	f75r.13	ZL3b	8	pchedy.keedy.qokedy<->qokedy.qokedy.qokedy.qokain.olshedy	8	8	1	0	0
f75r	f75r.13	IT2a	8	pchedy.keedy.qokedy<->qokedy.qokedy.qokedy.qokain.olshedy	8	8	1	0	0
f75r	f75r.13	RF1b	8	pchedy.keedy.qokedy<->qokedy.qokedy.qoke@152;y.qokain.olshedy	9	9	1	0	1
f75r	f75r.14	ZL3b	11	sain.al,keishy.qokain,dy<->olshedy.qokain.chckhy.qokain.otar,aly	11	11	1	0	0
