view	page	physical_folio	anchor_locus	response_locus	anchor_surface	response_surface	anchor_pair_id	anchor_sign	response_pair_id	response_sign	direction	lag	lag_band	paragraph_relation	response_hit	anchor_page_group_index	response_page_group_index
PRIMARY	f2v	f2	f2v.4	f2v.5	cheor	shy	SP10	CH	SP02	SH	forward	3	DISTAL	cross_para	1	27	30
PRIMARY	f2v	f2	f2v.4	f2v.4	cheor	sho	SP10	CH	SP01	SH	backward	2	NEAR	within_para	1	27	25
DIAGNOSTIC	f2v	f2	f2v.4	f2v.4	cheor	sho	SP10	CH	SP01	SH	backward	2	NEAR	within_para	1	27	25
PRIMARY	f4v	f4	f4v.2	f4v.2	sheo	chy	SP11	SH	SP02	CH	backward	3	DISTAL	within_para	1	11	8
PRIMARY	f4v	f4	f4v.2	f4v.2	sheo	chey	SP11	SH	SP03	CH	backward	4	DISTAL	within_para	1	11	7
PRIMARY	f4v	f4	f4v.10	f4v.10	sheo	chol	SP11	SH	SP08	CH	forward	2	NEAR	within_para	1	56	58
PRIMARY	f4v	f4	f4v.13	f4v.14	cheor	chy	SP10	CH	SP02	CH	forward	5	DISTAL	within_para	1	76	81
PRIMARY	f5r	f5	f5r.4	f5r.5	cheor	sho	SP10	CH	SP01	SH	forward	6	DISTAL	cross_para	1	30	36
PRIMARY	f5r	f5	f5r.6	f5r.6	cheor	sho	SP10	CH	SP01	SH	backward	1	NEAR	within_para	1	41	40
PRIMARY	f5r	f5	f5r.6	f5r.5	cheor	sho	SP10	CH	SP01	SH	backward	5	DISTAL	within_para	1	41	36
PRIMARY	f6r	f6	f6r.8	f6r.9	sheo	sheol	SP11	SH	SP09	SH	forward	3	DISTAL	within_para	1	56	59
PRIMARY	f6r	f6	f6r.8	f6r.7	sheo	chol	SP11	SH	SP08	CH	backward	6	DISTAL	within_para	1	56	50
DIAGNOSTIC	f6r	f6	f6r.8	f6r.7	sheo	chol	SP11	SH	SP08	CH	backward	6	DISTAL	within_para	1	56	50
PRIMARY	f6r	f6	f6r.8	f6r.7	sheo	cho	SP11	SH	SP01	CH	backward	8	DISTAL	within_para	1	56	48
DIAGNOSTIC	f6r	f6	f6r.8	f6r.7	sheo	cho	SP11	SH	SP01	CH	backward	8	DISTAL	within_para	1	56	48
PRIMARY	f15v	f15	f15v.11	f15v.11	cheor	chol	SP10	CH	SP08	CH	forward	1	NEAR	within_para	1	64	65
PRIMARY	f15v	f15	f15v.11	f15v.12	cheor	chol	SP10	CH	SP08	CH	forward	6	DISTAL	within_para	1	64	70
PRIMARY	f17v	f17	f17v.15	f17v.16	cheo	chol	SP11	CH	SP08	CH	forward	4	DISTAL	within_para	1	84	88
PRIMARY	f17v	f17	f17v.20	f17v.20	cheor	chol	SP10	CH	SP08	CH	forward	1	NEAR	within_para	1	113	114
PRIMARY	f17v	f17	f17v.20	f17v.20	cheor	sho	SP10	CH	SP01	SH	forward	2	NEAR	within_para	1	113	115
PRIMARY	f17v	f17	f17v.20	f17v.19	cheor	chey	SP10	CH	SP03	CH	backward	6	DISTAL	within_para	1	113	107
