sign	degree	decan	term	monomoirion	domicile
ARIES	1	Mars	Jupiter	Mars	Mars
ARIES	2	Mars	Jupiter	Sun	Mars
ARIES	3	Mars	Jupiter	Venus	Mars
ARIES	4	Mars	Jupiter	Mercury	Mars
ARIES	5	Mars	Jupiter	Moon	Mars
ARIES	6	Mars	Jupiter	Saturn	Mars
ARIES	7	Mars	Venus	Jupiter	Mars
ARIES	8	Mars	Venus	Mars	Mars
ARIES	9	Mars	Venus	Sun	Mars
ARIES	10	Mars	Venus	Venus	Mars
ARIES	11	Sun	Venus	Mercury	Mars
ARIES	12	Sun	Venus	Moon	Mars
ARIES	13	Sun	Mercury	Saturn	Mars
ARIES	14	Sun	Mercury	Jupiter	Mars
ARIES	15	Sun	Mercury	Mars	Mars
ARIES	16	Sun	Mercury	Sun	Mars
ARIES	17	Sun	Mercury	Venus	Mars
ARIES	18	Sun	Mercury	Mercury	Mars
ARIES	19	Sun	Mercury	Moon	Mars
ARIES	20	Sun	Mercury	Saturn	Mars
ARIES	21	Venus	Mars	Jupiter	Mars
ARIES	22	Venus	Mars	Mars	Mars
ARIES	23	Venus	Mars	Sun	Mars
ARIES	24	Venus	Mars	Venus	Mars
ARIES	25	Venus	Mars	Mercury	Mars
ARIES	26	Venus	Saturn	Moon	Mars
ARIES	27	Venus	Saturn	Saturn	Mars
ARIES	28	Venus	Saturn	Jupiter	Mars
ARIES	29	Venus	Saturn	Mars	Mars
ARIES	30	Venus	Saturn	Sun	Mars
TAURUS	1	Mercury	Venus	Venus	Venus
TAURUS	2	Mercury	Venus	Mercury	Venus
TAURUS	3	Mercury	Venus	Moon	Venus
TAURUS	4	Mercury	Venus	Saturn	Venus
TAURUS	5	Mercury	Venus	Jupiter	Venus
TAURUS	6	Mercury	Venus	Mars	Venus
TAURUS	7	Mercury	Venus	Sun	Venus
TAURUS	8	Mercury	Venus	Venus	Venus
TAURUS	9	Mercury	Mercury	Mercury	Venus
TAURUS	10	Mercury	Mercury	Moon	Venus
TAURUS	11	Moon	Mercury	Saturn	Venus
TAURUS	12	Moon	Mercury	Jupiter	Venus
TAURUS	13	Moon	Mercury	Mars	Venus
TAURUS	14	Moon	Mercury	Sun	Venus
