event_id	page	record	statement_id	exact_card_id	surface	component_recipe	address_token	address_reading_de	working_reading_de	surface_transparency
E003	f10r	H1	H1-S001	PROC003	char	AR	AR	QUELLE	QUELLE	TRANSPARENT
E031	f10r	H2	H2-S002	PROC003	dar	AR	AR	QUELLE	QUELLE	TRANSPARENT
E040	f11r	H3	H3-S001	PROC027	schoal	SH+O+AL	AL	ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	TRANSPARENT
E065	f55v	H4	H4-S003	PROC045	cheoar	CH+E+O+AR	AR	QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	TRANSPARENT
E069	f55v	H4	H4-S004	PROC048	okal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
E076	f56r	H5	H5-S001	PROC053	chodaly	HO+AL+Y	AL	ZIELSTELLE	ZUTAT · ZIELSTELLE · DIES	TRANSPARENT
E082	f56r	H5	H5-S001	PROC055	dal	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E093	f56r	H5	H5-S004	PROC062	kchal	K+AL	AL	ZIELSTELLE	ZUGEBEN · ZIELSTELLE	TRANSPARENT
E096	f56r	H5	H5-S005	PROC063	kchoar	K+HO+AR	AR	QUELLE	ZUGEBEN · ZUTAT · QUELLE	TRANSPARENT
E104	f81v	B1	B1-S002	PROC048	okal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
E105	f81v	B1	B1-S002	PROC003	sar	AR	AR	QUELLE	QUELLE	TRANSPARENT
E109	f81v	B1	B1-S002	PROC055	al	AL	AL	ZIELSTELLE	ZIELSTELLE	TRANSPARENT
E115	f81v	B1	B1-S002	PROC073	sheckhal	SH+E+CKH+AL	AL	ZIELSTELLE	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	TRANSPARENT
E117	f81v	B1	B1-S002	PROC074	qokeedal	OK+EE+AL	AL	ZIELSTELLE	ANSETZEN · LANG · ZIELSTELLE	TRANSPARENT
E130	f81v	B1	B1-S006	PROC081	ral	R+AL	AL	ZIELSTELLE	KUEHLEN · ZIELSTELLE	TRANSPARENT
E147	f81v	B1	B1-S014	PROC088	lchedal	L+CHD+AL	AL	ZIELSTELLE	LEITEN · UMSETZEN · ZIELSTELLE	TRANSPARENT
E149	f81v	B1	B1-S014	PROC089	otar	OT+AR	AR	QUELLE	DANACH · QUELLE	TRANSPARENT
E152	f81v	B1	B1-S016	PROC048	qokal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	TRANSPARENT
