exercise	source_recipe	counterpart_recipe	source_invariant_components	target_invariant_components	invariant_match	quantity_components_kept	grade_components_kept	endpoint_components_kept
S01	AL+CHD+DY	AR+CHD+DY	CHD+DY	CHD+DY	YES	NONE	NONE	DY
S02	AL+DY	AR+DY	DY	DY	YES	NONE	NONE	DY
S03	AL+R+OR	AR+R+OR	R+OR	R+OR	YES	NONE	NONE	NONE
S04	AR+Y	AL+Y	Y	Y	YES	NONE	NONE	Y
S05	CH+CKH+AL	CH+CKH+AR	CH+CKH	CH+CKH	YES	NONE	NONE	NONE
S06	CH+E+O+AR	CH+E+O+AL	CH+E+O	CH+E+O	YES	NONE	E	NONE
S07	CHD+AL	CHD+AR	CHD	CHD	YES	NONE	NONE	NONE
S08	EE+AR	EE+AL	EE	EE	YES	NONE	EE	NONE
S09	HO+AL+Y	HO+AR+Y	HO+Y	HO+Y	YES	NONE	NONE	Y
S10	K+HO+AR	K+HO+AL	K+HO	K+HO	YES	NONE	NONE	NONE
S11	L+AL+OR	L+AR+OR	L+OR	L+OR	YES	NONE	NONE	NONE
S12	L+AR	L+AL	L	L	YES	NONE	NONE	NONE
S13	OK+AL+Y	OK+AR+Y	OK+Y	OK+Y	YES	NONE	NONE	Y
S14	OK+EE+AL	OK+EE+AR	OK+EE	OK+EE	YES	NONE	EE	NONE
S15	OL+AL+Y	OL+AR+Y	OL+Y	OL+Y	YES	NONE	NONE	Y
S16	P+CHD+AL	P+CHD+AR	P+CHD	P+CHD	YES	NONE	NONE	NONE
S17	R+AL	R+AR	R	R	YES	NONE	NONE	NONE
S18	R+AL+Y	R+AR+Y	R+Y	R+Y	YES	NONE	NONE	Y
S19	R+SH+E+AL	R+SH+E+AR	R+SH+E	R+SH+E	YES	NONE	E	NONE
S20	SH+E+CKH+AL	SH+E+CKH+AR	SH+E+CKH	SH+E+CKH	YES	NONE	E	NONE
S21	SH+O+AL	SH+O+AR	SH+O	SH+O	YES	NONE	NONE	NONE
S22	SHED+AL	SHED+AR	SHED	SHED	YES	NONE	NONE	NONE
