record	page	events	exact_recipes	total_roots	universal_roots	pocket_core_roots	extended_roots	specialist_roots	record_unique_roots
H1	f10r	14	13	14	AIIN OL Y	AIIN AR E O OK OL OR OT Y	CH CTH T	AIR OS	OS
H2	f10r	24	15	12	AIIN OL Y	AIIN AR E K O OL OR OT Y	CH CTH	IIN	NONE
H3	f11r	17	15	17	AIIN OL Y	AIIN AL DY EE K O OK OL OT Y	CH CTH SH T	CFH P RESUME_CARD	CFH
H4	f55v	18	16	19	AIIN OL Y	AIIN AL AR DY E EE K O OK OL OR Y	AIN CH CHD CHK T	AN TALAM	AN TALAM
H5	f56r	27	20	19	AIIN OL Y	AIIN AL AR DY E EE K O OK OL OR OT Y	AIN CH SH	CKH HO RESUME_CARD	HO
B1	f81v	66	41	26	AIIN OL Y	AIIN AL AR DY E EE K O OK OL OR OT Y	AIN CHD CHK L SH SHED SOLK T	AIR CKH IIN LSH R	LSH
B2	f82r	62	46	25	AIIN OL Y	AIIN AL AR DY E EE O OK OL OT Y	AIN CH CHD CHK CTH L SH SHED SOLK	CKH EEE P R S	S
B3	f83r	86	50	27	AIIN OL Y	AIIN AL AR DY E EE K O OK OL OR OT Y	AIN CHD CHK CTH L SH SHED SOLK T	AIR EEE IIN P R	NONE
B4	f83r	47	33	24	AIIN OL Y	AIIN AL AR DY E EE K O OK OL OR OT Y	AIN CH CHD CHK L SH SHED SOLK	AIR CKH LD	LD
B5	f83r	11	10	12	AIIN OL Y	AIIN AL DY OK OL OT Y	CHD L SHED	DA IIN	DA
B6	f83r	9	8	12	AIIN OL Y	AIIN AL E EE K OL OR Y	AIN L SOLK	R	NONE
