event_id	page	locus	surface	old_source_surface	old_recipe	new_recipe	portable_default_de	decision_class	scribe_rule
P1003-E0004	f17r	f17r.1	chog	cho	HO	HO+LOCAL_CHAR_G	TEILSTOFF · EINMAL	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0009	f17r	f17r.1	dody	ody	O+DY	D_ADDR+O+DY	TEIL · AUSFÜHREN · SCHLUSS	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0013	f17r	f17r.2	okshy	okchy	OK+Y	OK+Y	SETZEN · POSTEN	LICENSED_ALLOGRAPH	SHAPED_Y_WRAPPER
P1003-E0019	f17r	f17r.2	ods	ody	O+DY	O+D_ADDR+S	AUSFÜHREN · TEIL · AUSWÄHLEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0033	f17r	f17r.4	som	kom	K+O+M_LOCAL	S+O+M_LOCAL	AUSWÄHLEN · AUSFÜHREN · MITTE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0035	f17r	f17r.4	ypaim	ypair	Y+P+AIR	Y+P+AIR	POSTEN · EINSETZEN · LAUF	LICENSED_ALLOGRAPH	LINE_FINAL_M_FOR_R
P1003-E0045	f17r	f17r.6	tsho	sho	SH+O	T+SH+O	STELLEN · HALTEN · AUSFÜHREN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0050	f17r	f17r.7	ksheo	sheo	SH+E+O	K+SH+E+O	GEBEN · HALTEN · KURZ · AUSFÜHREN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0058	f17r	f17r.8	schar	char	AR	S+AR	AUSWÄHLEN · QUELLE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0060	f17r	f17r.9	soy	shy	Y	S+O+Y	AUSWÄHLEN · AUSFÜHREN · POSTEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0061	f17r	f17r.9	chckho	chckhy	CKH+Y	CKH+O	DURCHLASS · AUSFÜHREN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0063	f17r	f17r.9	das	odas	O+DA+S	DA+S	ZWEIT · AUSWÄHLEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0070	f17r	f17r.10	mol	ol	OL	M_LOCAL+OL	MITTE · FORTSETZEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0072	f17r	f17r.11	cthar	char	AR	CTH+AR	BEREIT · QUELLE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0076	f17r	f17r.12	ychod	chod	CH+O+D_ADDR	Y+CH+O+D_ADDR	POSTEN · NEHMEN · AUSFÜHREN · TEIL	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0078	f17r	f17r.12	chotom	chotol	CH+OT+OL	CH+OT+O+M_LOCAL	NEHMEN · DANACH · AUSFÜHREN · MITTE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0197	f77r	f77r.20	dalchedy	dalchdy	AL+CHD+DY	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	LICENSED_ALLOGRAPH	CHD_CHED_EXPANSION
P1003-E0210	f77r	f77r.22	oin	oiin	O+IIN	O+IIN	AUSFÜHREN · STUFE	LICENSED_ALLOGRAPH	SHORT_IIN_GRADE
P1003-E0227	f77r	f77r.24	cphey	cphedy	CPH+E+DY	CPH+E+Y	UMLEITEN · KURZ · POSTEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0235	f77r	f77r.25	shedar	shetar	SH+E+T+AR	SH+E+D_ADDR+AR	HALTEN · KURZ · TEIL · QUELLE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0238	f77r	f77r.25	daror	darom	D_ADDR+AR+O+AM_ADDR	D_ADDR+AR+OR	TEIL · QUELLE · ANSATZ	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0254	f77r	f77r.28	olcheedy	olsheedy	OL+SH+EE+DY	OL+CH+EE+DY	FORTSETZEN · NEHMEN · LÄNGER · SCHLUSS	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0256	f77r	f77r.28	lom	lo	L+O	L+O+M_LOCAL	LEITEN · AUSFÜHREN · MITTE	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0279	f77r	f77r.32	chealor	chealror	AL+R+OR	AL+OR	ZIEL · ANSATZ	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0289	f77r	f77r.33	oiiiin	oiiin	O+IIN	O+IIN	AUSFÜHREN · STUFE	LICENSED_ALLOGRAPH	LONG_IIN_GRADE
P1003-E0307	f77r	f77r.35	chealy	cheal	AL	AL+Y	ZIEL · POSTEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0354	f77r	f77r.41	chl	chy	Y	CH+L	NEHMEN · LEITEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0374	f77r	f77r.44	qepchedy	qopchedy	CARRIER_Q+O+P+CHD+Y	CARRIER_Q+E+P+CHD+Y	BEGINN · KURZ · EINSETZEN · UMSETZEN · POSTEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0467	f88v	f88v.15	yfolaiin	ykolaiin	Y+K+OL+AIIN	Y+LOCAL_CHAR_F+OL+AIIN	POSTEN · NEBENWEG · FORTSETZEN · MASS	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0469	f88v	f88v.16	ysheod	ysheor	Y+SH+E+OR	Y+SH+E+O+D_ADDR	POSTEN · HALTEN · KURZ · AUSFÜHREN · TEIL	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0492	f88v	f88v.18	soteol	oteol	OT+E+OL	S+OT+E+OL	AUSWÄHLEN · DANACH · KURZ · FORTSETZEN	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0515	f88v	f88v.21	korain	orain	OR+AIN	K+OR+AIN	GEBEN · ANSATZ · PORTION	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0533	f88v	f88v.23	daimd	daim	DA+IIN+M_LOCAL	DA+IIN+M_LOCAL+D_ADDR	ZWEIT · STUFE · MITTE · TEIL	VISIBLE_COMPOSITION	NONE_NEEDED
P1003-E0620	f71v	f71v.12	oto	oty	OT+Y	OT+O	DANACH · AUSFÜHREN	VISIBLE_COMPOSITION	NONE_NEEDED
